scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,active_steps,active_cross_track_mean_m,active_cross_track_rmse_m,active_cross_track_p95_m,active_cross_track_max_m,active_height_mae_m,active_height_bias_m,active_height_p95_m,pre_transition_cross_track_rmse_m,transition_cross_track_rmse_m,post_transition_cross_track_rmse_m,pre_transition_height_mae_m,transition_height_mae_m,post_transition_height_mae_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.04221798560345037,0.016968347132205963,0.013646462932229042,0.032975226640701294,0.9325,0.016968347132205963,0.013646462932229042,4.000000476837158,100,0.09809452456281768,4.000000000000133,3.901939868927002,4.0,0.975484967231718,0.48774248361587524,0.609678104519844,True,5.14,0.7782101167315435,0.9727626459144293,0.48774248361587524,0.609678104519844,0.2529825820997856,-0.09806013107313127,0.031971193850040436,0.060339359939098336,231,0.03621221334246104,0.03994271728357056,0.062100350856781006,0.06831914186477661,0.015010049074759215,-0.014391293257345885,0.0410512238740921,nan,nan,nan,nan,nan,nan,0.09809452456281768,True,True,True,4.62,0.11644009096303189,0.1142425537109375,0.010000288486480713,0.06580086580089461,0.015391644512785354,0.9366546364887023,True,True,True,True,-3.901939868927002,-0.0025977492332458496,0.15923523902893066,0.21090394258499146,0.11213445663452148,0.4876026213169098,0.5703590512275696,0.49317169189453125,0.6164646148681641,0.28032705187797546,8.800346374511719,0.5056522488594055
1,1,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.05520691521338024,0.017843274399638176,0.014666221104562283,0.03726550191640851,0.915,0.017843274399638176,0.014666221104562283,4.000000476837158,100,0.04930587792269,4.000000000000133,4.0,4.0,0.9999999999999667,0.5,0.625,True,5.08,0.7874015748031759,0.9842519685039698,0.5,0.625,0.24000589005356052,-1.3322676295501878e-13,0.05317522957921028,0.10354680977761745,244,0.04733702700707267,0.058284656972568315,0.10467384308576584,0.11355271935462952,0.012351185144459615,-0.01199400479920575,0.02519824355840683,nan,nan,nan,nan,nan,nan,0.04930587792269,True,True,True,4.88,0.11930779653078837,0.20844006538391113,0.004442662000656128,0.019672131147568273,0.012394875478196593,0.9668277345081623,True,True,True,True,-4.00977897644043,-0.0483267605304718,0.034064531326293945,0.14005278050899506,0.16708478331565857,0.5064894556999207,0.6103253364562988,0.5141772627830505,0.6427215784788132,0.2789243757724762,8.938654899597168,0.503912091255188
2,2,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.05205422168651294,0.013646222651004791,0.011531936004757881,0.02364883720874786,0.9925,0.013646222651004791,0.011531936004757881,4.000000476837158,100,0.06408153562407005,4.000000000000133,3.938271999359131,4.0,0.98456799983975,0.49228399991989136,0.6153549998998642,True,4.98,0.8032128514056491,1.0040160642570612,0.49228399991989136,0.6153549998998642,0.2970721463490031,-0.06172800064100237,0.04376434162259102,0.09232351779937743,235,0.04790757760861294,0.054476208207697455,0.09353268444538117,0.09573745727539062,0.009553341789448515,-0.008723639300528992,0.023212990164756774,nan,nan,nan,nan,nan,nan,0.06408153562407005,True,True,True,4.7,0.11914758585488198,0.044728279113769524,0.005635380744934082,0.051063829787262316,0.010019239833198225,1.0,True,True,True,True,-3.938271999359131,-0.017207831144332886,0.03881246248354156,0.17077454924583435,0.09524113684892654,0.48825836181640625,0.5627435445785522,0.49489322304725647,0.6186165288090706,0.28215551376342773,8.913300514221191,0.49747470021247864
3,3,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.08421165289400662,0.021551266312599182,0.01718653365969658,0.04541804417967796,0.8525,0.021551266312599182,0.01718653365969658,3.9905375838279724,100,0.012408331425878008,3.9905371069909474,3.990537166595459,3.990537166595459,1.0000000149364634,0.4988171458244324,0.6235214322805405,True,5.05999991914375,0.7886437096359131,0.9858046370448914,0.4988171458244324,0.6235214322805405,0.30992908531901053,5.960451154862767e-08,0.08320493251085281,0.214258874207735,245,0.029949848043105128,0.03984949883204206,0.09150453060865399,0.0956583321094513,0.011006998529239576,-0.010366034264467201,0.026015609502792355,nan,nan,nan,nan,nan,nan,0.012408331425878008,True,True,True,4.9,0.11386856805128046,0.06622648239135742,0.0012890994548797607,0.014395327957336113,0.01186093824313877,0.9624355179138431,True,True,True,True,-4.005687713623047,0.011027634143829346,0.40229201316833496,0.27749550342559814,0.1791822761297226,0.492509126663208,0.6132288575172424,0.5006465315818787,0.6258081644773483,0.27640604972839355,8.611416816711426,0.5190383195877075
4,4,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.04666795842936467,0.013613063842058182,0.011408230289816856,0.024588081240653977,0.97,0.013613063842058182,0.011408230289816856,4.000000476837158,100,0.04291728901844115,4.000000000000133,4.0,4.0,0.9999999999999667,0.5,0.625,True,5.04,0.79365079365082,0.992063492063525,0.5,0.625,0.24413402333920217,-1.3322676295501878e-13,0.04555101320147514,0.08596678525209425,239,0.04189967577030033,0.04911402120477264,0.09061366319656372,0.09449547529220581,0.01064130975611539,-0.01048664193771873,0.02356259822845459,nan,nan,nan,nan,nan,nan,0.04291728901844115,True,True,True,4.78,0.11631498494102932,0.11505007743835449,0.0013217031955718994,0.03682008368203615,0.011431917645785866,1.0,True,True,True,True,-4.015254497528076,-0.0401151180267334,0.06434399286379057,0.14121130108833313,0.1412089765071869,0.5064110159873962,0.5736031532287598,0.5103660225868225,0.6379575282335281,0.2819634974002838,8.62130069732666,0.5132149457931519
5,5,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.0401900313557766,0.0127261932939291,0.010126498527824879,0.02514604330062861,0.97,0.0127261932939291,0.010126498527824879,4.000000476837158,100,0.02841631577393402,4.000000000000133,4.0,4.0,0.9999999999999667,0.5,0.625,True,4.94,0.8097165991903104,1.0121457489878878,0.5,0.625,0.2525633630502722,-1.3322676295501878e-13,0.039219606667757034,0.06356316283345213,238,0.03881424436924838,0.04334786642601914,0.07272306680679315,0.09206468611955643,0.0073993238581328835,-0.006926437135504074,0.01833928823471069,nan,nan,nan,nan,nan,nan,0.02841631577393402,True,True,True,4.76,0.10970394100718954,0.03841454187502105,0.009411245584487915,0.04033613445380946,0.007367259024981838,1.0,True,True,True,True,-4.017913341522217,-0.022059351205825806,0.14505577087402344,0.10645435005426407,0.09432074427604675,0.49977561831474304,0.5629183053970337,0.5136010646820068,0.6420013308525085,0.2833680808544159,8.972593307495117,0.5040183067321777
6,6,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.06477646132532384,0.014179820194840431,0.01202383916825056,0.02557827681303022,0.98,0.014179820194840431,0.01202383916825056,4.000000476837158,100,0.022327928323672464,4.000000000000133,3.978440046310425,4.0,0.9946100115775731,0.4973050057888031,0.6216312572360039,True,5.0600000000000005,0.7905138339921212,0.9881422924901514,0.4973050057888031,0.6216312572360039,0.1828100123936437,-0.021559953689708422,0.06374228745698929,0.12278121709823604,240,0.061979068253034106,0.07388986428696317,0.1312196463346481,0.13822278380393982,0.010651133457819621,-0.01028043379386266,0.02274159789085388,nan,nan,nan,nan,nan,nan,0.022327928323672464,True,True,True,4.8,0.11851698179502172,0.0548110643969937,0.0023081600666046143,0.03333333333336108,0.009983032897885413,1.0,True,True,True,True,-3.978440046310425,-0.005805939435958862,0.07905275026430326,0.041252221912145615,0.12020550668239594,0.48834845423698425,0.5881171226501465,0.5106077790260315,0.6382597237825394,0.2814503610134125,8.998747825622559,0.5147536993026733
7,7,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.06832094085332505,0.0271665770560503,0.01953117549419403,0.053246040642261495,0.8275,0.0271665770560503,0.01953117549419403,4.000000476837158,100,0.055456424742850424,4.000000000000133,3.9946446418762207,4.0,0.9986611604690219,0.4993305802345276,0.6241632252931595,True,5.1000000000000005,0.7843137254902222,0.9803921568627777,0.4993305802345276,0.6241632252931595,0.09149622840022067,-0.005355358123912524,0.067708320915699,0.1251972660422323,237,0.05192800139505337,0.06624091863343833,0.15344766974449156,0.16199341416358948,0.01986508605852409,-0.01921506219775365,0.07602398395538325,nan,nan,nan,nan,nan,nan,0.055456424742850424,True,True,True,4.74,0.11718456446964463,0.09681320190429688,0.015733987092971802,0.04388185654011245,0.02140248602540665,0.861894045119668,True,True,True,True,-3.9946446418762207,0.05519688129425049,0.06873017946352203,0.16765262186527252,0.11401962488889694,0.4803694784641266,0.5715131163597107,0.5033417344093323,0.6291771680116653,0.2741977572441101,11.120515823364258,0.5864511132240295
8,8,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.06310608846206356,0.016799405217170715,0.014260419644415379,0.029907754063606257,0.95,0.016799405217170715,0.014260419644415379,4.000000476837158,100,0.04535068989327964,4.000000000000133,3.9584240913391113,4.0,0.9896060228347449,0.4948030114173889,0.6185037642717361,True,5.16,0.7751937984496382,0.9689922480620478,0.4948030114173889,0.6185037642717361,0.28205961372380467,-0.0415759086610219,0.06168632581830025,0.13360028862953185,246,0.04157018132081418,0.06074550871507258,0.13774429261684418,0.1538773775100708,0.012632874575087695,-0.01154166738676831,0.026634536683559418,nan,nan,nan,nan,nan,nan,0.04535068989327964,True,True,True,4.92,0.11877503646601015,0.14334964752197266,0.007267564535140991,0.01300813008132784,0.01134143028706066,1.0,True,True,True,True,-3.9584240913391113,-0.018114686012268066,0.1005736033069058,0.14805759489536285,0.16641223430633545,0.48311927914619446,0.590564489364624,0.4978860914707184,0.622357614338398,0.27969563007354736,8.935603141784668,0.5233861804008484
9,9,straight,,0.8,0.2932,,,constant,nan,,0,0,0,2.2068101356081064e-06,True,False,False,8.0,0.08523664856560927,0.015202399343252182,0.013008350506424904,0.02680452913045883,0.975,0.015202399343252182,0.013008350506424904,4.000000476837158,100,0.14732108560033869,4.000000000000133,3.8536529541015625,4.0,0.9634132385253585,0.4817066192626953,0.6021332740783691,True,4.94,0.8097165991903104,1.0121457489878878,0.4817066192626953,0.6021332740783691,0.2215633093923829,-0.14634704589857073,0.042397286742925644,0.09798876345157609,235,0.043404138629433715,0.0524539494767585,0.10292994379997253,0.10653206706047058,0.0093000073382195,-0.008246710833082808,0.019887837767601012,nan,nan,nan,nan,nan,nan,0.14732108560033869,True,True,True,4.7,0.11877106518336995,0.09066486358642578,0.006213963031768799,0.051063829787262316,0.009696172648972903,1.0,True,True,True,True,-3.8536529541015625,-0.01691320538520813,0.060582462941305225,0.19420701265335083,0.12032586336135864,0.4743659496307373,0.5702853202819824,0.4881367087364197,0.6101708859205246,0.2808104455471039,9.840784072875977,0.5034370422363281
