family,evaluation,timestamp,policy_kind,checkpoint,checkpoint_sha256,git_commit,dataset_sha256,task,seed,duration_s,num_scenarios,num_inference_steps,exec_horizon,survival_rate,missing_provenance,source_file
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\20260717_123457,2026-07-17T12:40:37,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\checkpoints_iri\diffuseloco_robust_walk_crouch.pt,2C41034B8ACF7E92AC28EF157F9F483F54C5EDA6B32976B8FBCCEA6E321676C0,24b02458e67c651b0f90dc46b501904778908fcf,walk_crouch_v5.hdf5:BEC1DCA44D31787012416AF584C8800FF340F295E18409C450E69625C582E0B1,solo12-v0,42,8.0,45,10,1,1.0,,scripts\baseline_diffuseloco\evaluations\20260717_123457\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\_runtime_smoke\k5_h4,2026-07-14T13:58:38,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,1f29cb137ec5640c5b97c9dd1e3130865985e61b,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,2.0,15,5,4,1.0,,scripts\baseline_diffuseloco\evaluations\_runtime_smoke\k5_h4\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\_smoke,2026-07-14T12:39:18,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,7c5920209820d893e37702f2eb18a8ccaec26913,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,1.0,1,10,1,1.0,,scripts\baseline_diffuseloco\evaluations\_smoke\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\_smoke_realtime,2026-07-14T12:57:25,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,9ee1bad5e798f0475135134dd9939f8ddd5fe072,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,2.0,1,10,8,1.0,,scripts\baseline_diffuseloco\evaluations\_smoke_realtime\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\diffuseloco_robust_k4_h4,2026-07-17T12:58:53,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\checkpoints_iri\diffuseloco_robust_walk_crouch.pt,2C41034B8ACF7E92AC28EF157F9F483F54C5EDA6B32976B8FBCCEA6E321676C0,24b02458e67c651b0f90dc46b501904778908fcf,walk_crouch_v5.hdf5:BEC1DCA44D31787012416AF584C8800FF340F295E18409C450E69625C582E0B1,solo12-v0,42,8.0,45,4,4,1.0,,scripts\baseline_diffuseloco\evaluations\diffuseloco_robust_k4_h4\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h1,2026-07-14T14:16:15,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,1,0.8666666666666667,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h1\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h2,2026-07-14T14:17:34,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,2,0.8,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h2\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h4,2026-07-14T14:18:43,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,4,0.9333333333333333,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h4\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h6,2026-07-14T14:19:51,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,6,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h6\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h8,2026-07-14T14:20:56,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,8,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k10_h8\summary.json
