scenario_id,repeat,requested_vx,requested_vy,requested_wz,requested_height,samples,survived,time_to_failure_s,achieved_vx_mean,achieved_vy_mean,achieved_wz_mean,achieved_height_mean,achieved_height_std,vx_rmse,vy_rmse,wz_rmse,height_rmse,tilt_rms_deg,tilt_max_deg,action_delta_rms
0,0,0.0,0.0,0.0,0.1705,300,True,nan,-0.0011063315905630589,-0.0015558165032416582,0.006167142186313868,0.16979774832725525,0.0009611279238015413,0.03950599208474159,0.016719473525881767,0.10639344155788422,0.001190347713418305,0.6053490042686462,1.1079144477844238,0.05747784674167633
1,0,0.0,0.0,0.0,0.2,300,True,nan,-0.06158845126628876,-0.04880479350686073,-0.05853388458490372,0.20921258628368378,0.002194327302277088,0.06586132198572159,0.05496092140674591,0.16042327880859375,0.009470297023653984,1.2626063823699951,3.0818822383880615,0.08741559833288193
2,0,0.0,0.0,0.0,0.23,300,True,nan,-0.0971434935927391,-0.0596938319504261,-0.011431775987148285,0.233318030834198,0.0026012856978923082,0.1071859672665596,0.07022019475698471,0.1974869668483734,0.004216138739138842,2.1937153339385986,7.006446361541748,0.0969899371266365
3,0,0.0,0.0,0.0,0.26,60,False,3.22,-0.2385420948266983,-0.014615298248827457,0.004051349125802517,0.2593103051185608,0.036316294223070145,0.272975891828537,0.08460253477096558,0.45985910296440125,0.03632283955812454,15.50029182434082,39.101295471191406,0.12484531849622726
4,0,0.0,0.0,0.0,0.2932,300,True,nan,0.03232746198773384,-0.10765955597162247,-0.060190994292497635,0.288948118686676,0.012555788271129131,0.08808650821447372,0.12089552730321884,0.38291531801223755,0.01325618289411068,5.525557994842529,16.53753089904785,0.12061968445777893
5,0,0.4,0.0,0.0,0.1705,300,True,nan,0.5096338987350464,0.02346992678940296,0.03582746908068657,0.16695599257946014,0.0018086517229676247,0.11482543498277664,0.0383019782602787,0.1874217540025711,0.003978845663368702,3.2354233264923096,4.8961358070373535,0.17767195403575897
6,0,0.4,0.0,0.0,0.2,300,True,nan,0.4679211378097534,0.018198752775788307,0.0106937475502491,0.20993684232234955,0.0019117300398647785,0.07482415437698364,0.030286667868494987,0.2254301756620407,0.010119064711034298,2.409255266189575,4.129525184631348,0.16189007461071014
7,0,0.4,0.0,0.0,0.23,300,True,nan,0.39387646317481995,0.029597066342830658,-0.02355892024934292,0.24047815799713135,0.0018402386922389269,0.03641818091273308,0.048409149050712585,0.363956093788147,0.010638512670993805,1.930464506149292,3.306962490081787,0.14800052344799042
8,0,0.4,0.0,0.0,0.26,300,True,nan,0.32801496982574463,0.022940153256058693,-0.0021305212285369635,0.2767537236213684,0.0019361859885975718,0.08290846645832062,0.047812335193157196,0.28463366627693176,0.016865238547325134,2.022711753845215,3.262500047683716,0.13294799625873566
9,0,0.4,0.0,0.0,0.2932,177,False,5.5600000000000005,0.30088528990745544,0.1660563200712204,0.02427373267710209,0.25558698177337646,0.059441499412059784,0.23400463163852692,0.2506917119026184,0.6488627195358276,0.07034223526716232,26.34457778930664,89.37504577636719,0.8676421046257019
10,0,0.3,0.15,0.2,0.1705,300,True,nan,0.40279096364974976,0.23678044974803925,0.24671155214309692,0.16717571020126343,0.001803495455533266,0.10865363478660583,0.09231823682785034,0.14901651442050934,0.0037819899152964354,4.003676891326904,6.778825283050537,0.19015488028526306
11,0,0.3,0.15,0.2,0.2,300,True,nan,0.3649090528488159,0.2606847286224365,0.1145252212882042,0.2102706879377365,0.0015886097680777311,0.07328318059444427,0.11447633057832718,0.22644084692001343,0.010392816737294197,3.3842527866363525,6.169524192810059,0.17445869743824005
12,0,0.3,0.15,0.2,0.23,300,True,nan,0.30054062604904175,0.20593461394309998,0.03197873756289482,0.24168355762958527,0.0014967108145356178,0.03579556941986084,0.066007599234581,0.32501816749572754,0.011779023334383965,2.511364698410034,4.9060516357421875,0.14471977949142456
13,0,0.3,0.15,0.2,0.26,300,True,nan,0.22554922103881836,0.16550911962985992,0.0325225405395031,0.2811295688152313,0.0018663813825696707,0.08500602841377258,0.037043534219264984,0.30051231384277344,0.021211858838796616,2.304769515991211,4.223569393157959,0.12558194994926453
14,0,0.3,0.15,0.2,0.2932,177,False,5.5600000000000005,0.2463764250278473,0.2917915880680084,0.11492524296045303,0.27118009328842163,0.05307561159133911,0.20316082239151,0.23121760785579681,0.7058479189872742,0.05746212229132652,22.612911224365234,87.20887756347656,0.6811639666557312
