scenario_id,repeat,requested_vx,requested_vy,requested_wz,requested_height,samples,survived,time_to_failure_s,achieved_vx_mean,achieved_vy_mean,achieved_wz_mean,achieved_height_mean,achieved_height_std,vx_rmse,vy_rmse,wz_rmse,height_rmse,tilt_rms_deg,tilt_max_deg,action_delta_rms
0,0,0.0,0.0,0.0,0.1705,300,True,nan,-0.000336678815074265,-0.00107748550362885,-0.004351125564426184,0.17275413870811462,0.0007783728069625795,0.030856316909193993,0.014828383922576904,0.058038003742694855,0.0023847450502216816,0.670909583568573,1.4524970054626465,0.05363616719841957
1,1,0.0,0.0,0.0,0.1705,300,True,nan,-0.00043558538891375065,-0.0012701780069619417,0.0017268395749852061,0.1730448454618454,0.001049857004545629,0.02408352680504322,0.012513983994722366,0.07106688618659973,0.0027528973296284676,0.3476153016090393,0.7081815004348755,0.04915113002061844
2,2,0.0,0.0,0.0,0.1705,300,True,nan,0.0028378975111991167,-0.001067618140950799,0.004584636073559523,0.1738748550415039,0.0014157844707369804,0.026340950280427933,0.012393551878631115,0.0727926567196846,0.0036597978323698044,0.4588410258293152,0.9849888682365417,0.04925365373492241
3,0,0.0,0.0,0.0,0.2,300,True,nan,-0.015843506902456284,-0.0017122284043580294,-0.024929093196988106,0.2128411829471588,0.0015459742862731218,0.042841535061597824,0.01721719279885292,0.12403522431850433,0.012933908961713314,0.9680575132369995,2.2607460021972656,0.07035411149263382
4,1,0.0,0.0,0.0,0.2,300,True,nan,-0.020469650626182556,-0.0027451487258076668,-0.027639145031571388,0.2127274125814438,0.001420786022208631,0.03364637494087219,0.014516829513013363,0.12729936838150024,0.01280647050589323,1.1083375215530396,2.108283519744873,0.06864289939403534
5,2,0.0,0.0,0.0,0.2,300,True,nan,-0.03625280037522316,-0.006498053669929504,-0.038474973291158676,0.21193180978298187,0.0017941825790330768,0.05097980424761772,0.020020149648189545,0.12636378407478333,0.012065957300364971,1.2428170442581177,2.1291351318359375,0.0724392980337143
6,0,0.0,0.0,0.0,0.23,300,True,nan,-0.06340110301971436,-0.003915851004421711,-0.06071709841489792,0.24227935075759888,0.0018619884504005313,0.0703728124499321,0.024101093411445618,0.23823270201683044,0.012419737875461578,2.1135642528533936,3.337453842163086,0.07945754379034042
7,1,0.0,0.0,0.0,0.23,300,True,nan,-0.049725864082574844,-0.004592394921928644,-0.029315436258912086,0.24297642707824707,0.0017929518362507224,0.059995975345373154,0.0261217150837183,0.18589194118976593,0.01309970859438181,1.9863440990447998,3.6880080699920654,0.07924945652484894
8,2,0.0,0.0,0.0,0.23,300,True,nan,-0.05301398038864136,-0.011846599169075489,-0.030686069279909134,0.2427762895822525,0.0016248495085164905,0.06552156805992126,0.028340144082903862,0.20045125484466553,0.012879175134003162,2.0656046867370605,4.076994895935059,0.0797998458147049
9,0,0.0,0.0,0.0,0.26,300,True,nan,-0.006817760411649942,0.004339116625487804,-0.025396527722477913,0.28055980801582336,0.003947114571928978,0.03782789036631584,0.030046740546822548,0.11040086299180984,0.02093525603413582,2.03143310546875,4.036381244659424,0.061074018478393555
10,1,0.0,0.0,0.0,0.26,300,True,nan,0.00750997057184577,-0.01686275564134121,-0.08568141609430313,0.28126466274261475,0.002464885590597987,0.045205142349004745,0.034698426723480225,0.1612817645072937,0.021407075226306915,1.844611644744873,3.756272077560425,0.06846730411052704
11,2,0.0,0.0,0.0,0.26,300,True,nan,-0.0036887992173433304,-0.002779903821647167,-0.00770364748314023,0.28099966049194336,0.002173780929297209,0.030301056802272797,0.020301738753914833,0.05855761095881462,0.0211118683218956,2.0964488983154297,2.9172208309173584,0.05196748673915863
