scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,12,2.143417663003602e-06,True,50.0,0.08938161121240777,0.04811175912618637,0.03451475501060486,0.03209339827299118,0.0234855767339468,9.989761233329773,249,0.32938132763571965,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.19979509353637695,0.9989754676818847,True,43.03999970209802,0.23210396437625702,1.160519821881285,0.19979509353637695,0.9989754676818847,0.6173202819344037,1.1920897513562068e-07,0.0885823518037796,0.2515670970082277,0.32938132763571965,True,True,42.68,0.11603177514980019,0.009744644165039062,0.000820547342300415,0.03406172815393327,-10.328949928283691,0.01685154438018799,0.28472089767456055,0.25629568099975586,0.1361892968416214,0.20609618723392487,0.26576927304267883,0.206572026014328,1.03286013007164,0.21054887771606445,8.487462043762207,0.4369267523288727
1,1,straight,,0.2,0.23184999078512192,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,12,2.143417663003602e-06,False,43.1,0.08253885947149191,0.04074156656861305,0.03028922714293003,0.034566208720207214,0.026276180520653725,9.99203211069107,249,0.371276796630332,9.99202543497117,9.992025375366211,9.992025375366211,0.999999994034747,0.1998405075073242,0.999202537536621,True,39.94,0.25017589972386506,1.2508794986193252,0.23194116470209405,1.1597058235104702,1.094531971252728,-5.96049591905512e-08,0.08174921572208405,0.20412583351135213,0.371276796630332,True,True,39.6,0.12054077407260753,0.19207191467285156,0.007700443267822266,0.0523238746204841,-10.36971378326416,0.03403115272521973,0.39120227495302395,0.06196536123752594,0.23265400528907776,0.23967106640338898,0.27676159143447876,0.2407054305076599,1.2035271525382996,0.2165064811706543,8.251739501953125,0.4481710195541382
2,2,straight,,0.2,0.23184999078512192,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,12,2.143417663003602e-06,True,50.0,0.07541010356519082,0.04070979729294777,0.027093006297945976,0.0337681919336319,0.023666463792324066,9.982133388519287,249,0.16966748928079226,9.982126712799387,9.982126235961914,9.982126235961914,0.9999999522308736,0.19964252471923827,0.9982126235961913,False,nan,nan,nan,0.19964252471923827,0.9982126235961913,0.8994995013777736,-4.768374726182856e-07,0.07436297833919525,0.1874982677400111,0.16966748928079226,True,True,39.92,0.11267946694206113,0.041443649922506404,0.000747382640838623,0.05005327436872209,-10.16323184967041,-0.04628714919090271,0.13759064674377441,0.023394722491502762,0.20215503871440887,0.2038230448961258,0.25837236642837524,0.2029203623533249,1.0146018117666245,0.2409258335828781,7.02985954284668,0.43717584013938904
3,0,straight,,0.4,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,False,29.0,0.09635276727620708,0.05874168500304222,0.04636504128575325,0.04189954325556755,0.03177590295672417,10.000006675720215,249,0.3300325947393561,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,24.18,0.41356492969397496,1.0339123242349373,0.3450655624568668,0.862663906142167,0.20911852943465503,-3.1441516057384433e-13,0.09576787799596786,0.23757893443107606,0.3300325947393561,True,True,23.82,0.11989551382980948,0.18512248992919922,0.009384512901306152,0.01981528127625165,-10.323092460632324,-0.06732675433158875,0.5450758934020996,0.709003746509552,0.22829264402389526,0.35656166076660156,0.39530831575393677,0.35665571689605713,0.8916392922401428,0.20171327888965607,7.393820762634277,0.4147917628288269
4,1,straight,,0.4,0.23184999078512192,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,False,32.160000000000004,0.13164804828918417,0.05406985059380531,0.04326587915420532,0.04075518250465393,0.03076307661831379,10.000006675720215,249,0.3908225950754952,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,24.48,0.4084967320261566,1.0212418300653914,0.3111387678904792,0.7778469197261979,0.16800459002416904,-3.1441516057384433e-13,0.13125717639923096,0.30167853236198416,0.3908225950754952,True,True,24.060000000000002,0.11499177840697257,0.10007762908935547,0.0061187744140625,0.01562759767249844,-10.379716873168945,0.09250533580780029,0.7821193377124234,0.18392078578472137,0.16215482354164124,0.3227405250072479,0.36453816294670105,0.323398619890213,0.8084965497255325,0.19991962611675262,8.97928237915039,0.3915672302246094
5,2,straight,,0.4,0.23184999078512192,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,False,26.76,0.058499164020577775,0.05833509564399719,0.04430253058671951,0.05462779477238655,0.04508417099714279,10.000006675720215,249,0.3441388393637181,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,25.44,0.39308176100630166,0.9827044025157541,0.3739715781600598,0.9349289454001495,0.13390654176319597,-3.1441516057384433e-13,0.057405974715948105,0.08230779170989995,0.3441388393637181,True,True,24.72,0.12178072647398214,0.06445741653442383,0.008367061614990234,0.004530744336582293,-10.295076370239258,-0.17709258198738098,0.2952495257007046,0.8659866452217102,0.31668761372566223,0.3857797086238861,0.40160396695137024,0.3861895203590393,0.9654738008975983,0.22418011724948883,7.805973052978516,0.4053090512752533
6,0,straight,,0.6,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,False,18.46,0.10837874666663488,0.05588077753782272,0.04565206170082092,0.0448421835899353,0.03410676494240761,9.994312763214111,249,0.4769461842917093,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.19988613128662108,0.33314355214436847,True,16.159998236332733,0.6184596026145525,1.0307660043575875,0.5419905945949596,0.903317657658266,0.5619007811225368,4.768368437879644e-07,0.10780415683984756,0.31083478629589073,0.4769461842917093,True,True,15.68,0.11404455795161744,0.07759523391723633,0.039775967597961426,0.03739196986570226,-10.476649284362793,0.016825377941131592,0.5981588999377652,0.16664469242095947,0.2473863661289215,0.5666720271110535,0.5879325270652771,0.5686547756195068,0.9477579593658447,0.22103212773799896,9.282954216003418,0.431688129901886
7,1,straight,,0.6,0.23184999078512192,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,False,19.92,0.09437626437361613,0.05734927952289581,0.04641393572092056,0.03881382942199707,0.02930327318608761,9.992939114570618,249,0.3793878438240065,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.19985864639282228,0.33309774398803715,True,16.1,0.6206790334689886,1.0344650557816477,0.5021574029970408,0.8369290049950681,0.42926789650718533,-1.1920960396594182e-07,0.0938049778342247,0.2432416439056396,0.3793878438240065,True,True,15.540000000000001,0.12060724319855351,0.034679412841796875,2.1532177925109863e-05,0.04304584548588908,-10.37905216217041,0.01595515012741089,0.18067121505737305,0.42556971311569214,0.23069366812705994,0.5199800133705139,0.5519532561302185,0.5218706130981445,0.8697843551635742,0.22040536999702454,7.771395683288574,0.43038231134414673
8,2,straight,,0.6,0.23184999078512192,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,True,50.0,0.14945325159649622,0.038876552134752274,0.02619013749063015,0.027972236275672913,0.018166327849030495,9.999976992607117,249,0.21423325514763664,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.19999940872192382,0.33333234786987304,True,15.799999014198184,0.632909553215861,1.0548492553597684,0.19999940872192382,0.33333234786987304,0.22160784661307012,1.1920897513562068e-07,0.14490291476249695,0.2502219796180724,0.21423325514763664,True,True,15.42,0.1326146834633748,0.08507138887514311,0.006011903285980225,0.04850650563470926,-10.037579536437988,-0.21091237664222717,0.37488269805908203,0.19490842521190643,0.2179967314004898,0.2252328097820282,0.33189627528190613,0.20075540244579315,0.33459233740965527,0.2798047959804535,7.746826648712158,0.44656577706336975
9,0,straight,,0.8,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,10,2.143417663003602e-06,False,15.8,0.11754449754210672,0.049235131591558456,0.03863273561000824,0.04392031580209732,0.03336608409881592,10.000006675720215,249,0.7020351406653675,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.25,True,13.96,0.7163323782235181,0.8954154727793976,0.6337135614702154,0.7921419518377693,0.11262909168003947,-3.1441516057384433e-13,0.11704020202159882,0.27483055591583216,0.7020351406653675,True,True,13.5,0.11845294953683883,0.024144649505615234,0.01711757481098175,-0.05925925925923603,-10.700891494750977,-0.040056467056274414,2.883009821176529,0.5510351061820984,0.38548555970191956,0.6601626873016357,0.6809113025665283,0.6811731457710266,0.8514664322137833,0.22105230391025543,12.3030366897583,0.48949122428894043
