scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,7,7,7,2.143417663003602e-06,True,24.0,0.043952053662975485,0.04441893845796585,0.0363488532602787,0.028385885059833527,0.021518556401133537,4.800000000000001,120,1.048236590122739,4.800000000000001,5.846721172332764,5.846721172332764,1.218066910902659,0.24361338218053183,1.2180669109026592,True,19.84213774756134,0.2419094182828126,1.209547091414063,0.24361338218053183,1.2180669109026592,0.5700421052068471,1.046721172332763,0.04236971214413643,0.09121267199516296,1.048236590122739,False,False,nan,nan,nan,nan,nan,-5.856966495513916,-0.056347429752349854,0.21113950410951812,0.40335190296173096,0.2742292881011963,0.24226951599121094,0.27257025241851807,0.2440398931503296,1.220199465751648,0.2167094200849533,6.719346046447754,0.4325104355812073
1,1,straight,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,7,7,7,2.143417663003602e-06,True,24.0,0.04543011910764729,0.04045422002673149,0.03146399185061455,0.026842648163437843,0.019666291773319244,4.800000000000001,120,0.8983426062553517,4.800000000000001,5.697535037994385,5.697535037994385,1.18698646624883,0.23739729324976602,1.18698646624883,True,20.059123417721523,0.23929261015261372,1.1964630507630685,0.23739729324976602,1.18698646624883,0.45688351502190006,0.897535037994384,0.04388277605175972,0.08534375838935375,0.8983426062553517,False,False,nan,nan,nan,nan,nan,-5.705509662628174,-0.038081735372543335,0.06831723848451811,0.27405065298080444,0.24308811128139496,0.2349952757358551,0.26583603024482727,0.23767709732055664,1.1883854866027832,0.2206331342458725,6.8407368659973145,0.4393487870693207
2,2,straight,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,7,7,8,2.143417663003602e-06,True,24.0,0.039323260649394225,0.040648434311151505,0.031210677698254585,0.029413968324661255,0.021207015961408615,4.800000000000001,120,1.245507744345961,4.800000000000001,6.045103073120117,6.045103073120117,1.259396473566691,0.2518792947133382,1.259396473566691,True,18.964549029493323,0.25310383033812867,1.2655191516906432,0.2518792947133382,1.259396473566691,0.6603199410001436,1.2451030731201165,0.0374763160943985,0.087925611436367,1.245507744345961,False,False,nan,nan,nan,nan,nan,-6.062976360321045,0.03174668550491333,0.041657272969381404,0.17786559462547302,0.21792230010032654,0.24985849857330322,0.2819153368473053,0.2521079480648041,1.2605397403240204,0.21437418460845947,6.662049770355225,0.43348392844200134
3,0,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,24.0,0.039216867955293847,0.05691389739513397,0.05000555142760277,0.04045688733458519,0.029095016419887543,9.600000000000001,240,0.2081104343607952,9.600000000000001,9.807918548583984,9.807918548583984,1.0216581821441648,0.408663272857666,1.021658182144165,True,23.17763130990416,0.414192454424701,1.0354811360617524,0.408663272857666,1.021658182144165,0.1670857485418515,0.20791854858398295,0.03747715428471565,0.07620708048343658,0.2081104343607952,False,False,nan,nan,nan,nan,nan,-9.807918548583984,-0.008935600519180298,0.09512573877443511,0.21765226125717163,0.27418890595436096,0.4071447253227234,0.4202212393283844,0.4088689088821411,1.0221722722053528,0.21701496839523315,6.860537052154541,0.3904852271080017
4,1,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,24.0,0.037396134790488325,0.05100364610552788,0.04389144107699394,0.0410793200135231,0.027948124334216118,9.600000000000001,240,0.279763259445235,9.600000000000001,9.8797607421875,9.8797607421875,1.0291417439778645,0.4116566975911458,1.0291417439778645,True,22.56218165745857,0.42549076794736507,1.0637269198684125,0.4116566975911458,1.0291417439778645,0.39500177473703985,0.2797607421874986,0.035566262900829315,0.06677252799272537,0.279763259445235,False,False,nan,nan,nan,nan,nan,-9.8797607421875,0.0011859536170959473,0.022243563328878467,0.2405252903699875,0.21170516312122345,0.4120009243488312,0.423502117395401,0.412362277507782,1.030905693769455,0.2214450091123581,6.924999237060547,0.3920952081680298
5,2,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,24.0,0.034276510180208525,0.051884327083826065,0.044523678719997406,0.03967363387346268,0.02817470207810402,9.600000000000001,240,0.3627810488511414,9.600000000000001,9.962780952453613,9.962780952453613,1.0377896825472512,0.41511587301890057,1.0377896825472515,True,22.523999418097183,0.42621205150124286,1.0655301287531072,0.41511587301890057,1.0377896825472515,0.3611488515088952,0.36278095245361186,0.03227587044239044,0.061163814365863794,0.3627810488511414,False,False,nan,nan,nan,nan,nan,-9.962780952453613,0.00026363134384155273,0.08826667467226226,0.23365899920463562,0.2791003882884979,0.4154694676399231,0.42773503065109253,0.4164089560508728,1.041022390127182,0.22155970335006714,6.684566974639893,0.39549171924591064
6,0,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,24.0,0.09817795476851221,0.0495300255715847,0.033404093235731125,0.0382254421710968,0.027162723243236542,9.994312763214111,249,0.13051585795694998,9.994306087494211,9.868003845214844,9.994306564331055,0.9873625801357627,0.41116682688395184,0.6852780448065864,True,16.299995400187026,0.6131477857582424,1.0219129762637373,0.41116682688395184,0.6852780448065864,0.4297662133264138,-0.12630224227936715,0.09390302747488022,0.21543226689100264,0.13051585795694998,True,True,15.76,0.1405761627216733,0.07758504549135405,0.0019147098064422607,0.03415647763288143,-9.873697280883789,-0.03289481997489929,1.8407475391971035,0.1807117760181427,0.2564117908477783,0.4410596191883087,0.486709326505661,0.4121088683605194,0.6868481139341991,0.26339060068130493,7.60274600982666,0.44407111406326294
7,1,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,10,10,10,2.143417663003602e-06,False,11.84,0.03273961363187995,0.05293981358408928,0.04318554699420929,0.04420175775885582,0.03500097617506981,9.992939114570618,249,1.9089970410303452,9.992932438850717,8.084874153137207,8.084874153137207,0.809059222866821,0.336869756380717,0.5614495939678616,False,nan,nan,nan,0.6839995053415573,1.1399991755692622,0.4813026900210761,-1.9080582857135102,0.030590329319238663,0.06934556365013123,1.9089970410303452,True,False,nan,nan,nan,nan,nan,-8.091941833496094,0.05986344814300537,0.11905819574464994,0.7604033350944519,0.8401680588722229,0.683091938495636,0.6936144828796387,0.6850486397743225,1.1417477329572043,0.2372186928987503,7.070248603820801,0.4118342697620392
8,2,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,False,19.400000000000002,0.07859685802577741,0.05382809042930603,0.03814734145998955,0.042881179600954056,0.03321035951375961,9.999976992607117,249,0.4472184119579602,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4166654348373413,0.6944423913955688,True,16.13999939715616,0.6195768705325475,1.032628117554246,0.5159943465477911,0.8599905775796518,0.5031832400964684,1.1920897513562068e-07,0.07789075374603271,0.1686244785785674,0.4472184119579602,True,True,15.8,0.114348457080222,0.045303885136739795,0.004143714904785156,0.032909513727038986,-10.427206993103027,-0.13228273391723633,1.3622385263442993,0.5572009682655334,0.35437995195388794,0.5373556017875671,0.565913736820221,0.5392864942550659,0.8988108237584432,0.2573133707046509,8.262859344482422,0.44879844784736633
9,0,s_curve,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,7,7,8,0.19313717444465053,True,24.0,0.032261931459233714,0.038375213742256165,0.0280108954757452,0.02947797067463398,0.019848018884658813,4.800000000000001,117,1.2873836010969146,4.800000000000001,6.090105056762695,6.090105056762695,1.2687718868255613,0.2537543773651123,1.2687718868255615,True,18.45117790371963,0.26014599312016573,1.3007299656008287,0.2537543773651123,1.2687718868255615,0.6818691010302955,1.2901050567626946,0.030047331005334854,0.05548274591565131,1.2873836010969146,False,False,nan,nan,nan,nan,nan,-5.949581146240234,0.023975074291229248,0.11117148399353027,0.2600039839744568,0.2515566349029541,0.2516004145145416,0.280100017786026,0.25502073764801025,1.2751036882400513,0.2226707488298416,6.313922882080078,0.4412706792354584
