scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.05623612710268209,0.03934560343623161,0.02564368210732937,0.03293309360742569,0.021662987768650055,9.989761233329773,249,0.06435440173342219,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.19979509353637695,0.9989754676818847,True,36.239999473242015,0.2756554829694702,1.378277414847351,0.19979509353637695,0.9989754676818847,1.3362422400615683,1.1920897513562068e-07,0.05526994541287422,0.12150484696030614,0.06435440173342219,True,False,35.58,0.11935473693120291,0.07457834879030424,0.02895735204219818,0.08076881837014821,-10.046588897705078,-0.044396400451660156,0.31746363639831543,0.15147574245929718,0.15375837683677673,0.19946031272411346,0.2592460811138153,0.20075194537639618,1.003759726881981,0.21862976253032684,5.730983734130859,0.27393028140068054
1,1,straight,,0.2,0.23184999078512192,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.027037485541507984,0.03919762745499611,0.026385782286524773,0.034575097262859344,0.02289521135389805,9.99203211069107,249,0.016432254026898706,9.99202543497117,9.992025375366211,9.992025375366211,0.999999994034747,0.1998405075073242,0.999202537536621,True,36.54,0.27345444540150987,1.3672722270075492,0.1998405075073242,0.999202537536621,1.3681593947633743,-5.96049591905512e-08,0.024678753688931465,0.05056321322917933,0.016432254026898706,True,True,35.88,0.11565025758263556,0.004298988972799368,0.008434131741523743,0.07848454389551751,-10.012798309326172,-0.010307282209396362,0.18075799942016602,0.03191985562443733,0.048231493681669235,0.1999894231557846,0.23508650064468384,0.20026323199272156,1.0013161599636078,0.21001508831977844,5.469559669494629,0.2642681896686554
2,2,straight,,0.2,0.23184999078512192,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.05508918951163219,0.04584154486656189,0.030439922586083412,0.03814343735575676,0.025645749643445015,9.982133388519287,249,0.16646565757487553,9.982126712799387,9.982126235961914,9.982126235961914,0.9999999522308736,0.19964252471923827,0.9982126235961913,False,nan,nan,nan,0.19964252471923827,0.9982126235961913,0.508243962491608,-4.768374726182856e-07,0.053882211446762085,0.1311379924416542,0.16646565757487553,True,True,42.38,0.11692648262953048,0.20179009437561035,0.008369654417037964,0.035538619933916604,-10.150541305541992,-0.07105106115341187,0.3011953830718994,0.07496272027492523,0.10629993677139282,0.2041899412870407,0.23741550743579865,0.20272648334503174,1.0136324167251587,0.25139227509498596,5.513158798217773,0.2683643400669098
3,0,straight,,0.4,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.07080326941081173,0.04284302517771721,0.029338646680116653,0.033757198601961136,0.02454291470348835,10.000006675720215,249,0.03242407701071381,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,21.46,0.4659832246039289,1.164958061509822,0.2,0.5,0.3871897356229922,-3.1441516057384433e-13,0.06948278844356537,0.12559579759836192,0.03242407701071381,True,True,20.900000000000002,0.12338479154685093,0.0037317276000976562,0.012485578656196594,0.07846889952154606,-10.030832290649414,-0.010035336017608643,0.3805427551269531,0.05034477263689041,0.146240234375,0.19886526465415955,0.30836576223373413,0.20066851377487183,0.5016712844371796,0.2082706242799759,6.2565107345581055,0.2909938395023346
4,1,straight,,0.4,0.23184999078512192,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.023516121822142216,0.03575119376182556,0.023378241807222366,0.02908581867814064,0.018636539578437805,10.000006675720215,249,0.033095214206241286,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,21.580000000000002,0.4633920296571044,1.158480074142761,0.2,0.5,0.37661731304823365,-3.1441516057384433e-13,0.02134903520345688,0.04648791924118994,0.033095214206241286,True,False,20.76,0.11984537796542391,0.03503990173339844,0.005966067314147949,0.08169556840078579,-10.025585174560547,-0.020993530750274658,0.3653261661529541,0.027453631162643433,0.09363158047199249,0.19941434264183044,0.24611929059028625,0.20076939463615417,0.5019234865903854,0.19153982400894165,5.382977485656738,0.27871888875961304
5,2,straight,,0.4,0.23184999078512192,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.14037703224447412,0.04045374318957329,0.025818999856710434,0.03455502539873123,0.021840877830982208,10.000006675720215,249,0.16403707435671047,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,23.66,0.42265426880812823,1.0566356720203205,0.2,0.5,0.2525164055925986,-3.1441516057384433e-13,0.14015325903892517,0.24535526633262633,0.16403707435671047,True,True,23.28,0.11425752080463682,0.01855325698852539,0.009778439998626709,0.029553264604824436,-10.163812637329102,-0.008578836917877197,0.0826590061187744,0.06978582590818405,0.09264788776636124,0.20588244497776031,0.27529481053352356,0.20382679998874664,0.5095669999718666,0.2775176465511322,5.763666152954102,0.27783286571502686
6,0,straight,,0.6,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.0807629043383933,0.038115523755550385,0.02773914858698845,0.029446106404066086,0.022007407620549202,9.994312763214111,249,0.08917442223958415,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.19988613128662108,0.33314355214436847,True,15.059998026057363,0.6636326293138747,1.1060543821897912,0.19988613128662108,0.33314355214436847,0.24343162662220239,4.768368437879644e-07,0.08021773397922516,0.13748879358172414,0.08917442223958415,True,False,14.38,0.118609755473498,0.059026066456930225,0.027264893054962158,0.09501433153645411,-10.087641716003418,0.016461431980133057,0.19693470001220703,0.03823857009410858,0.18781965970993042,0.19984906911849976,0.3098488748073578,0.2016720473766327,0.3361200789610545,0.20443452894687653,5.831363677978516,0.29305970668792725
7,1,straight,,0.6,0.23184999078512192,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.021677678256651397,0.03765609487891197,0.023787902668118477,0.024004310369491577,0.015424233861267567,9.992939114570618,249,0.02015790386268365,9.992932438850717,9.973508834838867,9.992932319641113,0.9980562658528207,0.19947017669677736,0.33245029449462893,True,15.42,0.6480500933106821,1.0800834888511368,0.19947017669677736,0.33245029449462893,0.23767348614298822,-0.01942360401185006,0.020252011716365814,0.036472512781620024,0.02015790386268365,True,False,14.620000000000001,0.11976282203550286,0.16643149057497222,0.003429785370826721,0.08351111072850326,-9.980576515197754,-0.0053924620151519775,0.37677574157714844,0.06849413365125656,0.07045429944992065,0.19857047498226166,0.24995297193527222,0.19968795776367188,0.3328132629394531,0.18339993059635162,5.185373783111572,0.2915368974208832
8,2,straight,,0.6,0.23184999078512192,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.14437745206745586,0.0414997823536396,0.027343258261680603,0.026156697422266006,0.015690309926867485,9.999976992607117,249,0.1981269306710902,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.19999940872192382,0.33333234786987304,True,17.459998229466425,0.5727360441543878,0.9545600735906464,0.19999940872192382,0.33333234786987304,0.17746276282319112,1.1920897513562068e-07,0.14419575035572052,0.26608474254608133,0.1981269306710902,True,True,16.76,0.1214054650334702,0.2263703346252441,0.014141559600830078,-0.003343059851598107,-10.189769744873047,-0.05693700909614563,0.07612824440002441,0.17593060433864594,0.13453708589076996,0.20651261508464813,0.2947998046875,0.20392820239067078,0.33988033731778466,0.28450337052345276,5.644526481628418,0.29117077589035034
9,0,straight,,0.8,0.23184999078512192,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,10,2.143417663003602e-06,True,False,False,50.0,0.07468000533466633,0.027318043634295464,0.02030937559902668,0.024463031440973282,0.01799859292805195,10.000006675720215,249,0.02167825042533816,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.25,True,12.5,0.8000000000000251,1.0000000000000313,0.2,0.25,0.1860652836447212,-3.1441516057384433e-13,0.07400508224964142,0.13562763184308999,0.02167825042533816,True,True,11.56,0.1203922122624307,0.0822168032275601,0.019555121660232544,0.06505190311421394,-10.017199516296387,-0.013196438550949097,0.19595456123352054,0.04891929775476456,0.1058897003531456,0.1978062391281128,0.32267841696739197,0.20058701932430267,0.25073377415537834,0.20595858991146088,5.976084232330322,0.30295872688293457
