scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,8,8,8,2.143417663003602e-06,True,False,False,24.0,0.02790421594522247,0.04452613368630409,0.03129928186535835,0.03482964262366295,0.02471272647380829,4.800000000000001,120,1.7171788140626212,4.800000000000001,6.517124176025391,6.517124176025391,1.3577342033386228,0.2715468406677246,1.357734203338623,True,17.929550978504974,0.2677144567510101,1.3385722837550502,0.2715468406677246,1.357734203338623,0.8353235880277553,1.71712417602539,0.024917161092162132,0.04891351014375686,1.7171788140626212,False,False,nan,nan,nan,nan,nan,-6.527369499206543,-0.013713657855987549,0.14852666854858398,0.18259918689727783,0.24192258715629578,0.27125632762908936,0.28722527623176575,0.271780788898468,1.35890394449234,0.2367231547832489,5.538008689880371,0.2647950351238251
1,1,straight,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,7,7,8,2.143417663003602e-06,True,False,False,24.0,0.03073208612048333,0.04385596513748169,0.031724609434604645,0.03341921791434288,0.023544594645500183,4.800000000000001,120,1.387063027509888,4.800000000000001,6.184748649597168,6.184748649597168,1.2884893019994097,0.257697860399882,1.28848930199941,True,19.058227465059623,0.25185972876019425,1.2592986438009712,0.257697860399882,1.28848930199941,0.6805541391788918,1.3847486495971673,0.028153380379080772,0.05986455976963043,1.387063027509888,False,False,nan,nan,nan,nan,nan,-6.192723274230957,0.08009237051010132,0.03081536293029785,0.2817431688308716,0.229568749666214,0.2573181986808777,0.2820667624473572,0.2579076886177063,1.2895384430885315,0.23127929866313934,5.677396774291992,0.2626253366470337
2,2,straight,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,8,8,8,2.143417663003602e-06,True,False,False,24.0,0.028302725487925045,0.041439156979322433,0.02809690497815609,0.030267078429460526,0.019909165799617767,4.800000000000001,120,1.8109362480159863,4.800000000000001,6.610846519470215,6.610846519470215,1.3772596915562945,0.27545193831125897,1.3772596915562947,True,17.29543617515086,0.2775298611373779,1.3876493056868893,0.27545193831125897,1.3772596915562947,0.935487754145662,1.8108465194702141,0.025452008470892906,0.0519144132733345,1.8109362480159863,False,False,nan,nan,nan,nan,nan,-6.628719806671143,0.01802670955657959,0.1490495204925537,0.16570109128952026,0.2139555811882019,0.2745445668697357,0.2937498986721039,0.27572041749954224,1.3786020874977112,0.2370479255914688,5.510448455810547,0.2662216126918793
3,0,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.04411491858604359,0.0503457635641098,0.03589526563882828,0.037949997931718826,0.02740834467113018,9.600000000000001,240,0.5227497179823986,9.600000000000001,10.0,10.0,1.0416666666666665,0.4166666666666667,1.0416666666666667,True,20.55419996219997,0.46705782845621824,1.1676445711405454,0.4166666666666667,1.0416666666666667,0.7488468431665496,0.3999999999999986,0.04269104450941086,0.12410387322306633,0.5227497179823986,False,False,nan,nan,nan,nan,nan,-10.122700691223145,-0.007160097360610962,0.13630223274230957,0.053151294589042664,0.060321010649204254,0.42187824845314026,0.4340352416038513,0.4220127761363983,1.0550319403409958,0.24893774092197418,6.1302571296691895,0.28109920024871826
4,1,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.04522524315867696,0.05411635711789131,0.03838847205042839,0.036820583045482635,0.026478851214051247,9.600000000000001,240,0.4923820137492982,9.600000000000001,10.0,10.0,1.0416666666666665,0.4166666666666667,1.0416666666666667,True,19.708015100037763,0.4871114595392007,1.2177786488480018,0.4166666666666667,1.0416666666666667,0.9727008626180884,0.3999999999999986,0.04384516552090645,0.11034447774291035,0.4923820137492982,False,False,nan,nan,nan,nan,nan,-10.092280387878418,-0.010004192590713501,0.35417699813842773,0.15066273510456085,0.1010780930519104,0.42026689648628235,0.4359790086746216,0.42119452357292175,1.0529863089323044,0.25309935212135315,6.043187618255615,0.29228001832962036
5,2,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.03793219128308276,0.051216308027505875,0.03640682250261307,0.04071890935301781,0.02936890348792076,9.600000000000001,240,0.5076528502774726,9.600000000000001,10.0,10.0,1.0416666666666665,0.4166666666666667,1.0416666666666667,True,20.868313284014157,0.4600275963536512,1.150068990884128,0.4166666666666667,1.0416666666666667,0.7551315910601613,0.3999999999999986,0.036180149763822556,0.0657010704278946,0.5076528502774726,False,False,nan,nan,nan,nan,nan,-10.107213020324707,-0.02112826704978943,0.1835691928863525,0.10517183691263199,0.21080522239208221,0.42219728231430054,0.4312687814235687,0.4224628806114197,1.0561572015285492,0.24870461225509644,6.241733074188232,0.2816297709941864
6,0,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.10202797654512921,0.05246782302856445,0.033630575984716415,0.03376288339495659,0.023802779614925385,9.994312763214111,249,0.13077414187447575,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.41642944018046063,0.6940490669674344,True,15.779990548210392,0.6333531098741795,1.0555885164569658,0.41642944018046063,0.6940490669674344,0.47709580076396757,4.768368437879644e-07,0.10156343132257462,0.22009176313877102,0.13077414187447575,True,True,15.38,0.11598299831428954,0.08093976974487305,0.0011779069900512695,0.049824843140065744,-10.126054763793945,-0.034815698862075806,0.3373219966888428,0.08344864845275879,0.09806196391582489,0.4207324683666229,0.458805650472641,0.42205774784088135,0.7034295797348022,0.2715013027191162,5.638988018035889,0.3100937306880951
7,1,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.10824257289423612,0.05019596219062805,0.03456680476665497,0.031035322695970535,0.021559881046414375,9.992939114570618,249,0.16798711089988017,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.4163721799850464,0.6939536333084106,True,15.72,0.63568272511773,1.0594712085295501,0.4163721799850464,0.6939536333084106,0.4897841508850427,-1.1920960396594182e-07,0.10784126818180084,0.2265182256698608,0.16798711089988017,True,True,14.96,0.11802985460398922,0.017220020294189453,0.014355331659317017,0.0679767673028554,-10.167985916137695,-0.0006344318389892578,0.2800283432006836,0.27739545702934265,0.17913135886192322,0.42417338490486145,0.47224539518356323,0.4238487184047699,0.7064145306746166,0.2661276161670685,5.959753036499023,0.31274276971817017
8,2,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,12,12,11,2.143417663003602e-06,False,False,True,23.78,0.1033352788388992,0.05392580106854439,0.03674061968922615,0.03286466374993324,0.023131046444177628,9.999976992607117,249,0.39351701124453,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4166654348373413,0.6944423913955688,True,16.839997417362184,0.5938225564439314,0.9897042607398858,0.420874176603375,0.701456961005625,0.5234922131570006,1.1920897513562068e-07,0.10286828130483627,0.24180285558104503,0.39351701124453,True,True,16.32,0.11797315839373332,0.06518936157226562,0.014254242181777954,0.012743279221030468,-10.372775077819824,0.12607204914093018,0.577064037322998,0.16819129884243011,0.3054579496383667,0.43413540720939636,0.4809962213039398,0.4369918406009674,0.7283197343349457,0.26692065596580505,7.324426174163818,0.31128689646720886
9,0,s_curve,,0.2,0.23184999078512192,,interleaved,0.8,0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932;0.2500;0.2100;0.1705;0.2932,8,8,9,0.19313717444465053,True,False,False,24.0,0.027583332623347223,0.043874844908714294,0.028865400701761246,0.031079523265361786,0.020924700424075127,4.800000000000001,117,2.061021164395564,4.800000000000001,6.865711688995361,6.865711688995361,1.4303566018740335,0.2860713203748067,1.4303566018740335,True,16.909003957910997,0.28387242749176167,1.4193621374588083,0.2860713203748067,1.4303566018740335,1.0292065925466298,2.0657116889953606,0.024650227278470993,0.04883130788803099,2.061021164395564,False,False,nan,nan,nan,nan,nan,-6.697685718536377,-0.17542245984077454,0.15688467025756836,0.3718922436237335,0.22614799439907074,0.28634026646614075,0.3023079037666321,0.2872112989425659,1.4360564947128296,0.2414722740650177,5.45328950881958,0.26971635222435
