scenario,path_shape,repeat,requested_speed_m_s,progress_start_m,progress_end_m,required_height_m,tangent_speed_mean_m_s,speed_error_mean_m_s,schedule_error_mean_m,samples
0,straight,0,0.4000000059604645,0.0,0.8,0.29319998621940613,0.4387465591335462,0.03874655317308174,-0.04676301592588412,90
0,straight,0,0.4000000059604645,0.8,1.6,0.1704999953508377,0.3916538889501609,-0.008346117010303572,0.08790666831357843,102
0,straight,0,0.4000000059604645,1.6,2.4000000000000004,0.29319998621940613,0.49667465521229637,0.0966746492518319,0.10493040468663413,81
0,straight,0,0.4000000059604645,2.4000000000000004,3.2,0.1704999953508377,0.36597766239534724,-0.03402234356511723,0.17627648784355768,110
0,straight,0,0.4000000059604645,3.2,4.0,0.29319998621940613,0.6015314486489367,0.20153144268847223,0.2684759583544387,67
0,straight,0,0.4000000059604645,4.0,4.800000000000001,0.1704999953508377,0.37531461763494417,-0.02468538832552028,0.4143416939310321,106
0,straight,0,0.4000000059604645,4.800000000000001,5.6000000000000005,0.29319998621940613,0.48499495598925163,0.08499495002878718,0.4119812908646589,83
0,straight,0,0.4000000059604645,5.6000000000000005,6.4,0.1704999953508377,0.36908485063097696,-0.03091515532948754,0.48230365202101977,110
0,straight,0,0.4000000059604645,6.4,7.2,0.29319998621940613,0.5141497153740424,0.11414970941357798,0.47602358267059786,77
0,straight,0,0.4000000059604645,7.2,8.0,0.1704999953508377,0.44707808226019474,0.04707807629973024,0.6307472301564396,91
0,straight,0,0.4000000059604645,8.0,8.8,0.29319998621940613,0.6200322844088078,0.22003227844834328,0.8325620235800768,64
0,straight,0,0.4000000059604645,8.8,9.600000000000001,0.1704999953508377,0.3521105753743778,-0.04788943058608667,0.9954654252321852,115
0,straight,0,0.4000000059604645,9.600000000000001,10.4,0.29319998621940613,0.11063255009671244,-0.28936745586375207,0.5968063893914254,104
1,straight,1,0.4000000059604645,0.0,0.8,0.29319998621940613,0.4191067619645532,0.019106756004088735,-0.06652273753982896,94
1,straight,1,0.4000000059604645,0.8,1.6,0.1704999953508377,0.3871586172340008,-0.012841388726463685,0.041977982644851794,104
1,straight,1,0.4000000059604645,1.6,2.4000000000000004,0.29319998621940613,0.5586242162519031,0.15862421029143864,0.11493199300103789,72
1,straight,1,0.4000000059604645,2.4000000000000004,3.2,0.1704999953508377,0.38214956592945826,-0.017850440031006224,0.22912574108441755,105
1,straight,1,0.4000000059604645,3.2,4.0,0.29319998621940613,0.5874552520758966,0.18745524611543207,0.32165322903675303,68
1,straight,1,0.4000000059604645,4.0,4.800000000000001,0.1704999953508377,0.4033430723845959,0.0033430664241313936,0.49534192126989496,100
1,straight,1,0.4000000059604645,4.800000000000001,5.6000000000000005,0.29319998621940613,0.5874707541045021,0.18747074814403758,0.5817165150326857,68
1,straight,1,0.4000000059604645,5.6000000000000005,6.4,0.1704999953508377,0.3928495202828379,-0.007150485677626527,0.727707098773384,103
1,straight,1,0.4000000059604645,6.4,7.2,0.29319998621940613,0.5414578052791389,0.14145779931867444,0.8205961170438193,74
1,straight,1,0.4000000059604645,7.2,8.0,0.1704999953508377,0.4447790387567583,0.044779032796293826,0.9607854416042916,91
1,straight,1,0.4000000059604645,8.0,8.8,0.29319998621940613,0.5955971977603969,0.19559719179993246,1.0915847089682076,67
1,straight,1,0.4000000059604645,8.8,9.600000000000001,0.1704999953508377,0.388825268842853,-0.011174737117611445,1.2944120483444315,104
1,straight,1,0.4000000059604645,9.600000000000001,10.4,0.29319998621940613,0.15168140339354674,-0.24831860256691773,0.8811153393785188,150
2,straight,2,0.4000000059604645,0.0,0.8,0.29319998621940613,0.47486213801136934,0.07486213205090489,0.011188114905931981,83
2,straight,2,0.4000000059604645,0.8,1.6,0.1704999953508377,0.35465235559813746,-0.04534765036232703,0.1297815062229616,113
2,straight,2,0.4000000059604645,1.6,2.4000000000000004,0.29319998621940613,0.5660707522446001,0.16607074628413562,0.1532446820954209,71
2,straight,2,0.4000000059604645,2.4000000000000004,3.2,0.1704999953508377,0.4051939525989571,0.005193946638492623,0.26580194116361294,99
2,straight,2,0.4000000059604645,3.2,4.0,0.29319998621940613,0.5911742567139513,0.19117425075348685,0.38656605908800695,68
2,straight,2,0.4000000059604645,4.0,4.800000000000001,0.1704999953508377,0.41082426267010824,0.010824256709643773,0.569555504364628,98
2,straight,2,0.4000000059604645,4.800000000000001,5.6000000000000005,0.29319998621940613,0.5259717474510144,0.12597174149054985,0.6275037321332229,77
2,straight,2,0.4000000059604645,5.6000000000000005,6.4,0.1704999953508377,0.3822766271634744,-0.0177233787969901,0.7706036596435785,104
2,straight,2,0.4000000059604645,6.4,7.2,0.29319998621940613,0.5150030557161722,0.11500304975570777,0.7684555869576278,78
2,straight,2,0.4000000059604645,7.2,8.0,0.1704999953508377,0.44162809947034815,0.04162809350988367,0.9394334079459495,91
2,straight,2,0.4000000059604645,8.0,8.8,0.29319998621940613,0.5202624687017539,0.12026246274128938,1.0615017135953315,78
2,straight,2,0.4000000059604645,8.8,9.600000000000001,0.1704999953508377,0.3766618657786891,-0.023338140181775362,1.1543827217423719,106
2,straight,2,0.4000000059604645,9.600000000000001,10.4,0.29319998621940613,0.18285848579148817,-0.2171415201689763,0.8243202567500885,134
