scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2800;0.2500;0.1705;0.2932;0.2100;0.2932;0.2800;0.2100;0.1705;0.2500,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.0385839413865245,0.052094727754592896,0.03866317495703697,0.027694690972566605,0.020175723358988762,9.989761233329773,249,0.03734360989343616,9.989754557609873,9.98640251159668,9.98640251159668,0.9996644516145154,0.1997280502319336,0.9986402511596679,False,nan,nan,nan,0.1997280502319336,0.9986402511596679,0.1356566354963308,-0.003352046013192833,0.036735717207193375,0.06515188589692116,0.03734360989343616,True,True,49.660000000000004,0.1259076408321457,0.08152538934816558,0.006340682506561279,0.001162999549131516,-9.996647834777832,0.03719198703765869,0.06116348901857574,0.40689921379089355,0.3335016667842865,0.1999969184398651,0.24467182159423828,0.19952638447284698,0.9976319223642349,0.22053071856498718,8.475265502929688,0.38159921765327454
1,1,straight,,0.2,0.2800000011920929,,random,0.8,0.2500;0.2100;0.2800;0.2932;0.2100;0.2932;0.2500;0.1705;0.2800;0.2100;0.1705;0.2932;0.1705,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.036718914295010376,0.05464250221848488,0.042080529034137726,0.030336560681462288,0.02322734333574772,9.99203211069107,249,0.07002866884535468,9.99202543497117,9.945857048034668,9.945857048034668,0.9953794766399496,0.19891714096069335,0.9945857048034668,False,nan,nan,nan,0.19891714096069335,0.9945857048034668,0.5466946638644226,-0.04616838693650216,0.03476731851696968,0.06336517781019209,0.07002866884535468,True,True,49.54,0.12745862631776594,0.05136275291442871,0.00037658214569091797,0.0016961129384572005,-9.953831672668457,0.05265367031097412,0.035976473485128474,0.43076199293136597,0.3207128942012787,0.19950351119041443,0.24636195600032806,0.19867873191833496,0.9933936595916748,0.2198227047920227,8.280278205871582,0.37523049116134644
2,2,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2800;0.2100;0.2800;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.036823099663156805,0.04984036833047867,0.034775279462337494,0.0318489633500576,0.023193378001451492,9.982133388519287,249,0.1265724238029593,9.982126712799387,9.85653305053711,9.85653305053711,0.9874181458645244,0.1971306610107422,0.985653305053711,False,nan,nan,nan,0.1971306610107422,0.985653305053711,0.16026144330077258,-0.1255936622622773,0.03471465781331062,0.06586453467607495,0.1265724238029593,True,False,nan,nan,nan,nan,nan,-9.874405860900879,-0.01570725440979004,0.0931401252746582,0.19372743368148804,0.33751192688941956,0.19742025434970856,0.23927290737628937,0.19684962928295135,0.9842481464147568,0.22332289814949036,8.522741317749023,0.37469756603240967
3,0,straight,,0.4,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2800;0.2500;0.1705;0.2932;0.2100;0.2932;0.2800;0.2100;0.1705;0.2500,12,12,11,2.143417663003602e-06,False,False,True,30.0,0.10132954540924123,0.06455931067466736,0.05072382837533951,0.04829450324177742,0.03924567997455597,10.000006675720215,249,0.45284827416861295,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,25.14,0.39777247414480166,0.9944311853620041,0.333555703802535,0.8338892595063375,0.25738515592867195,-3.1441516057384433e-13,0.10078870505094528,0.25251061320304863,0.45284827416861295,True,True,24.88,0.1214166890685763,0.1322484016418457,0.012839123606681824,0.0019292604501733868,-10.45283031463623,0.0040321946144104,0.6504693031311035,0.8773159384727478,0.28020527958869934,0.3474959433078766,0.38085415959358215,0.3491619825363159,0.8729049563407898,0.20924609899520874,8.455124855041504,0.3845415711402893
4,1,straight,,0.4,0.2800000011920929,,random,0.8,0.2500;0.2100;0.2800;0.2932;0.2100;0.2932;0.2500;0.1705;0.2800;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.06190664330299792,0.0531373955309391,0.033671025186777115,0.03362775593996048,0.020846612751483917,10.000006675720215,249,0.0709482406773539,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,25.1,0.39840637450200456,0.9960159362550114,0.2,0.5,0.1382563139300963,-3.1441516057384433e-13,0.06135384365916252,0.09367753602564333,0.0709482406773539,True,True,24.740000000000002,0.12487036938727825,0.08879685401916504,0.0010974109172821045,0.004203718674224477,-10.070898056030273,-0.002668917179107666,0.14712316194643216,0.0506899319589138,0.08580147475004196,0.20247282087802887,0.25629979372024536,0.20152385532855988,0.5038096383213997,0.1886516958475113,8.788778305053711,0.3701261281967163
5,2,straight,,0.4,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2800;0.2100;0.2800;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,False,True,False,29.46,0.08946504929672998,0.06748324632644653,0.0510852225124836,0.05592219904065132,0.04483010619878769,10.000006675720215,249,0.260154351687597,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,25.14,0.39777247414480166,0.9944311853620041,0.33967391304347827,0.8491847826086957,0.26854640933552043,-3.1441516057384433e-13,0.08883419632911682,0.2268599003553391,0.260154351687597,True,True,24.84,0.12023983378851225,0.00038504600524902344,0.0382310152053833,0.002576489533023918,-10.240108489990234,0.1001400351524353,0.05514389673341948,0.08334794640541077,0.25372132658958435,0.3484779894351959,0.38780510425567627,0.34876611828804016,0.8719152957201004,0.22055913507938385,9.82553768157959,0.40981343388557434
6,0,straight,,0.6,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2800;0.2500;0.1705;0.2932;0.2100;0.2932;0.2800;0.2100;0.1705;0.2500,12,12,11,2.143417663003602e-06,False,False,True,23.92,0.11217681798389968,0.0672360435128212,0.04977092891931534,0.057116907089948654,0.043818939477205276,9.994312763214111,249,0.4540696691986616,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.19988613128662108,0.33314355214436847,True,16.73999765148112,0.5970315107308236,0.9950525178847061,0.4181718227753579,0.6969530379589299,0.5028166048798166,4.768368437879644e-07,0.11172935366630554,0.27205369174480437,0.4540696691986616,True,True,16.48,0.11349039568576284,0.026838604603902885,0.024051740765571594,0.006450612105231235,-10.447744369506836,0.07552558183670044,0.549422025680542,0.11999211460351944,0.3674359619617462,0.43543025851249695,0.48492997884750366,0.43744197487831116,0.7290699581305187,0.20449815690517426,9.408079147338867,0.4056280851364136
7,1,straight,,0.6,0.2800000011920929,,random,0.8,0.2500;0.2100;0.2800;0.2932;0.2100;0.2932;0.2500;0.1705;0.2800;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.050366393016626515,0.04916680231690407,0.02626819722354412,0.03796018287539482,0.020120009779930115,9.992939114570618,249,0.07530256019978926,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.19985864639282228,0.33309774398803715,True,16.78,0.5955263670352036,0.9925439450586726,0.19985864639282228,0.33309774398803715,0.23614402663170816,-1.1920960396594182e-07,0.04992742836475372,0.08609377592802048,0.07530256019978926,True,True,16.34,0.1186697876551065,0.12197709083557129,0.002161771059036255,0.011562572757081835,-10.074021339416504,-0.01383259892463684,0.07651311555971343,0.10174377262592316,0.07595732063055038,0.20278693735599518,0.2671307325363159,0.2014058232307434,0.335676372051239,0.17377501726150513,8.596818923950195,0.3655692934989929
8,2,straight,,0.6,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2800;0.2100;0.2800;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,False,False,True,21.12,0.10559296205653547,0.0726122334599495,0.05678815022110939,0.0639571100473404,0.054954104125499725,9.999976992607117,249,0.4733493190274373,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.19999940872192382,0.33333234786987304,True,16.779999724245158,0.5959457974506648,0.993242995751108,0.4739322481562176,0.7898870802603627,0.494591324623551,1.1920897513562068e-07,0.10508903115987778,0.28574610650539395,0.4733493190274373,True,True,16.54,0.11519158589442156,0.06969196001161772,0.01141732931137085,0.004593126776736178,-10.451237678527832,0.1429821252822876,0.48420381546020513,0.5422406792640686,0.3227377235889435,0.492672324180603,0.5257775783538818,0.4958471655845642,0.8264119426409404,0.20837794244289398,9.58617877960205,0.4085308909416199
9,0,straight,,0.8,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2800;0.2500;0.1705;0.2932;0.2100;0.2932;0.2800;0.2100;0.1705;0.2500,1,1,1,2.143417663003602e-06,False,True,False,1.78,0.034617263154453355,0.05254177004098892,0.043061234056949615,0.07131630927324295,0.06192517653107643,10.000006675720215,249,8.42600267850064,10.000000000000314,1.5740128755569458,1.5740128755569458,0.15740128755568963,0.031480257511138914,0.03935032188892364,False,nan,nan,nan,0.8943254974755374,1.1179068718444216,0.10719497483155943,-8.425987124443369,0.03279263153672218,0.051227763295173645,8.42600267850064,True,False,nan,nan,nan,nan,nan,-1.5740128755569458,0.016189157962799072,0.0886076132403775,1.0015780925750732,1.0605974197387695,0.9036251306533813,0.9243155121803284,0.9053159356117249,1.131644919514656,0.20928837358951569,6.7659831047058105,0.43938377499580383
