scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,19.580000000000002,0.14494946906055212,0.07299315929412842,0.06294551491737366,0.07299315929412842,0.06294551491737366,9.989761233329773,249,0.508637447367031,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.49948773384094236,0.6243596673011779,True,12.659999719007148,0.7890801563456363,0.9863501954320454,0.5107236542340925,0.6384045677926156,0.40433925088406425,1.1920897513562068e-07,0.14462952315807343,0.34094021171331407,0.508637447367031,True,True,12.48,0.12275371705158301,0.0017278830157681177,0.006439328193664551,0.0004611023725858976,-10.476162910461426,-0.1788330078125,0.3366715908050537,0.30581918358802795,0.353498637676239,0.5358918905258179,0.6015523672103882,0.5359339118003845,0.6699173897504807,0.21724428236484528,12.823487281799316,0.4581240713596344
1,1,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,16.32,0.13555334715473988,0.07952947914600372,0.07023511081933975,0.07952947914600372,0.07023511081933975,9.99203211069107,249,0.5437273968354762,9.99202543497117,9.992025375366211,9.992025375366211,0.999999994034747,0.49960126876831057,0.6245015859603882,True,12.74,0.7843034093383964,0.9803792616729954,0.6130076917402583,0.7662596146753228,0.5001725008817541,-5.96049591905512e-08,0.13513676822185516,0.32850382924079896,0.5437273968354762,True,True,12.44,0.12123436208948762,0.023529354725973194,0.003473222255706787,0.0032174786954316525,-10.540670394897461,-0.05757695436477661,0.17814189592470367,0.3038957417011261,0.3089666962623596,0.6433959007263184,0.6760786175727844,0.6471608281135559,0.8089510351419449,0.21007218956947327,10.702136039733887,0.4567021131515503
2,2,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,14.18,0.08872815228278895,0.08505894243717194,0.07897208631038666,0.08505894243717194,0.07897208631038666,9.982133388519287,249,0.4652037934536563,9.982126712799387,9.982126235961914,9.982126235961914,0.9999999522308736,0.4991063117980957,0.6238828897476196,False,nan,nan,nan,0.7049524177939205,0.8811905222424006,0.413820272804691,-4.768374726182856e-07,0.08798184990882874,0.26492461860179894,0.4652037934536563,True,True,12.58,0.11456460966575874,0.06204849878420073,0.011445224285125732,-0.0065082104293016085,-10.448487281799316,0.12358605861663818,0.46222519874572754,0.7615184187889099,0.3522399067878723,0.7299785614013672,0.7557510733604431,0.7380765080451965,0.9225956350564957,0.20130576193332672,9.528076171875,0.4478100538253784
3,0,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,13.72,0.12454859048409123,0.07079032063484192,0.06346166878938675,0.07079032063484192,0.06346166878938675,10.000006675720215,249,0.5793441433023165,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.5,True,10.3,0.9708737864077974,0.9708737864077974,0.7299270072992701,0.7299270072992701,0.37792834029937095,-3.1441516057384433e-13,0.12414586544036865,0.29050909280776954,0.5793441433023165,True,True,10.06,0.12998575151927771,0.05512738227844238,0.0021815896034240723,-0.00596421471169839,-10.516969680786133,0.2614986300468445,0.11454826990236479,0.1243261843919754,0.33892902731895447,0.7608456611633301,0.8058352470397949,0.76890629529953,0.76890629529953,0.2168048769235611,10.11526870727539,0.4839443564414978
4,1,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,14.200000000000001,0.11559434871212665,0.06631522625684738,0.05738261342048645,0.06631522625684738,0.05738261342048645,10.000006675720215,249,0.5046834848506323,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.5,True,10.24,0.9765625000000306,0.9765625000000306,0.7052186177715092,0.7052186177715092,0.31035589834876237,-3.1441516057384433e-13,0.11517493426799774,0.2475563108921051,0.5046834848506323,True,True,10.0,0.12724126695048774,0.09261829057802397,0.01067301630973816,3.1530333899354446e-14,-10.504672050476074,0.0033963918685913086,0.7570533752441406,0.2539629340171814,0.3328828513622284,0.735431432723999,0.774825394153595,0.7422882318496704,0.7422882318496704,0.2229500412940979,10.181267738342285,0.4741498827934265
5,2,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,14.48,0.16347575042607101,0.07511860877275467,0.06735986471176147,0.07511860877275467,0.06735986471176147,10.000006675720215,249,0.47879729432363655,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.5,True,10.26,0.9746588693957422,0.9746588693957422,0.6915629322268326,0.6915629322268326,0.3209189731501919,-3.1441516057384433e-13,0.16318188607692719,0.389471673965454,0.47879729432363655,True,True,10.02,0.14213671520187274,0.09848028818239409,0.017249643802642822,-0.0019960079840005696,-10.471776008605957,-0.08169692754745483,0.4089487234698697,0.8751161098480225,0.44349876046180725,0.7216955423355103,0.7942183017730713,0.7266169786453247,0.7266169786453247,0.21284343302249908,11.401544570922852,0.4693261682987213
6,0,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,11.64,0.12887524132632946,0.052838899195194244,0.0484456829726696,0.052838899195194244,0.0484456829726696,9.994312763214111,249,0.5321144238442523,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.49971532821655273,0.41642944018046063,True,8.49999684741696,1.1758011522711744,0.9798342935593121,0.8600952292883868,0.716746024406989,0.19366755081733356,4.768368437879644e-07,0.12845149636268616,0.2859176993370056,0.5321144238442523,True,True,8.32,0.11404176198797371,0.006273031234741211,0.02823665738105774,0.001238712439208145,-10.531787872314453,0.018638312816619873,0.44537138938903814,1.122397541999817,0.4054272770881653,0.8998916149139404,0.9462890625,0.9069386124610901,0.7557821770509084,0.23183594644069672,9.662806510925293,0.5281051993370056
7,1,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.2670216656229736,0.05679204314947128,0.05356121435761452,0.05679204314947128,0.05356121435761452,9.992939114570618,249,0.19315618517080324,9.992932438850717,9.800395011901855,9.992932319641113,0.9807326399806016,0.4900197505950928,0.40834979216257733,True,8.68,1.1512594975634467,0.9593829146362056,0.4900197505950928,0.40834979216257733,0.19561651383919004,-0.19253742694886178,0.16164889931678772,0.26845923364162444,0.19315618517080324,True,True,8.38,0.11464163358308957,0.14579129219055176,0.022526592016220093,-0.007525961950988425,-9.807462692260742,-0.01545068621635437,1.1116068363189697,0.20739884674549103,0.16468191146850586,0.47196048498153687,0.6098514795303345,0.4906765818595886,0.4088971515496572,0.22663229703903198,13.48756217956543,0.516444981098175
8,2,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,15.34,0.11718719627153608,0.05120030790567398,0.04529023915529251,0.05120030790567398,0.04529023915529251,9.999976992607117,249,0.4979569410461907,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4999985218048096,0.4166654348373413,True,8.539999742242149,1.1709567469216056,0.975797289101338,0.6527395846015791,0.5439496538346493,0.16358990821096508,1.1920897513562068e-07,0.11686687171459198,0.2464996539056301,0.4979569410461907,True,True,8.34,0.1195158188131166,0.04874855676759917,0.019867300987243652,-0.0009627917401417996,-10.497664451599121,0.01706397533416748,0.435711145401001,1.3728413581848145,0.4285568594932556,0.6831795573234558,0.7476726174354553,0.6862261295318604,0.571855107943217,0.23492515087127686,10.343018531799316,0.49868103861808777
9,0,straight,,1.5,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,14.36,0.15659748502421206,0.03616826608777046,0.03165412321686745,0.03616826608777046,0.03165412321686745,10.000006675720215,249,0.5024769857786228,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.3333333333333333,True,7.44,1.3440860215054184,0.896057347670279,0.697350069735007,0.46490004649000466,0.1259194638092337,-3.1441516057384433e-13,0.15637415647506714,0.2740793943405151,0.5024769857786228,True,False,7.24,0.14290887599583973,0.008338451385498047,0.034418657422065735,-0.11878453038669701,-10.482410430908203,-0.1405828595161438,0.8792140483856201,0.5541462898254395,0.37668243050575256,0.7303183078765869,0.8301840424537659,0.7327208518981934,0.4884805679321289,0.2486436516046524,11.465415954589844,0.5178794860839844
10,1,straight,,1.5,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,10.28,0.16344159498542038,0.056744303554296494,0.04999183863401413,0.056744303554296494,0.04999183863401413,10.000006675720215,249,0.5598786817440834,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.3333333333333333,True,7.66,1.3054830287206676,0.8703220191471117,0.9746588693957116,0.6497725795971411,0.4703525504093363,-3.1441516057384433e-13,0.16313903033733368,0.34886935949325537,0.5598786817440834,True,False,7.5600000000000005,0.13932214108048005,0.03921753564943511,0.03617607057094574,-0.1772486772486357,-10.537860870361328,-0.15546733140945435,0.65069562593569,0.5544487833976746,0.5032777786254883,1.028827428817749,1.1007970571517944,1.0295380353927612,0.6863586902618408,0.23233306407928467,12.983576774597168,0.5946294665336609
11,2,straight,,1.5,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,13.58,0.1762001785057938,0.04787788540124893,0.04075875133275986,0.04787788540124893,0.04075875133275986,10.000006675720215,249,0.43570981990875707,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.3333333333333333,True,8.2,1.2195121951219896,0.8130081300813264,0.7374631268436578,0.4916420845624385,0.19990098430535613,-3.1441516057384433e-13,0.17597240209579468,0.3777360484004021,0.43570981990875707,True,False,7.96,0.12779255083594718,0.10457468032836914,0.011188298463821411,-0.2437185929647847,-10.429669380187988,0.07229900360107422,0.6027801672564908,0.19582191109657288,0.2610129714012146,0.7651496529579163,0.8414753079414368,0.7716944813728333,0.5144629875818888,0.23956888914108276,15.613480567932129,0.548501193523407
12,0,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.05337695983459226,0.07931546121835709,0.06952761113643646,0.07931546121835709,0.06952761113643646,14.123391821049154,249,0.15123920120070253,14.123416699192202,14.123416900634766,14.123416900634766,1.0000000142630192,0.7061708450317383,0.8827135562896729,True,17.479994091529008,0.807976056813232,1.00997007101654,0.7061708450317383,0.8827135562896729,1.3599322034049703,2.0144256396292803e-07,0.050654470920562744,0.09647762216627598,0.1512146273003955,True,True,17.02,0.11870863579786846,0.12149489484727383,0.003126382827758789,0.029812967050070527,0.14978474378585815,-2.979252338409424,0.2486229483038187,0.01783043146133423,0.23889172077178955,0.6837074160575867,0.729835569858551,0.6995670795440674,0.8744588494300842,0.21113379299640656,7.209322452545166,0.4362841844558716
13,1,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,2.14,0.045659255406915435,0.08317375928163528,0.074704110622406,0.08317375928163528,0.074704110622406,14.136298179626465,249,2.189455480133407,14.136323057769513,2.14807391166687,2.14807391166687,0.15195421771903125,0.1074036955833435,0.13425461947917938,False,nan,nan,nan,1.013242411163618,1.2665530139545225,0.17548933494235122,-11.988249146102643,0.042718738317489624,0.07027395628392696,2.189471622495145,True,False,nan,nan,nan,nan,nan,-1.3888812065124512,-1.3074296712875366,1.1954357828944921,0.8095135688781738,1.148444414138794,0.9935228824615479,1.0030527114868164,0.9968748092651367,1.246093511581421,0.20698878169059753,8.125978469848633,0.5009381175041199
14,2,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.06740191939438564,0.08581346273422241,0.07668782025575638,0.08581346273422241,0.07668782025575638,14.134797519771382,249,0.19920056065373595,14.13482239791443,14.134821891784668,14.134821891784668,0.9999999641927045,0.7067410945892334,0.8834263682365417,False,nan,nan,nan,0.7067410945892334,0.8834263682365417,1.1212367227841082,-5.061297621011818e-07,0.06557964533567429,0.12934126630425452,0.19917581786526148,True,True,17.32,0.12264497881767157,0.11294797621667385,0.00420805811882019,0.016098290872657572,0.19766414165496826,-3.0244946479797363,0.21668357588350773,0.08053963631391525,0.22255486249923706,0.6802103519439697,0.7178188562393188,0.6966013312339783,0.8707516640424728,0.20368415117263794,7.343053817749023,0.43751341104507446
15,0,circle,,1.0,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.14632377399375615,0.06560177356004715,0.05714225023984909,0.06560177356004715,0.05714225023984909,14.136298179626465,249,0.21812657678761163,14.136323057769513,14.136322975158691,14.136322975158691,0.999999994156131,0.7068161487579345,0.7068161487579345,True,14.3,0.9885540599838819,0.9885540599838819,0.7068161487579345,0.7068161487579345,0.7390402096790931,-8.261082129479291e-08,0.1456611007452011,0.312538382411003,0.2181026160942201,True,True,14.1,0.12527965249568915,0.10979343019425869,0.0046072304248809814,0.0025761033879088124,0.211131751537323,-2.945298671722412,0.1724241618067026,0.18541593849658966,0.3124091625213623,0.6791853308677673,0.7598856091499329,0.6920858025550842,0.6920858025550842,0.22309839725494385,8.249137878417969,0.49022001028060913
16,1,circle,,1.0,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.1207764589087479,0.0666741132736206,0.058405157178640366,0.0666741132736206,0.058405157178640366,14.11689150519669,249,0.22549546959186795,14.116916383339738,14.11691665649414,14.11691665649414,1.0000000193494383,0.705845832824707,0.705845832824707,True,14.159995872865268,0.9969576622823682,0.9969576622823682,0.705845832824707,0.705845832824707,0.7183765030812436,2.731544022083199e-07,0.11992815136909485,0.22660965994000426,0.2254715389836601,True,True,13.780000000000001,0.11756068300195054,0.0026642214506864548,0.018296003341674805,0.024449664973856144,0.21567809581756592,-3.065730333328247,0.09390126354992388,0.21251985430717468,0.2359635978937149,0.6732690930366516,0.7315153479576111,0.6839613318443298,0.6839613318443298,0.22186189889907837,8.91411304473877,0.4762652814388275
17,2,circle,,1.0,0.28,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,10.44,0.07131230630516006,0.07555238902568817,0.07205717265605927,0.07555238902568817,0.07205717265605927,14.123839584179223,249,1.6097423589911346,14.12386446232227,12.373653411865234,12.373653411865234,0.8760812909861878,0.6186826705932618,0.6186826705932618,False,nan,nan,nan,1.1874907305053009,1.1874907305053009,1.0123525744949013,-1.750211050457036,0.06918741762638092,0.10288272798061371,1.6097627861650115,True,False,nan,nan,nan,nan,nan,-1.304138422012329,-2.0563058853149414,0.6793250646442175,0.894281804561615,0.99663245677948,1.1209721565246582,1.1432321071624756,1.1404330730438232,1.1404330730438232,0.2083156704902649,7.312695503234863,0.5180608034133911
18,0,circle,,1.2,0.28,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,9.700000000000001,0.08862671516122768,0.07282459735870361,0.06944527477025986,0.07282459735870361,0.06944527477025986,14.12320285756141,249,1.5485663667684024,14.123227735704457,12.470151901245117,12.470151901245117,0.882953396674313,0.6235075950622558,0.5195896625518799,False,nan,nan,nan,1.288238832773256,1.07353236064438,0.45590050572304697,-1.6530758344593401,0.08685774356126785,0.1658687464892864,1.5485875090828634,True,False,nan,nan,nan,nan,nan,-1.3003666400909424,-2.1590664386749268,0.29080804251134396,0.41474735736846924,1.191023349761963,1.2146445512771606,1.230247974395752,1.225300669670105,1.0210838913917542,0.21087507903575897,8.692094802856445,0.5427222847938538
19,1,circle,,1.2,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.1638585003924479,0.05961735546588898,0.052904848009347916,0.05961735546588898,0.052904848009347916,14.136298179626465,249,0.16951001294526274,14.136323057769513,14.136322975158691,14.136322975158691,0.999999994156131,0.7068161487579345,0.5890134572982788,True,11.96,1.1819668108502936,0.9849723423752448,0.7068161487579345,0.5890134572982788,0.2772412730175743,-8.261082129479291e-08,0.16334137320518494,0.34824307560920714,0.16948513797338863,True,True,11.72,0.11277357341581344,0.18423462472856045,0.016774386167526245,0.0061709093659994,0.1693822145462036,-3.0059125423431396,0.07366771809756756,0.33460327982902527,0.17334507405757904,0.6820501685142517,0.7707752585411072,0.6849926710128784,0.5708272258440654,0.2274463027715683,10.39455509185791,0.5094583034515381
20,2,circle,,1.2,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.11090782968987735,0.05511578917503357,0.05017143487930298,0.05511578917503357,0.05017143487930298,14.128307497128844,249,0.2189161684736566,14.128332375271892,14.128332138061523,14.128332138061523,0.9999999832103066,0.7064166069030762,0.5886805057525635,True,11.94,1.18327741836448,0.9860645153037334,0.7064166069030762,0.5886805057525635,0.2935743759573717,-2.3721036868096235e-07,0.11008213460445404,0.1752208836376667,0.21889272902752668,True,True,11.72,0.11763294455630324,0.14874245785176754,0.00476914644241333,0.005489110518079432,0.20480787754058838,-3.07725191116333,0.1121071372181177,0.3932368755340576,0.23900440335273743,0.6821585297584534,0.7505367398262024,0.6867617964744568,0.5723014970620474,0.23004499077796936,10.944589614868164,0.48783594369888306
