scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.6,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.021963095766223958,0.01706981286406517,0.011533363722264767,0.01706981286406517,0.011533363722264767,9.989761233329773,249,0.007537443890114277,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.49948773384094236,0.8324795564015707,True,16.739998759308484,0.5967595757469782,0.9945992929116304,0.49948773384094236,0.8324795564015707,0.42892579803394143,1.1920897513562068e-07,0.01827843300998211,0.03509738594293593,0.007537443890114277,True,True,16.28,0.11518073229877046,0.12224864959716797,0.0037513524293899536,0.013621287322473696,-10.007296562194824,-0.0018911659717559814,0.1390998363494873,0.05445881187915802,0.08822882920503616,0.49728626012802124,0.5352354645729065,0.4999542236328125,0.8332570393880209,0.16290339827537537,6.191701889038086,0.3584682047367096
1,1,straight,,0.6,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.027841436005737043,0.016509896144270897,0.01161494106054306,0.016509896144270897,0.01161494106054306,9.99203211069107,249,0.040212322491442166,9.99202543497117,9.992025375366211,9.992025375366211,0.999999994034747,0.49960126876831057,0.8326687812805177,True,16.7,0.5983248763455791,0.9972081272426319,0.49960126876831057,0.8326687812805177,0.464901121252828,-5.96049591905512e-08,0.02559799514710903,0.0453797398135066,0.040212322491442166,True,True,16.48,0.1127250647310918,0.0046231746673583984,0.0011138617992401123,0.006312222995823458,-10.040139198303223,-0.0024248361587524414,0.10726118087768555,0.047652918845415115,0.06792537868022919,0.4992913007736206,0.5298222899436951,0.5017970204353333,0.8363283673922222,0.1624363362789154,6.34393310546875,0.36187973618507385
2,2,straight,,0.6,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.03290467238623386,0.016645297408103943,0.011420981958508492,0.016645297408103943,0.011420981958508492,9.982133388519287,249,0.073287752769045,9.982126712799387,9.982126235961914,9.982126235961914,0.9999999522308736,0.4991063117980957,0.8318438529968263,False,nan,nan,nan,0.4991063117980957,0.8318438529968263,0.3884624655356939,-4.768374726182856e-07,0.031076660379767418,0.065823744982481,0.073287752769045,True,True,16.16,0.11743930707322607,0.0815901756286621,0.005460888147354126,0.01770586094055615,-10.052988052368164,-0.05063050985336304,0.08964109420776367,0.11085163056850433,0.10376142710447311,0.4990236163139343,0.5302317142486572,0.5019263029098511,0.8365438381830852,0.16254715621471405,6.178970813751221,0.3617151975631714
3,0,straight,,0.6,0.21,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.03605926776163963,0.04418085515499115,0.041623227298259735,0.04418085515499115,0.041623227298259735,10.000006675720215,249,0.0997093783758086,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.8333333333333334,True,16.72,0.5980861244019328,0.9968102073365547,0.5,0.8333333333333334,0.5468761826538373,-3.1441516057384433e-13,0.034468818455934525,0.07724963389337063,0.0997093783758086,True,True,16.46,0.12339992376830118,0.10447216033935547,0.036491647362709045,0.007533414337807631,-10.09932804107666,-0.008712947368621826,0.0992436408996582,0.08438198268413544,0.10090691596269608,0.5050534009933472,0.529463529586792,0.5053253173828125,0.8422088623046875,0.17056509852409363,6.271962642669678,0.3831213414669037
4,1,straight,,0.6,0.21,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.04118879667638891,0.04381663724780083,0.04096259921789169,0.04381663724780083,0.04096259921789169,10.000006675720215,249,0.07282269386586303,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.8333333333333334,True,16.78,0.5959475566150366,0.9932459276917277,0.5,0.8333333333333334,0.607791617804103,-3.1441516057384433e-13,0.039815645664930344,0.09800598472356793,0.07282269386586303,True,True,16.56,0.11855765824895662,0.052316427230834954,0.015555277466773987,0.0038647342995359324,-10.071036338806152,-0.01603156328201294,0.27991134325136385,0.030717717483639717,0.1535806804895401,0.5041847229003906,0.5390695333480835,0.5041863322257996,0.840310553709666,0.17086316645145416,6.627506256103516,0.3892073929309845
5,2,straight,,0.6,0.21,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.03846312275058617,0.043693218380212784,0.04019525274634361,0.043693218380212784,0.04019525274634361,10.000006675720215,249,0.11869670125924123,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.8333333333333334,True,16.76,0.5966587112172025,0.9944311853620041,0.5,0.8333333333333334,0.5151258005804349,-3.1441516057384433e-13,0.03696176037192345,0.08364122509956358,0.11869670125924123,True,True,16.34,0.12645528702591669,0.02917105356325347,0.015252351760864258,0.01199510403918691,-10.116987228393555,-0.020073115825653076,0.1251201629638672,0.07212036103010178,0.10970775783061981,0.5080457329750061,0.529799222946167,0.5072875022888184,0.845479170481364,0.17200985550880432,6.5405354499816895,0.3875739872455597
6,0,straight,,0.6,0.25,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.05394717327152224,0.06523086130619049,0.05855180695652962,0.06523086130619049,0.05855180695652962,9.994312763214111,249,0.1618463639459538,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.49971532821655273,0.8328588803609213,True,16.779994871798255,0.5956084113167047,0.9926806855278413,0.49971532821655273,0.8328588803609213,0.5916768971842037,4.768368437879644e-07,0.05283273756504059,0.1289241835474968,0.1618463639459538,True,True,16.34,0.12457821186811609,0.01935846010317046,0.0004922151565551758,0.011646639381530655,-10.161239624023438,0.014000177383422852,0.20349574089050293,0.025867903605103493,0.16681784391403198,0.5090224146842957,0.5295533537864685,0.5082647204399109,0.8471078673998516,0.19756442308425903,7.715378284454346,0.39981549978256226
7,1,straight,,0.6,0.25,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.055317293808273715,0.06560119986534119,0.058687973767519,0.06560119986534119,0.058687973767519,9.992939114570618,249,0.17080990329298848,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.4996466159820557,0.8327443599700928,True,16.66,0.599815872680115,0.9996931211335252,0.4996466159820557,0.8327443599700928,0.6166213440945677,-1.1920960396594182e-07,0.05430402606725693,0.13884390890598292,0.17080990329298848,True,True,16.32,0.12711751587875386,0.018909215927124023,0.012043222784996033,0.012312036694284156,-10.164132118225098,0.04729259014129639,0.1781446933746338,0.17449747025966644,0.09899728000164032,0.5087299346923828,0.5272958278656006,0.5083645582199097,0.8472742636998495,0.19576086103916168,7.906864643096924,0.4094395041465759
8,2,straight,,0.6,0.25,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.08386044184485586,0.06424587965011597,0.058205630630254745,0.06424587965011597,0.058205630630254745,9.999976992607117,249,0.20799745964531874,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4999985218048096,0.8333308696746826,True,16.77999977164839,0.5959457957671274,0.9932429929452123,0.4999985218048096,0.8333308696746826,0.6076824275872214,1.1920897513562068e-07,0.08318191021680832,0.21577270105481142,0.20799745964531874,True,True,16.38,0.11890109797209757,0.004905525838033742,0.018497034907341003,0.010498798344762972,-10.207386016845703,-0.015937715768814087,0.5676689147949219,0.3485995829105377,0.1791345477104187,0.5113924741744995,0.5420763492584229,0.5108511447906494,0.8514185746510824,0.197080597281456,7.5029215812683105,0.4116695523262024
9,0,straight,,0.6,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.05424974018724073,0.06810369342565536,0.05966240167617798,0.06810369342565536,0.05966240167617798,10.000006675720215,249,0.22774588512718816,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.8333333333333334,True,16.72,0.5980861244019328,0.9968102073365547,0.5,0.8333333333333334,0.6607006479390193,-3.1441516057384433e-13,0.05310337617993355,0.10085574761033056,0.22774588512718816,True,True,16.42,0.11267904643635761,0.14751869836916168,0.0034843087196350098,0.009013398294781538,-10.227675437927246,-0.0056650638580322266,0.3688313961029053,0.06584355235099792,0.19457080960273743,0.5119977593421936,0.5439185500144958,0.512331485748291,0.8538858095804851,0.22064156830310822,8.53194522857666,0.4174904525279999
