scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.11227419130087703,0.0586816780269146,0.05670108646154404,0.08078780695796013,0.039,0.0586816780269146,0.05670108646154404,9.989761233329773,249,0.24970530754838485,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.49948773384094236,0.6243596673011779,True,13.51999970636676,0.7388871874683219,0.9236089843354024,0.49948773384094236,0.6243596673011779,0.3132109390496348,1.1920897513562068e-07,0.11185257881879807,0.23373204916715623,0.24970530754838485,True,True,13.4,0.14912370669452202,0.01573092142214019,0.03991216421127319,-0.0544959285365767,-10.248748779296875,0.02183455228805542,0.01070857048034668,0.17006376385688782,0.17504996061325073,0.5089737772941589,0.5655692219734192,0.5120144486427307,0.6400180608034134,0.2237335592508316,9.812067031860352,0.5142070055007935
1,1,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.07549154617066599,0.049550916999578476,0.0456724688410759,0.07788781970739364,0.225,0.049550916999578476,0.0456724688410759,9.99203211069107,249,0.09283128767442489,9.99202543497117,9.90090274810791,9.992025375366211,0.9908804588763016,0.4950451374053955,0.6188064217567444,True,13.44,0.743454273435355,0.9293178417941936,0.4950451374053955,0.6188064217567444,0.24511127579224035,-0.09112268686325997,0.07291500270366669,0.14924544766545286,0.09283128767442489,True,False,13.22,0.11510341619849171,0.05137545267214019,0.057346150279045105,-0.0441735677026347,-9.9088773727417,-0.01772978901863098,0.7517362276660366,0.03707818686962128,0.15027818083763123,0.49327975511550903,0.5789939165115356,0.4952338635921478,0.6190423294901848,0.2345663160085678,9.579340934753418,0.5074750781059265
2,0,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.16605843877300516,0.05663890019059181,0.05324402451515198,0.08403116911649704,0.099,0.05663890019059181,0.05324402451515198,9.982133388519287,249,0.2635497910397595,9.982126712799387,9.982126235961914,9.982126235961914,0.9999999522308736,0.4991063117980957,0.4991063117980957,False,nan,nan,nan,0.4991063117980957,0.4991063117980957,0.6993602556587841,-4.768374726182856e-07,0.1657632440328598,0.31107013672590245,0.2635497910397595,True,False,13.68,0.14350385456751055,0.010722462330953664,0.07366189360618591,-0.2703123747953664,-10.015944480895996,0.2630661725997925,0.7823255697833463,0.06923355162143707,0.2381604015827179,0.5021202564239502,0.5851679444313049,0.5003395676612854,0.5003395676612854,0.22704823315143585,9.708312034606934,0.5226924419403076
3,1,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,14.0,0.17868256268508662,0.05878341943025589,0.054274749010801315,0.08919548988342285,0.12446351931330472,0.05878341943025589,0.054274749010801315,10.000006675720215,249,0.46867862102821,10.000000000000314,9.748950004577637,9.748950004577637,0.974895000457733,0.48744750022888184,0.48744750022888184,False,nan,nan,nan,0.6973497857351671,0.6973497857351671,1.2775727851964755,-0.2510499954226777,0.17831040918827057,0.3698385179042816,0.46867862102821,True,False,nan,nan,nan,nan,nan,-9.748950004577637,0.3957687020301819,0.6717553774463101,0.33677181601524353,0.6265895366668701,0.695019006729126,0.7248614430427551,0.6982148885726929,0.6982148885726929,0.2260197252035141,9.98406982421875,0.558495819568634
4,0,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.17526232072756007,0.06332873553037643,0.060275349766016006,0.08739489018917083,0.089,0.06332873553037643,0.060275349766016006,10.000006675720215,249,0.13521645036159782,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.4166666666666667,True,13.36,0.7485029940119996,0.6237524950099997,0.5,0.4166666666666667,1.149712393130486,-3.1441516057384433e-13,0.17501188814640045,0.30284757167100906,0.13521645036159782,True,False,19.34,0.14789320731905456,0.2901303768157959,0.07550682127475739,-0.6829369183040168,-10.134117126464844,-0.017207980155944824,0.3619208335876465,0.16256572306156158,0.1757659912109375,0.5080111622810364,0.5627162456512451,0.5071535110473633,0.42262792587280273,0.2199409157037735,10.113576889038086,0.5146008729934692
5,1,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.14712781473510864,0.055849555879831314,0.05115298554301262,0.0877359852194786,0.196,0.055849555879831314,0.05115298554301262,10.000006675720215,249,0.1403447512280325,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.4166666666666667,True,12.58,0.794912559618467,0.6624271330153891,0.5,0.4166666666666667,0.9246018196002888,-3.1441516057384433e-13,0.14684779942035675,0.22662073224782942,0.1403447512280325,True,False,12.44,0.14509405467612296,0.11373693147768218,0.03642018139362335,-0.39614147909965314,-10.06222915649414,0.12579333782196045,0.4608338514911099,0.31748202443122864,0.1749154031276703,0.4991491734981537,0.5821831226348877,0.5042951703071594,0.4202459752559662,0.22907884418964386,9.538076400756836,0.5087353587150574
6,0,straight,,1.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.16486592243637094,0.062025055289268494,0.05775851383805275,0.09116973355412483,0.116,0.062025055289268494,0.05775851383805275,9.994312763214111,249,0.08485457570298337,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.49971532821655273,0.35693952015468056,True,14.81995238098378,0.6743817949319731,0.48170128209426655,0.49971532821655273,0.35693952015468056,1.9747120021259588,4.768368437879644e-07,0.1628192961215973,0.26570854932069776,0.08485457570298337,True,False,14.66,0.12793100961892678,0.11313945451845367,0.04515440762042999,-0.7182601577425504,-10.002656936645508,0.08481210470199585,0.12416338920593262,0.0780205950140953,0.0914141908288002,0.4928900897502899,0.5713855624198914,0.4998975694179535,0.35706969244139536,0.22245462238788605,9.217049598693848,0.5180635452270508
7,1,straight,,1.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,15.280000000000001,0.20196233260685842,0.06930740922689438,0.06587183475494385,0.09665318131446837,0.06946264744429882,0.06930740922689438,0.06587183475494385,9.992939114570618,249,0.08329127951717502,9.992932438850717,9.912515640258789,9.992932319641113,0.9919526326146986,0.49562578201293944,0.3540184157235282,True,13.76,0.7262305551490347,0.5187361108207391,0.6495750747220701,0.4639821962300501,2.0400665764266623,-0.08041679859192818,0.2015785574913025,0.3163400530815124,0.08329127951717502,True,False,13.6,0.11980857631912359,0.04322320619692046,0.0410296767950058,-0.665225555966859,-9.919583320617676,0.021692335605621338,0.4714482466327115,0.2580488622188568,0.3579017221927643,0.644164502620697,0.7139692306518555,0.6497703790664673,0.464121699333191,0.21451325714588165,9.290695190429688,0.5578079223632812
8,0,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,17.18,0.21862656969981528,0.04522722214460373,0.041041016578674316,0.07145443037152291,0.26223776223776224,0.04522722214460373,0.041041016578674316,14.136298179626465,249,1.7189852294000747,14.136323057769513,12.283212661743164,12.283212661743164,0.8689114284914524,0.6141606330871582,0.7677007913589476,False,nan,nan,nan,0.7158049336680166,0.8947561670850207,0.627668687560491,-1.8531103960263486,0.21792948246002197,0.31693285554647443,1.7190055581518808,True,False,nan,nan,nan,nan,nan,-1.3856573104858398,-1.9826833009719849,1.8950363602489233,0.7582309246063232,0.7919551134109497,0.6292694807052612,0.6621799468994141,0.6271256804466248,0.783907100558281,0.2392084151506424,9.560847282409668,0.5646247267723083
9,1,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,20.0,0.22235005446769496,0.03786737844347954,0.034517932683229446,0.06102010384202003,0.407,0.03786737844347954,0.034517932683229446,14.136298179626465,249,0.4140623785832053,14.136323057769513,13.725202560424805,13.725202560424805,0.9709174376063264,0.6862601280212403,0.8578251600265503,False,nan,nan,nan,0.6862601280212403,0.8578251600265503,1.271257913425321,-0.411120497344708,0.22165444493293762,0.36461815088987326,0.41408456419702216,True,False,nan,nan,nan,nan,nan,-0.3656594157218933,-2.805683135986328,0.32028072141110897,0.5443466901779175,0.6752297878265381,0.5895467400550842,0.6211062073707581,0.5935906767845154,0.7419883459806442,0.2457929104566574,9.209080696105957,0.5488815903663635
