scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,12,2.143417663003602e-06,False,False,True,45.14,0.09104668093464377,0.018940458074212074,0.013394857756793499,0.04050794243812561,0.8949468085106383,0.040906503796577454,0.02629275619983673,9.989761233329773,249,0.5664233505297239,9.989754557609873,9.989754676818848,9.989754676818848,1.0000000119331236,0.19979509353637695,0.9989754676818847,True,42.25999954354694,0.23638794759843526,1.1819397379921763,0.22140413734084327,1.1070206867042163,1.700147375312627,1.1920897513562068e-07,0.09029997140169144,0.14323556423187256,0.5664233505297239,True,True,True,41.76,0.12347575153985027,0.1781786123858853,0.00638715922832489,0.0392182604791636,0.012851789488135283,0.9707842280642042,True,True,True,True,-10.556347846984863,0.10635930299758911,0.4439221064196988,0.9998129606246948,0.3773788511753082,0.23148514330387115,0.2864832282066345,0.23407085239887238,1.1703542619943619,0.22105039656162262,10.737977981567383,0.4239640533924103
1,1,straight,,0.2,0.2800000011920929,,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.050294922566504856,0.023492315784096718,0.015665194019675255,0.05479742512106895,0.8464,0.03831105679273605,0.024038225412368774,9.99203211069107,249,0.006491519130002122,9.99202543497117,9.99137020111084,9.992025375366211,0.9999344243202147,0.1998274040222168,0.999137020111084,True,49.18,0.20317253832800264,1.015862691640013,0.1998274040222168,0.999137020111084,1.5533283994512557,-0.0006552338603302843,0.048583753407001495,0.08868601918220513,0.006491519130002122,True,True,True,41.2,0.12031980792128043,0.0039057731628417964,0.00308150053024292,0.042524889198329335,0.016355680606571117,0.9427077973109077,True,True,True,True,-9.999344825744629,0.006457507610321045,0.07808858553041656,0.03649826720356941,0.11031293123960495,0.19732548296451569,0.25384393334388733,0.19993247091770172,0.9996623545885086,0.21639345586299896,10.123779296875,0.423374205827713
2,2,straight,,0.2,0.2800000011920929,,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,12,2.143417663003602e-06,True,False,False,50.0,0.0781296051695431,0.02221071533858776,0.014769180677831173,0.04895249679684638,0.8376,0.04141183942556381,0.02636232227087021,9.982133388519287,249,0.057860584497582364,9.982126712799387,9.982126235961914,9.982126235961914,0.9999999522308736,0.19964252471923827,0.9982126235961913,False,nan,nan,nan,0.19964252471923827,0.9982126235961913,1.355892829156399,-4.768374726182856e-07,0.07716259360313416,0.17991689965128896,0.057860584497582364,True,True,True,40.28,0.12012719133499276,0.08201104799379547,0.0003800690174102783,0.04781843874874345,0.016123434635270377,0.9440238020242853,True,True,True,True,-10.023712158203125,-0.05277946591377258,0.10833430290222168,0.10493569076061249,0.11827588826417923,0.19966377317905426,0.2726000249385834,0.20019207894802094,1.0009603947401047,0.2557468116283417,8.690742492675781,0.448809415102005
3,0,straight,,0.4,0.2800000011920929,,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,False,False,True,20.54,0.11058799696906799,0.03999793156981468,0.03141821548342705,0.08251816779375076,0.5730994152046783,0.04954715073108673,0.041147954761981964,10.000006675720215,249,0.5625225535494074,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,18.46,0.5417118093174601,1.3542795232936502,0.4873294346978558,1.2183235867446394,1.7709060052709968,-3.1441516057384433e-13,0.110040083527565,0.24741261824965477,0.5625225535494074,True,True,False,18.240000000000002,0.11064603128298413,0.18925029436220367,0.01857699453830719,0.14824561403510483,0.03328292872556276,0.6828260441845004,True,True,False,True,-10.530535697937012,0.18698441982269287,0.3472998777972623,0.892205536365509,0.40746453404426575,0.5019170045852661,0.5338562726974487,0.5142662525177002,1.2856656312942505,0.22845366597175598,11.792623519897461,0.4823635220527649
4,1,straight,,0.4,0.2800000011920929,,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.09324523891207145,0.023920444771647453,0.017037982121109962,0.053326788544654787,0.8156,0.03391098976135254,0.021844057366251945,10.000006675720215,249,0.15035236452083509,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,25.44,0.39308176100630166,0.9827044025157541,0.2,0.5,0.7523240833812376,-3.1441516057384433e-13,0.09284112602472305,0.1659056045114994,0.15035236452083509,True,True,True,20.92,0.11724199003418306,0.00707387924194336,0.008721336722373962,0.0780114722753496,0.026423766100782935,0.7533101161942297,True,True,True,True,-10.15034008026123,0.0019210577011108398,0.022592131291524955,0.10308492928743362,0.08255699276924133,0.2013712078332901,0.26615846157073975,0.2032073438167572,0.508018359541893,0.19509802758693695,8.716621398925781,0.4159000813961029
5,2,straight,,0.4,0.2800000011920929,,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,9,9,9,2.143417663003602e-06,False,True,False,14.24,0.05518755314732247,0.048156995326280594,0.04003193974494934,0.08429387211799622,0.3924050632911392,0.05822655186057091,0.052138734608888626,10.000006675720215,249,2.1401367175206225,10.000000000000314,7.86115837097168,7.86115837097168,0.7861158370971433,0.1572231674194336,0.39305791854858396,False,nan,nan,nan,0.5528240767209338,1.3820601918023345,1.1144002555140964,-2.1388416290286347,0.053934112191200256,0.09320446848869324,2.1401367175206225,True,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-7.86115837097168,0.07444143295288086,0.8899663130389616,0.4891977310180664,0.5555320978164673,0.5372616052627563,0.571853518486023,0.5552999377250671,1.3882498443126678,0.2398993968963623,12.363177299499512,0.500906229019165
6,0,straight,,0.6,0.2800000011920929,,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,False,False,True,18.76,0.17168736360364423,0.04022033140063286,0.03364574536681175,0.07286623716354365,0.45144076840981856,0.04683234915137291,0.03725031018257141,9.994312763214111,249,0.4863410116260356,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.19988613128662108,0.33314355214436847,True,15.599997288505042,0.640660757989912,1.0677679299831866,0.5333141176270573,0.8888568627117621,0.35533680074799195,4.768368437879644e-07,0.17133387923240662,0.2982583403587341,0.4863410116260356,True,True,True,15.44,0.10396302213631431,0.06310755411256987,0.01041470468044281,0.047299617065687305,0.03348771028292032,0.5967111024120404,True,True,True,True,-10.486151695251465,0.013567805290222168,0.07388049760927398,0.5254848003387451,0.501062273979187,0.5461241006851196,0.6178333163261414,0.55976402759552,0.9329400459925334,0.22475174069404602,10.984490394592285,0.5053622722625732
7,1,straight,,0.6,0.2800000011920929,,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,50.0,0.17216694318606632,0.02792065031826496,0.022230247035622597,0.058971429616212816,0.7756,0.03261171281337738,0.024876557290554047,9.992939114570618,249,0.2378492089454654,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.19985864639282228,0.33309774398803715,True,16.56,0.6034379492059613,1.0057299153432688,0.19985864639282228,0.33309774398803715,0.16338444898926735,-1.1920960396594182e-07,0.1720377653837204,0.27406446337699886,0.2378492089454654,True,True,True,16.02,0.12111197845641564,0.07359194755554199,0.006012782454490662,0.02377855423537567,0.03211783305710613,0.5767281163725029,True,True,True,True,-10.237472534179688,-0.013381510972976685,0.10985452333559233,0.07809093594551086,0.09817153960466385,0.20011600852012634,0.28543582558631897,0.20468313992023468,0.3411385665337245,0.1916726529598236,7.984831809997559,0.4238106310367584
8,2,straight,,0.6,0.2800000011920929,,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,False,False,True,33.74,0.141637780551761,0.03519999235868454,0.023848799988627434,0.08216064423322678,0.6767497034400949,0.03651364892721176,0.024461988359689713,9.999976992607117,249,0.39549757693757237,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.19999940872192382,0.33333234786987304,True,16.759997835503547,0.596657017204607,0.9944283620076783,0.29655902835397957,0.4942650472566326,0.17144706917655933,1.1920897513562068e-07,0.14140813052654266,0.22612448781728745,0.39549757693757237,True,True,False,15.6,0.12003560344498677,0.08281970024108887,0.0012576282024383545,0.04102373826200112,0.042108999992145124,0.4963486760508684,True,True,True,False,-10.34150218963623,0.1994849443435669,0.12035250663757324,0.9055737853050232,0.33430808782577515,0.29442545771598816,0.39784345030784607,0.30707260966300964,0.5117876827716827,0.26891225576400757,8.749980926513672,0.5098956227302551
9,0,straight,,0.8,0.2800000011920929,,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,10,2.143417663003602e-06,False,False,True,15.82,0.3894486020119347,0.04807554557919502,0.040318284183740616,0.08440390452742572,0.4291139240506329,0.04818872734904289,0.03872423619031906,10.000006675720215,249,0.5536216398102358,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.25,True,13.96,0.7163323782235181,0.8954154727793976,0.6329113924050632,0.791139240506329,0.6948968360696317,-3.1441516057384433e-13,0.38929903507232666,0.5764187932014465,0.5536216398102358,True,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-10.282543182373047,0.47609394788742065,0.13144969940185547,0.44255325198173523,0.18755872547626495,0.6134886145591736,0.6856592297554016,0.6513673663139343,0.8142092078924179,0.21814273297786713,14.531112670898438,0.5526037216186523
