scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.04084647760154365,0.013888594694435596,0.00965900719165802,0.023959213495254518,0.9716666666666667,0.022996975108981133,0.012395297177135944,4.000000476837158,100,0.1077486617047772,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.8333333333333333,True,20.14,0.1986097318768686,0.993048659384343,0.16666666666666666,0.8333333333333333,0.15376589770925272,-1.3322676295501878e-13,0.039537496864795685,0.0774539016187191,0.1077486617047772,True,True,True,18.92,0.11989313707076558,0.03141361871828277,0.0027123987674713135,0.011416490486264946,0.008240377432964463,0.9807115619837156,True,True,True,True,-4.1069440841674805,0.013142585754394531,0.03705430030822754,0.049999020993709564,0.11860759556293488,0.17160789668560028,0.2177605926990509,0.1716410517692566,0.858205258846283,0.21807515621185303,7.413707256317139,0.42486950755119324
1,0,straight,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.03948736683362039,0.014719744212925434,0.008252461440861225,0.01961935758590696,0.9575,0.0292062871158123,0.01326760370284319,4.000000476837158,100,0.13055765093107494,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.8333333333333333,True,19.98,0.20020020020020687,1.0010010010010344,0.16666666666666666,0.8333333333333333,0.15789034810684366,-1.3322676295501878e-13,0.038064051419496536,0.07748063020408154,0.13055765093107494,True,True,True,19.72,0.11422382193516241,0.18270451227297024,0.003449857234954834,0.0028397565922988477,0.007082760494512227,0.9808463436597934,True,True,True,True,-4.127519607543945,-0.028001248836517334,0.1033626238452359,0.2727136015892029,0.2109072506427765,0.17367663979530334,0.24103520810604095,0.17250803112983704,0.8625401556491852,0.26480454206466675,6.346637725830078,0.4586758613586426
2,0,straight,,0.2,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.02840164949724778,0.012246173806488514,0.007290020119398832,0.02095507383346557,0.9666666666666667,0.021183932200074196,0.009725147858262062,3.9763667285442352,100,0.04233552963230104,3.9763662517072103,3.9763662815093994,3.9763662815093994,1.00000000749483,0.16568192839622498,0.8284096419811249,True,20.79999927829422,0.19117146104215185,0.9558573052107592,0.16568192839622498,0.8284096419811249,0.25316904306510285,2.9802189160932357e-08,0.025997335091233253,0.05076623857021331,0.04233552963230104,True,True,True,19.12,0.11886930765894886,0.06535941759218414,0.0033275336027145386,0.007968946218996326,0.007216302847475934,1.0,True,True,True,True,-4.042269229888916,0.002368032932281494,0.0839243570910855,0.07498220354318619,0.0952162966132164,0.1667822003364563,0.21380263566970825,0.16737200319766998,0.8368600159883499,0.23765064775943756,6.646353721618652,0.4339944124221802
3,0,straight,,0.2,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.05787221624821646,0.01668892242014408,0.009302991442382336,0.031000433862209294,0.9483333333333334,0.027453303337097168,0.012996393255889416,3.9984847605228424,100,0.06185570451812488,3.9984842836858174,3.9984843730926514,3.9984843730926514,1.0000000223601815,0.16660351554552713,0.8330175777276356,True,20.17999975688065,0.19814094806034271,0.9907047403017135,0.16660351554552713,0.8330175777276356,0.2718226759242966,8.940683393632298e-08,0.05382141098380089,0.11352507434785356,0.06185570451812488,True,True,True,19.78,0.12238600453200893,0.11023718515505035,0.0010692179203033447,0.0021478404290099506,0.008224403789536575,0.9880459486250778,True,True,True,True,-4.035309791564941,0.05078691244125366,0.12885338464845855,0.13675500452518463,0.2107316553592682,0.16765472292900085,0.24150149524211884,0.16816365718841553,0.8408182859420776,0.2506240904331207,7.754071235656738,0.4371313452720642
4,0,straight,,0.35,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,0,1,2.2068101356081064e-06,False,True,False,5.34,0.0853824276112735,0.050624676048755646,0.0371745266020298,0.10587616264820099,0.5413533834586466,0.05700201168656349,0.04283437505364418,4.000000476837158,100,2.7877638110233947,4.000000000000133,1.244979977607727,1.4596619606018066,0.3112449944019214,0.051874165733655296,0.148211902096158,False,nan,nan,nan,0.23401879278340731,0.6686251222383066,0.15742556766190924,-2.755020022392406,0.036320850253105164,0.07011249661445618,2.7877638110233947,True,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-1.2126498222351074,-0.04802173376083374,0.24495553970336914,0.11634809523820877,0.1708139032125473,0.2276482880115509,0.36472567915916443,0.22888559103012085,0.6539588315146311,0.2567019462585449,12.642430305480957,0.5321886539459229
5,0,straight,,0.35,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.08689828053585089,0.019244590774178505,0.011271469295024872,0.04541929513216017,0.92,0.02771778590977192,0.014368311502039433,3.980725407600403,100,0.11825937540817542,3.980724930763378,3.980724811553955,3.980724811553955,0.9999999700533383,0.16586353381474814,0.4738958108992804,False,nan,nan,nan,0.16586353381474814,0.4738958108992804,0.12074497522698906,-1.192094227775442e-07,0.08644083887338638,0.16267745196819303,0.11825937540817542,True,True,True,11.34,0.11415859716545255,0.044090572987691944,0.020507752895355225,0.001033944511761753,0.011329905404525846,0.9338304605409076,True,True,True,True,-4.0733160972595215,-0.09279060363769531,0.10138565698732574,0.34278038144111633,0.22672368586063385,0.16982470452785492,0.27542057633399963,0.1691756248474121,0.4833589281354632,0.27719011902809143,6.893506050109863,0.4794740378856659
6,0,straight,,0.35,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.08640349756322116,0.017368286848068237,0.013437116518616676,0.02856335118412971,0.9558333333333333,0.02757285162806511,0.017174726352095604,4.000000476837158,100,0.1653309648938041,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.36,0.35211267605634977,1.0060362173038566,0.16666666666666666,0.4761904761904762,0.13267147616552347,-1.3322676295501878e-13,0.08604062348604202,0.17461141943931577,0.1653309648938041,True,True,True,10.36,0.1199302787794403,0.11820131937135893,0.017336249351501465,0.03610038610039901,0.010546885189168798,0.9874976766495788,True,True,True,True,-4.165266990661621,-0.004599243402481079,0.021285533905029297,0.12335078418254852,0.08427667617797852,0.17317621409893036,0.2231062352657318,0.17413468658924103,0.4975276759692601,0.2050907462835312,7.887038707733154,0.4223517179489136
7,0,straight,,0.35,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.15579086079424015,0.016863491386175156,0.009922479279339314,0.03302814885973927,0.9475,0.025355786085128784,0.012817573733627796,4.000000476837158,100,0.07164087563561068,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.4761904761904762,True,11.32,0.35335689045937574,1.0095911155982165,0.16666666666666666,0.4761904761904762,0.18174173970308932,-1.3322676295501878e-13,0.15560127794742584,0.3327396601438522,0.07164087563561068,True,True,True,11.14,0.11934481676996617,0.21122128168214993,0.008669078350067139,0.00906642728906043,0.012321392073606536,0.9602176360465948,True,True,True,True,-4.070357322692871,0.013500094413757324,0.0038972536670132344,0.2802339494228363,0.15430502593517303,0.1685444861650467,0.2763795554637909,0.16990087926387787,0.4854310836110797,0.26935362815856934,5.888521194458008,0.49087801575660706
8,0,straight,,0.45,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.08842094693137757,0.016560392454266548,0.013231427408754826,0.032771415263414386,0.9383333333333334,0.02659042552113533,0.01674276404082775,4.000000476837158,100,0.11425976313998966,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.37037037037037035,True,9.08,0.4405286343612482,0.9789525208027737,0.16666666666666666,0.37037037037037035,0.10709467424371288,-1.3322676295501878e-13,0.08813686668872833,0.13465594947338075,0.11425976313998966,True,True,True,8.0,0.12043012548308892,0.0857103506671353,0.009746521711349487,0.05000000000001664,0.014862477674529438,0.9861425508327746,True,True,True,True,-4.111560344696045,0.02468937635421753,0.0009318033801480004,0.1279567927122116,0.1061970442533493,0.1715918928384781,0.23544941842556,0.1713036596775055,0.3806747992833455,0.1908876895904541,7.546225547790527,0.41276276111602783
9,0,straight,,0.45,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.11997228295942035,0.01915927790105343,0.009841055609285831,0.0386612378060817,0.9341666666666667,0.026388904079794884,0.012434941716492176,4.000000476837158,100,0.1443741593947307,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.37037037037037035,True,9.1,0.4395604395604542,0.9768009768010093,0.16666666666666666,0.37037037037037035,0.11106784323581503,-1.3322676295501878e-13,0.11976498365402222,0.20060901418328284,0.1443741593947307,True,True,True,8.52,0.1372498819166506,0.13066965738405423,0.0026476681232452393,0.019483568075133018,0.01055709713289975,0.960715959370957,True,True,True,True,-4.142727375030518,0.021743476390838623,0.07549292245973785,0.03158102557063103,0.1400911659002304,0.17320369184017181,0.27398988604545593,0.17348390817642212,0.3855197959476047,0.27989986538887024,5.9080915451049805,0.49112778902053833
