scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.0821313303000963,0.022420134395360947,0.014416281133890152,0.05462118685245513,0.8741666666666666,0.05219288915395737,0.032086081802845,3.986752063035965,100,0.14191923633825182,3.98675158619894,3.9867515563964844,3.9867515563964844,0.9999999925246269,0.16611464818318686,0.8305732409159342,True,17.06,0.23369001091435757,1.1684500545717877,0.16611464818318686,0.8305732409159342,0.28988879946542057,-2.980245561445827e-08,0.08124860376119614,0.1451671503484249,0.14191923633825182,True,True,False,16.86,0.11879091735759753,0.0236518383026123,0.09538154304027557,0.03646213441274851,0.013021874402093597,0.977367346411755,True,False,True,True,-4.139529228210449,0.02593541145324707,0.08303117752075195,0.07251887023448944,0.06987573206424713,0.17051008343696594,0.2309086173772812,0.17201827466487885,0.8600913733243942,0.24038933217525482,7.299594402313232,0.43655508756637573
1,1,straight,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06689645464319996,0.026629090309143066,0.01767677254974842,0.0633064180612564,0.815,0.048864465206861496,0.03120756708085537,4.000000476837158,100,0.12364861639475196,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.8333333333333333,True,18.02,0.22197558268591194,1.1098779134295595,0.16666666666666666,0.8333333333333333,0.2835144766812744,-1.3322676295501878e-13,0.06586726009845734,0.12117455899715424,0.12364861639475196,True,True,False,17.64,0.1172128049666592,0.07826900482177736,0.09491468966007233,0.026757369614519994,0.012704952931248096,0.9536298301690238,True,False,True,True,-4.118320941925049,0.0359041690826416,0.017535686492919925,0.08933533728122711,0.08626307547092438,0.17208029329776764,0.22982586920261383,0.1720731556415558,0.8603657782077789,0.2327493280172348,7.8809590339660645,0.4221948981285095
2,2,straight,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.06969042267360114,0.02668500505387783,0.018896622583270073,0.05937559902667999,0.8041666666666667,0.05052754282951355,0.033730387687683105,4.000000476837158,100,0.1478606145855043,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.8333333333333333,True,18.68,0.21413276231264097,1.0706638115632048,0.16666666666666666,0.8333333333333333,0.20260841296307466,-1.3322676295501878e-13,0.06861669570207596,0.14506549313664435,0.1478606145855043,True,True,False,18.46,0.1077614628287134,0.010878801345825195,0.09384070336818695,0.016684723726984457,0.013803324287827443,0.9821543248199415,True,False,True,True,-4.147855758666992,-0.0011986792087554932,0.008350610733032227,0.10295271128416061,0.09359796345233917,0.17386594414710999,0.23987238109111786,0.1734483242034912,0.867241621017456,0.2424747198820114,8.175968170166016,0.43382298946380615
3,0,straight,,0.35,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.1558084491802035,0.033339109271764755,0.030304476618766785,0.05782008543610573,0.5775,0.05585680902004242,0.046626754105091095,3.980084002017975,100,0.23857821261115045,3.98008352518095,3.980083465576172,3.980083465576172,0.9999999850242394,0.16583681106567383,0.47381946018763954,True,8.4,0.47381946728344637,1.3537699065241326,0.16583681106567383,0.47381946018763954,0.31982884731905725,-5.960477800215358e-08,0.15565451979637146,0.22768798097968102,0.23857821261115045,True,True,False,7.88,0.132311420735478,0.12430500984191895,0.09112252295017242,0.1550867417742322,0.03172977489310299,0.753518471678853,True,False,False,True,-4.238096714019775,-0.015150219202041626,0.09175545374025543,0.14836156368255615,0.12646394968032837,0.17352688312530518,0.24398921430110931,0.1757737100124359,0.5022106000355312,0.21556814014911652,8.32513427734375,0.4167480766773224
4,1,straight,,0.35,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.15750373454667307,0.03225915506482124,0.027718273922801018,0.06099110618233681,0.6741666666666667,0.05315159633755684,0.042261380702257156,3.9925232529640198,100,0.20952105458048018,3.992522776126995,3.992522716522217,3.992522716522217,0.9999999850708985,0.1663551131884257,0.475300323395502,True,8.34,0.4787197573293759,1.3677707352267883,0.1663551131884257,0.475300323395502,0.30697088939157174,-5.960477800215358e-08,0.15735957026481628,0.21980166137218474,0.20952105458048018,True,True,False,7.92,0.11488626791810769,0.23450016975402832,0.08875922858715057,0.15410641112714585,0.031942298436181765,0.818042444997999,True,False,False,True,-4.209461688995361,-0.004987657070159912,0.0626397768603726,0.04386168345808983,0.10591936111450195,0.1720302850008011,0.24662518501281738,0.17519284784793854,0.500550993851253,0.20945683121681213,8.333425521850586,0.41625750064849854
5,2,straight,,0.35,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,2.2068101356081064e-06,True,False,False,24.0,0.1095190662530092,0.03052848018705845,0.025687990710139275,0.06108362749218941,0.7416666666666667,0.053478024899959564,0.04134803265333176,3.9949936866760254,100,0.15986106577626275,3.9949932098390004,3.994993209838867,3.994993209838867,0.9999999999999667,0.1664580504099528,0.4755944297427223,True,8.74,0.45709304460400463,1.3059801274400133,0.1664580504099528,0.4755944297427223,0.2459969637970829,-1.3322676295501878e-13,0.1093006357550621,0.15764702260494232,0.15986106577626275,True,True,False,8.42,0.14596598420490234,0.014012400303976125,0.11043502390384674,0.12446475176235161,0.0339615020144156,0.6134260409347128,True,False,False,True,-4.159769535064697,-0.00540924072265625,0.010866880416870117,0.04982566088438034,0.11295376718044281,0.16812291741371155,0.23141799867153168,0.17319077253341675,0.494830778666905,0.20898273587226868,8.684236526489258,0.42820173501968384
6,0,straight,,0.45,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.1626833346892432,0.035263337194919586,0.03143582493066788,0.0683034285902977,0.5483333333333333,0.05839235708117485,0.04700334742665291,4.000000476837158,100,0.2608018471289176,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.37037037037037035,True,7.72,0.518134715025924,1.1514104778353866,0.16666666666666666,0.37037037037037035,0.13756594064840125,-1.3322676295501878e-13,0.16211684048175812,0.2551672875881195,0.2608018471289176,True,True,False,7.5600000000000005,0.14533127917446764,0.3350214958190918,0.12074683606624603,0.07910052910054671,0.040504092917816384,0.5757720630869837,True,False,True,False,-4.26027774810791,-0.016526013612747192,0.03058892885317046,0.2205636352300644,0.093692347407341,0.17840223014354706,0.2600564658641815,0.1776641607284546,0.3948092460632324,0.21013984084129333,9.241214752197266,0.4358351528644562
7,1,straight,,0.45,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.18590048099715376,0.03632534295320511,0.032642338424921036,0.06835602968931195,0.5691666666666667,0.04909297078847885,0.04149039462208748,4.000000476837158,100,0.24921033168840448,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.37037037037037035,True,7.12,0.5617977528090075,1.2484394506866832,0.16666666666666666,0.37037037037037035,0.16494945962506974,-1.3322676295501878e-13,0.18579624593257904,0.24752704203128814,0.24921033168840448,True,True,False,6.78,0.13598572483840693,0.2466878890991211,0.0874669998884201,0.13997050147494589,0.04182718225740409,0.40857428524393585,True,False,False,False,-4.246109962463379,-0.03918805718421936,0.00718522071838379,0.07484176009893417,0.1115371435880661,0.17443041503429413,0.24352307617664337,0.1769440472126007,0.39320899380577934,0.20690754055976868,7.91431188583374,0.41207659244537354
8,2,straight,,0.45,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,4,2.2068101356081064e-06,True,False,False,24.0,0.16584716872544705,0.0329928882420063,0.027056757360696793,0.06833108514547348,0.7208333333333333,0.04742293432354927,0.03647352755069733,3.9929224848747253,100,0.2112905982885244,3.9929220080377004,3.992922067642212,3.992922067642212,1.000000014927542,0.1663717528184255,0.3697150062631678,True,7.439999813084531,0.5366830790795794,1.1926290646212874,0.1663717528184255,0.3697150062631678,0.1491283299110486,5.960451154862767e-08,0.1656692773103714,0.21391708999872208,0.2112905982885244,True,True,False,7.2,0.11901234965860304,0.05331730842590332,0.07452568411827087,0.10457250111634725,0.04915473075129695,0.35798289519082216,True,False,False,False,-4.21128511428833,0.0015219449996948242,0.0017015933990478516,0.0729818344116211,0.06499962508678436,0.17402619123458862,0.2497156262397766,0.17525923252105713,0.38946496115790474,0.2030799388885498,7.812405109405518,0.4207616150379181
9,0,circle,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,5,5,5,0.6639431209223358,True,False,False,24.0,0.12884865153083988,0.02972104400396347,0.02246619015932083,0.057394386827945704,0.6358333333333334,0.05626761540770531,0.04055223613977432,4.000000476837158,71,0.33083493906329914,4.000000011613284,4.0,4.0,0.9999999970966791,0.16666666666666666,0.8333333333333333,True,19.16,0.20876826782950333,1.0438413391475165,0.16666666666666666,0.8333333333333333,0.13920943437710576,-1.1613283668054919e-08,0.12775865197181702,0.31760995090007776,0.33083493906329914,True,True,False,18.86,0.12173838453344014,0.4728879928588867,0.09664876759052277,0.012089078028275912,0.014332018685077151,0.9520348656996281,False,False,True,True,-0.3921346962451935,-2.986651659011841,0.08343726396560669,0.3734762668609619,0.1319192349910736,0.1809094399213791,0.23672373592853546,0.1809493452310562,0.9047467261552811,0.25002598762512207,7.150913238525391,0.4302276372909546
