scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,5,5,5,2.143417663003602e-06,True,False,False,20.0,0.054349630400967464,0.024008898064494133,0.015133173204958439,0.055784280598163594,0.813,0.05726257339119911,0.0365770049393177,4.0,100,0.17778630866376505,4.0,4.164179801940918,4.169180393218994,1.0410449504852295,0.2082089900970459,1.0410449504852295,True,16.744761904761905,0.23888067341599362,1.194403367079968,0.2082089900970459,1.0410449504852295,0.49406618487942205,0.16417980194091797,0.05299244448542595,0.10309090502560135,0.17778630866376505,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-4.17442512512207,0.06821256875991821,0.04477524757385253,0.12745068967342377,0.0788508951663971,0.20663003623485565,0.2681843936443329,0.20822088420391083,1.0411044210195541,0.24426792562007904,9.062655448913574,0.44262972474098206
1,1,straight,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,5,5,5,2.143417663003602e-06,True,False,False,20.0,0.0392384139887823,0.025229379534721375,0.017052024602890015,0.056973093748092646,0.819,0.057281870394945145,0.03838445991277695,4.0,100,0.17327247191474837,4.0,4.1727142333984375,4.1810197830200195,1.0431785583496094,0.20863571166992187,1.0431785583496094,True,16.915641765769927,0.2364675284206066,1.182337642103033,0.20863571166992187,1.0431785583496094,0.3900816018480061,0.1727142333984375,0.036978792399168015,0.07581495828926563,0.17327247191474837,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-4.180688858032227,-0.013897210359573364,0.03251767158508301,0.05672973021864891,0.11573150753974915,0.20643405616283417,0.2666834592819214,0.208805650472641,1.044028252363205,0.23768651485443115,8.174229621887207,0.4394969046115875
2,2,straight,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,5,5,5,2.143417663003602e-06,True,False,False,20.0,0.04111131976029263,0.024072647094726562,0.015252559445798397,0.058217948675155576,0.825,0.054466307163238525,0.03406106308102608,4.0,101,0.13186309081274067,4.0,4.130880832672119,4.130880832672119,1.0327202081680298,0.20654404163360596,1.0327202081680298,True,18.61727633587786,0.2148541992843223,1.0742709964216115,0.20654404163360596,1.0327202081680298,0.2588324926881788,0.13088083267211914,0.03911310061812401,0.07655758410692214,0.13186309081274067,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-4.148754119873047,0.016064584255218506,0.11127621332277494,0.16362060606479645,0.10261007398366928,0.20439483225345612,0.2627265751361847,0.20657257735729218,1.0328628867864609,0.2568804919719696,7.221810340881348,0.4533866047859192
3,0,straight,,0.35,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,11,11,12,2.143417663003602e-06,True,False,False,20.0,0.05205335238682414,0.04986116290092468,0.04410221055150032,0.08897713795304296,0.298,0.07908991724252701,0.07428434491157532,7.0,175,1.9384315452571141,7.0,8.938348770141602,8.938348770141602,1.276906967163086,0.4469174385070801,1.2769069671630862,True,13.830490914241775,0.5061280936016406,1.446080267433259,0.4469174385070801,1.2769069671630862,1.5851915300412178,1.9383487701416016,0.05076717585325241,0.11430456638336156,1.9384315452571141,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-8.938348770141602,0.017913103103637695,0.07852322260011871,0.10599944740533829,0.29343605041503906,0.43744996190071106,0.47597724199295044,0.44743481278419495,1.2783851793834142,0.23211748898029327,10.655926704406738,0.4829751253128052
4,1,straight,,0.35,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,10,10,11,2.143417663003602e-06,True,False,False,20.0,0.066788545636082,0.03850764408707619,0.03257540985941887,0.07007619664072987,0.516,0.08958906680345535,0.08583302050828934,7.0,175,1.5567819166812678,7.0,8.553647994995117,8.553647994995117,1.2219497135707311,0.42768239974975586,1.2219497135707311,True,13.215301943844493,0.5296889946022387,1.5133971274349678,0.42768239974975586,1.2219497135707311,1.5301985898060797,1.5536479949951172,0.06554809212684631,0.1245215833187103,1.5567819166812678,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-8.553647994995117,0.09873056411743164,0.022561375294820853,0.6170047521591187,0.5102308392524719,0.42022034525871277,0.46811991930007935,0.4287702739238739,1.2250579254967826,0.23004598915576935,11.233343124389648,0.47750410437583923
5,2,straight,,0.35,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,11,11,12,2.143417663003602e-06,True,False,False,20.0,0.0647538859488668,0.044613294303417206,0.03789086267352104,0.08440042734146116,0.441,0.08416057378053665,0.07880167663097382,7.0,175,2.0667657086175946,7.0,9.066620826721191,9.066620826721191,1.295231546674456,0.45333104133605956,1.295231546674456,True,13.44340293040293,0.5207014947211877,1.4877185563462505,0.45333104133605956,1.295231546674456,1.5691251728656292,2.0666208267211914,0.06371881067752838,0.1320684790611267,2.0667657086175946,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-9.066620826721191,0.024470865726470947,0.0463407039642334,0.09979204088449478,0.4602792263031006,0.445988267660141,0.48455512523651123,0.4546753168106079,1.2990723337445942,0.2377617359161377,10.522244453430176,0.46529945731163025
6,0,straight,,0.5,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,20.0,0.09246210237407486,0.05414898693561554,0.044370491057634354,0.1001165471971035,0.342,0.06205346807837486,0.05180912837386131,9.994312763214111,249,0.03144807719824899,9.994306087494211,9.971918106079102,9.994306564331055,0.9977599263801693,0.4985959053039551,0.9971918106079102,True,19.719995348840275,0.5068107730604496,1.0136215461208993,0.4985959053039551,0.9971918106079102,1.054090734211207,-0.022387981415109337,0.09153076261281967,0.19454205930232998,0.03144807719824899,True,True,False,18.26,0.12237929863046987,0.027329746876852103,0.005750536918640137,0.04733330161523608,0.05620986596090842,0.2552710789004697,True,True,True,False,-9.977611541748047,0.022083938121795654,0.1775992552386685,0.06371573358774185,0.20371407270431519,0.48533895611763,0.542634129524231,0.4987902343273163,0.9975804686546326,0.24078930914402008,8.551082611083984,0.48103195428848267
7,1,straight,,0.5,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,20.0,0.10508711656175515,0.05023851990699768,0.043458450585603714,0.07715697661042212,0.289,0.0659000426530838,0.058232393115758896,9.992939114570618,249,0.09694600552627658,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.4996466159820557,0.9992932319641114,True,19.68,0.5077709572586747,1.0155419145173494,0.4996466159820557,0.9992932319641114,1.0116154186499122,-1.1920960396594182e-07,0.10448742657899857,0.2341837152838706,0.09694600552627658,True,True,False,18.94,0.11665041915521045,0.11613988876342773,0.0027067065238952637,0.02760994925294169,0.05237021873761158,0.24916048568376253,True,True,True,False,-10.0574369430542,0.0780985951423645,0.04088187217712403,0.27091336250305176,0.22647757828235626,0.4905337691307068,0.5380358695983887,0.5027289986610413,1.0054579973220825,0.23819617927074432,10.603262901306152,0.49931034445762634
8,2,straight,,0.5,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,20.0,0.13689967524033278,0.04542951658368111,0.03827483579516411,0.07802525982260704,0.368,0.06856358051300049,0.059715159237384796,9.999976992607117,249,0.09109643433909287,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4999985218048096,0.9999970436096192,True,17.799998090150186,0.5617961454962629,1.1235922909925258,0.4999985218048096,0.9999970436096192,0.9258975352770087,1.1920897513562068e-07,0.13645583391189575,0.24837084412574767,0.09109643433909287,True,True,False,16.9,0.11628886019226084,0.09809279441833496,0.008551269769668579,0.09171421993415485,0.04491752569295666,0.38794190563318953,True,True,False,False,-10.069975852966309,0.05832529067993164,0.005541801452636719,0.08939004689455032,0.20852382481098175,0.4847555160522461,0.5381439328193665,0.5038871765136719,1.0077743530273438,0.24535919725894928,9.491323471069336,0.495965838432312
9,0,s_curve,,0.2,0.2800000011920929,,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,5,5,5,0.19313717444465053,True,False,False,20.0,0.04516636014110313,0.023482397198677063,0.015060941688716412,0.05687251314520834,0.834,0.06254921108484268,0.04140138253569603,4.0,97,0.1564468900495202,4.0,4.154433727264404,4.154834270477295,1.038608431816101,0.20772168636322022,1.038608431816101,True,18.902873410203373,0.21160804038611844,1.0580402019305921,0.20772168636322022,1.038608431816101,0.16514107223507193,0.1544337272644043,0.04294484853744507,0.07081920690834517,0.1564468900495202,False,False,False,nan,nan,nan,nan,nan,nan,nan,False,False,False,False,-4.043728828430176,0.2890787124633789,0.08966970443725586,0.024749446660280228,0.1812804788351059,0.20758633315563202,0.26592057943344116,0.20789895951747894,1.0394947975873947,0.25781917572021484,7.983829498291016,0.4600643217563629
