scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,procedural,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.164370957333103,True,False,False,24.0,0.041730605866705135,0.014439387246966362,0.010206306353211403,0.02712622433900833,0.9641666666666666,0.02281145378947258,0.012746574357151985,3.9999992847442627,100,0.08495388662221272,3.999999959586634,4.0,4.0,1.0000000101033415,0.16666666666666666,0.8333333333333333,True,20.079999536298885,0.1992031898385147,0.9960159491925735,0.16666666666666666,0.8333333333333333,0.19054423204295767,4.041336598703538e-08,0.040265873074531555,0.08389298282563686,0.08495321300782488,True,True,True,18.94,0.12274055018096097,0.10095357894897461,0.0024258941411972046,0.011193239682504408,0.008608981367780516,0.98594973140785,True,True,True,True,-3.973123073577881,0.515555739402771,0.13460898399353027,0.0366000197827816,0.08489976078271866,0.1700657308101654,0.21671856939792633,0.1699521690607071,0.8497608453035355,0.21803398430347443,7.95993709564209,0.4174947142601013
1,1,procedural,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.01661041518866828,True,False,False,24.0,0.03530708562132972,0.012570817954838276,0.00864730030298233,0.026055604219436566,0.9541666666666667,0.022562749683856964,0.011498050764203072,3.999999523162842,100,0.08954206788760441,3.9999999602080005,4.0,4.0,1.000000009948,0.16666666666666666,0.8333333333333333,True,19.819999683602386,0.20181634833815396,1.0090817416907698,0.16666666666666666,0.8333333333333333,0.18677494802205227,3.979199947323764e-08,0.033514682203531265,0.06924719959497451,0.0895416349394301,True,True,True,19.02,0.12349945159061002,0.03289914131164551,0.006312385201454163,0.010304940074027352,0.00846968697474747,0.9780379563566012,True,True,True,True,-4.087751388549805,-0.06971371173858643,0.08709979057312012,0.07774597406387329,0.11235979199409485,0.17046305537223816,0.2177104949951172,0.1709691435098648,0.854845717549324,0.21344995498657227,7.741880416870117,0.4140718877315521
2,2,procedural,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.2807467957285876,True,False,False,24.0,0.04158650075717364,0.014634329825639725,0.010585349053144455,0.02538533955812453,0.9591666666666666,0.023063568398356438,0.01317511685192585,3.9983604848384857,100,0.10802602427078355,3.998361010901734,3.9983608722686768,3.9983608722686768,0.9999999653275288,0.16659836967786154,0.8329918483893076,False,nan,nan,nan,0.16659836967786154,0.8329918483893076,0.2329802295832199,-1.3863305703409878e-07,0.03999526426196098,0.07556686252355575,0.10802550154294573,True,True,True,19.3,0.12044097930820205,0.12164211273193361,0.009083345532417297,0.0071689642954266,0.01001969645917853,0.9962953357403931,True,True,True,True,-3.9725613594055176,0.31848883628845215,0.04916405677795411,0.19332414865493774,0.11728149652481079,0.16979725658893585,0.22563044726848602,0.17093223333358765,0.8546611666679382,0.2196347564458847,7.331648826599121,0.4283362925052643
3,3,procedural,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.12709172022056184,True,False,False,24.0,0.03915400929386144,0.014691277407109737,0.009323963895440102,0.02408971861004829,0.9675,0.024458037689328194,0.012440199963748455,4.0,100,0.057605865652286745,3.9999999478619848,4.0,4.0,1.000000013034504,0.16666666666666666,0.8333333333333333,True,19.899999670757776,0.20100502583122243,1.005025129156112,0.16666666666666666,0.8333333333333333,0.22948780248550443,5.2138015238512025e-08,0.037605222314596176,0.07287714481353759,0.057605865652286745,True,True,True,19.54,0.11397934816158019,0.05462312698364258,0.008790761232376099,0.004708288017501783,0.008256608590607818,1.0,True,True,True,True,-3.991702079772949,0.643213152885437,0.08691507974733549,0.1094345897436142,0.08929004520177841,0.1690806746482849,0.2150375097990036,0.1690492480993271,0.8452462404966354,0.2215937227010727,7.487954616546631,0.42746618390083313
4,4,procedural,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.20927954734354842,True,False,False,24.0,0.02891028836833193,0.013232395052909851,0.009057524614036083,0.020245803892612456,0.9708333333333333,0.021108271554112434,0.01126178540289402,3.999999523162842,100,0.0479983666754867,3.9999999083268705,4.0,4.0,1.0000000229182828,0.16666666666666666,0.8333333333333333,True,19.819998302406297,0.2018163597845132,1.009081798922566,0.16666666666666666,0.8333333333333333,0.1008461925240813,9.167312953195506e-08,0.026038186624646187,0.051610435731708995,0.047997995208383853,True,True,True,19.38,0.12425242121182595,0.23139548301696775,0.005492642521858215,0.006398344082913843,0.008981084354158887,1.0,True,True,True,True,-3.9692842960357666,-0.01860526204109192,0.16479825973510742,0.01938050054013729,0.07374075055122375,0.16961723566055298,0.21191784739494324,0.1686720997095108,0.843360498547554,0.2097836285829544,7.908776760101318,0.42290106415748596
5,0,procedural,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.164370957333103,True,False,False,24.0,0.056075105427876186,0.01482363697141409,0.008344639092683792,0.027881044894456853,0.955,0.03290415182709694,0.015137351118028164,3.9860700070858,100,0.10021387703202493,3.9860706819281715,3.9860706329345703,3.9860706329345703,0.9999999877087977,0.16608627637227377,0.8304313818613688,True,20.06,0.1987074118608261,0.9935370593041305,0.16608627637227377,0.8304313818613688,0.2031321720179743,-4.899360117605056e-08,0.05429687723517418,0.10487818121910095,0.10021330452290306,True,True,True,19.72,0.12401008266782114,0.026042461395263675,0.008370637893676758,0.0021334017204955036,0.007716185190342633,0.9846199780123933,True,True,True,True,-3.9955766201019287,0.47320711612701416,0.14856958389282227,0.27649757266044617,0.1681872308254242,0.16981804370880127,0.24172444641590118,0.16926173865795135,0.8463086932897568,0.2615644335746765,6.8691864013671875,0.45502012968063354
6,1,procedural,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.01661041518866828,True,False,False,24.0,0.053525563435321104,0.017065593972802162,0.00946861132979393,0.03173921778798099,0.9475,0.0260953139513731,0.012480395846068859,3.999999523162842,100,0.15841316346491108,3.9999999602080005,4.0,4.0,1.000000009948,0.16666666666666666,0.8333333333333333,True,20.23999983575285,0.19762845813576638,0.9881422906788319,0.16666666666666666,0.8333333333333333,0.20092216314211683,3.979199947323764e-08,0.05248852074146271,0.13149058073759068,0.15841277309595617,True,True,True,19.900000000000002,0.1152795231829754,0.1582047939300537,0.012402892112731934,0.0010050231260301523,0.007927750794691648,0.9907180994733128,True,True,True,True,-4.135134220123291,-0.1563626229763031,0.19192129770387847,0.18815971910953522,0.21045996248722076,0.17158296704292297,0.23131708800792694,0.17290166020393372,0.8645083010196686,0.2635263502597809,6.325562000274658,0.4526471793651581
7,2,procedural,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.2807467957285876,True,False,False,24.0,0.04133124947006346,0.01582654006779194,0.008878732100129128,0.026854455471038815,0.9516666666666667,0.025176655501127243,0.011886165477335453,3.981966018676758,100,0.1378787186682557,3.981966544740006,3.981966495513916,3.981966495513916,0.999999987637744,0.16591527064641318,0.8295763532320658,True,20.44,0.1948124532651666,0.974062266325833,0.16591527064641318,0.8295763532320658,0.12048770049759412,-4.9226089871012846e-08,0.03945784643292427,0.09778495468199253,0.13787821202748268,True,True,True,19.42,0.12908262696490422,0.10694122314453126,0.0013543665409088135,0.005044621253347342,0.007852304530392117,1.0,True,True,True,True,-4.016538619995117,0.3522608280181885,0.12681269645690915,0.11382092535495758,0.13758447766304016,0.17035900056362152,0.22841161489486694,0.17166684567928314,0.8583342283964157,0.2595805823802948,6.301787853240967,0.4452168941497803
8,3,procedural,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.12709172022056184,True,False,False,24.0,0.0612501234634583,0.015289084985852242,0.008574657142162323,0.025171729922294606,0.9558333333333333,0.02539217658340931,0.011771447025239468,3.9877902269363403,100,0.14184644827432488,3.987790174798325,3.987790107727051,3.987790107727051,0.9999999831808417,0.1661579211552938,0.8307896057764689,True,20.2,0.1974153551880359,0.9870767759401795,0.1661579211552938,0.8307896057764689,0.21635109750054426,-6.707127431226922e-08,0.06027385964989662,0.1437996946275234,0.14184644827432488,True,True,True,19.64,0.12123635643977163,0.008742809295654297,0.0013554096221923828,0.0030443062524605213,0.0076179423211791926,0.9845801222106937,True,True,True,True,-4.071610927581787,0.5924400091171265,0.0015375614166259766,0.05158066377043724,0.09269721060991287,0.17069125175476074,0.2383272349834442,0.171940416097641,0.859702080488205,0.26377400755882263,6.263206481933594,0.45592132210731506
9,4,procedural,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.20927954734354842,True,False,False,24.0,0.04655851862545401,0.016795186325907707,0.009620551951229572,0.032277540862560225,0.9475,0.03225237876176834,0.015621582977473736,3.9929855167865753,100,0.13466659935487496,3.992985901950604,3.992985963821411,3.992985963821411,1.0000000154948725,0.16637441515922546,0.8318720757961273,True,19.959999880917323,0.2000493950788087,1.0002469753940435,0.16637441515922546,0.8318720757961273,0.19183055311229547,6.187080714425974e-08,0.044823698699474335,0.07225540354847908,0.13466625585853445,True,True,True,19.78,0.12374463215929705,0.10467863082885741,0.0026981234550476074,0.0018698635970982591,0.007291359405946204,0.997924537784227,True,True,True,True,-4.013304710388184,0.05779069662094116,0.07852935791015625,0.11268849670886993,0.1996092051267624,0.17319752275943756,0.2389383465051651,0.17125844955444336,0.8562922477722168,0.2629152834415436,6.79481315612793,0.46161118149757385
