scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.018283974633992936,0.021900419145822525,0.013174213469028473,1.6,40,1.8908878564834595,1.6,3.4972875118255615,3.4972875118255615,2.185804694890976,0.4371609389781952,2.185804694890976,0.4371609389781952,2.185804694890976,0.756401447339058,1.8972875118255614,0.014230357483029366,0.024639554135501382,1.8973135594397565,-3.4972875118255615,-0.00994199514389038,0.17345482507814605,0.5555887818336487,0.5036766529083252,0.43432503938674927,0.4422779083251953,0.4387377202510834,2.193688601255417,0.16408397257328033,5.30872106552124,0.19823651015758514
1,1,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.02622026905403834,0.022283535450696945,0.012456865049898624,1.6,40,1.4174652099609375,1.6,3.0238215923309326,3.0238215923309326,1.8898884952068329,0.3779776990413666,1.8898884952068329,0.3779776990413666,1.8898884952068329,0.5090132451426982,1.4238215923309325,0.023472296074032784,0.04291806221008298,1.423890699035441,-3.0238215923309326,0.01402825117111206,0.009794537221090383,0.5747283697128296,0.4932679831981659,0.3647190034389496,0.38953712582588196,0.37944796681404114,1.8972398340702057,0.16536001861095428,5.838931560516357,0.1952660083770752
2,2,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.025430867730948405,0.022556748241186142,0.013062143698334694,1.6,40,1.4694814682006836,1.6,3.075906753540039,3.075906753540039,1.9224417209625244,0.3844883441925049,1.9224417209625244,0.3844883441925049,1.9224417209625244,0.5348733646780252,1.475906753540039,0.02247459441423416,0.04455509483814239,1.4759072402056077,-3.075906753540039,-0.0011987090110778809,0.05661630630493164,0.5398572087287903,0.4826936423778534,0.37346434593200684,0.3939945101737976,0.38581714034080505,1.9290857017040253,0.16477061808109283,5.566932201385498,0.19590310752391815
3,0,straight,,0.2,0.23185,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.0643106646643057,0.06914994865655899,0.06893988698720932,1.6,40,3.5826802253723145,1.6,5.1891021728515625,5.1891021728515625,3.2431888580322266,0.6486377716064453,3.2431888580322266,0.6486377716064453,3.2431888580322266,1.5457085861146451,3.5891021728515624,0.06328180432319641,0.11081808060407637,3.5891060623781312,-5.1891021728515625,0.005283772945404053,0.09572577476501463,0.8001042008399963,0.8972617983818054,0.5793609619140625,0.6532595753669739,0.6507194638252258,3.253597319126129,0.30078989267349243,5.199337959289551,0.22172996401786804
4,1,straight,,0.2,0.23185,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.07548385292940163,0.0683622807264328,0.06812221556901932,1.6,40,3.3612375259399414,1.6,4.967310428619385,4.967310428619385,3.1045690178871155,0.6209138035774231,3.1045690178871155,0.6209138035774231,3.1045690178871155,1.8003275555250047,3.3673104286193847,0.07461827993392944,0.11035626046359538,3.3676627387755276,-4.967310428619385,-0.048711538314819336,1.7267968098269864,0.49769335985183716,0.42585399746894836,0.5102083683013916,0.6414795517921448,0.6234073042869568,3.117036521434784,0.29997220635414124,5.000232696533203,0.23186081647872925
5,2,straight,,0.2,0.23185,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.04131853120886434,0.07150200754404068,0.07145892828702927,1.6,40,4.2986273765563965,1.6,5.904447078704834,5.904447078704834,3.6902794241905212,0.7380558848381042,3.6902794241905212,0.7380558848381042,3.6902794241905212,1.9962413454055785,4.304447078704834,0.03969276696443558,0.07648213505744934,4.305052124318316,-5.904447078704834,-0.07217451930046082,0.49660801887512207,0.7273188233375549,0.7020671963691711,0.719989001750946,0.7398686408996582,0.7399153113365173,3.6995765566825867,0.3033089339733124,4.583591461181641,0.2095157504081726
6,0,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.01930069545254547,0.01019330509006977,0.010069694370031357,1.6,40,3.4499430656433105,1.6,5.056365489959717,5.056365489959717,3.160228431224823,0.6320456862449646,3.160228431224823,0.6320456862449646,3.160228431224823,1.451508539953828,3.4563654899597167,0.01549308281391859,0.026239447295665724,3.45636886036387,-5.056365489959717,0.004826724529266357,0.023886744176046436,0.7422880530357361,0.7209970355033875,0.6333267092704773,0.6344305276870728,0.6338813900947571,3.1694069504737854,0.3032696843147278,4.024004936218262,0.20357273519039154
7,1,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.028136018482860084,0.010111371986567974,0.009753520600497723,1.6,40,3.6444129943847656,1.6,5.2508368492126465,5.2508368492126465,3.281773030757904,0.6563546061515808,3.281773030757904,0.6563546061515808,3.281773030757904,1.5316180789989233,3.6508368492126464,0.025706227868795395,0.06061366517096757,3.6508387172929986,-5.2508368492126465,0.003693103790283203,0.019530296325683594,0.6467059850692749,0.7164138555526733,0.6549009680747986,0.6588552594184875,0.6581249237060547,3.2906246185302734,0.30291199684143066,4.166658878326416,0.19873808324337006
8,2,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.01980280442307135,0.010008761659264565,0.0097267497330904,1.6,40,3.327514410018921,1.6,4.93388032913208,4.93388032913208,3.08367520570755,0.61673504114151,3.08367520570755,0.61673504114151,3.08367520570755,1.4159082939079406,3.33388032913208,0.016155892983078957,0.034648568928241724,3.3339401789082306,-4.93388032913208,-0.019976824522018433,0.10593724250793457,0.7008864283561707,0.6791750192642212,0.6174129247665405,0.6190600395202637,0.6185038089752197,3.0925190448760986,0.30282920598983765,4.118594169616699,0.20118191838264465
9,0,straight,,0.4,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.02833291260147606,0.022562257945537567,0.014618072658777237,3.2,80,1.4123985767364502,3.2,4.625149250030518,4.625149250030518,1.4453591406345367,0.5781436562538147,1.4453591406345367,0.5781436562538147,1.4453591406345367,0.5786464989507197,1.4251492500305174,0.02592790685594082,0.057091638445854125,1.4252491266456135,-4.625149250030518,-0.01687297224998474,0.00447327295412261,0.5965281128883362,0.6126660704612732,0.5736609101295471,0.5844345092773438,0.5796748995780945,1.4491872489452362,0.1632748544216156,5.435607433319092,0.2369871288537979
