scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.05,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.0145777624320046,0.021572042256593704,0.01310334075242281,0.4,10,0.9794449210166931,0.4,1.3810513019561768,1.3810513019561768,3.452628254890442,0.1726314127445221,3.452628254890442,0.1726314127445221,3.452628254890442,0.4004166795107722,0.9810513019561767,0.008969437330961227,0.018709163367748215,0.9810513213589329,-1.3810513019561768,-0.0001951456069946289,0.03578812280763823,0.3155311048030853,0.25319144129753113,0.1733863204717636,0.17761017382144928,0.17348071932792664,3.4696143865585327,0.16421188414096832,3.554759979248047,0.1284646987915039
1,1,straight,,0.05,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.01553581315919753,0.022285526618361473,0.013375086709856987,0.4,10,0.8290340304374695,0.4,1.2306389808654785,1.2306389808654785,3.0765974521636963,0.15382987260818481,3.0765974521636963,0.15382987260818481,3.0765974521636963,0.3961747100919485,0.8306389808654785,0.010863249190151691,0.020520922541618344,0.8306404381073724,-1.2306389808654785,-0.0015559494495391846,0.03477597236633301,0.19840732216835022,0.1549193114042282,0.15173043310642242,0.161825031042099,0.15458783507347107,3.0917567014694214,0.16424725949764252,3.6902945041656494,0.130051851272583
2,2,straight,,0.05,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.018191965940018665,0.020524581894278526,0.00963970273733139,0.4,10,0.16573300957679749,0.4,0.5669959187507629,0.5669959187507629,1.4174897968769073,0.07087448984384537,1.4174897968769073,0.07087448984384537,1.4174897968769073,0.09816746554523707,0.16699591875076292,0.013470378704369068,0.020861726999282834,0.16733613178416967,-0.5669959187507629,-0.01066511869430542,0.12147641181945801,0.29464104771614075,0.21859395503997803,0.06990233808755875,0.09070766717195511,0.07156543433666229,1.4313086867332458,0.16748054325580597,4.3338518142700195,0.10658479481935501
3,0,straight,,0.05,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.03912671782146067,0.008843214251101017,0.008385318331420422,0.4,10,2.3186659812927246,0.4,2.719888687133789,2.719888687133789,6.799721717834473,0.33998608589172363,6.799721717834473,0.33998608589172363,6.799721717834473,0.9431050497025251,2.319888687133789,0.03745473176240921,0.05388628952205181,2.3202719575051125,-2.719888687133789,-0.04217153787612915,0.35690784454345703,0.5671936273574829,0.4867461919784546,0.3301926553249359,0.34388482570648193,0.34136962890625,6.827392578125,0.30158531665802,3.708238363265991,0.18787461519241333
4,1,straight,,0.05,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.020826835122505345,0.008983497507870197,0.008806676603853703,0.4,10,2.362858295440674,0.4,2.7644526958465576,2.7644526958465576,6.911131739616394,0.3455565869808197,6.911131739616394,0.3455565869808197,6.911131739616394,1.0103286062324046,2.3644526958465577,0.01743142679333687,0.04189512729644775,2.364464673868001,-2.7644526958465576,-0.007526189088821411,0.04646563529968262,0.4895409941673279,0.3999255895614624,0.34668856859207153,0.348468542098999,0.34681788086891174,6.936357617378235,0.30200663208961487,3.428480863571167,0.18063589930534363
5,2,straight,,0.05,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.049120171428374805,0.008178691379725933,0.00782584585249424,0.4,10,1.8991785049438477,0.4,2.2998275756835938,2.2998275756835938,5.749568939208984,0.2874784469604492,5.749568939208984,0.2874784469604492,5.749568939208984,0.8358442818570136,1.8998275756835938,0.047793325036764145,0.07738713063299656,1.9007840971663608,-2.2998275756835938,0.06029397249221802,0.1979208628283902,0.41137948632240295,0.3605273365974426,0.2752699553966522,0.2921377122402191,0.28863251209259033,5.772650241851807,0.3010258376598358,3.5773539543151855,0.21584036946296692
6,0,straight,,0.1,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.014963164591853385,0.020157400518655777,0.011761611327528954,0.8,20,2.0087430477142334,0.8,2.811936378479004,2.811936378479004,3.514920473098755,0.3514920473098755,3.514920473098755,0.3514920473098755,3.514920473098755,0.8465692378520966,2.011936378479004,0.009656687267124653,0.019651222229003906,2.011955770583205,-2.811936378479004,-0.008833616971969604,0.10268193880190093,0.4079282879829407,0.40434783697128296,0.3523971438407898,0.35538631677627563,0.3527894616127014,3.527894616127014,0.16538886725902557,4.535038948059082,0.17960447072982788
7,1,straight,,0.1,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.020726609671348487,0.021480705589056015,0.010507235303521156,0.8,20,1.552478551864624,0.8,2.3555753231048584,2.3555753231048584,2.944469153881073,0.2944469153881073,2.944469153881073,0.2944469153881073,2.944469153881073,0.6490269417378306,1.5555753231048584,0.01720207743346691,0.03317390829324719,1.5556911921172434,-2.3555753231048584,-0.018986880779266357,0.11236190795898438,0.35666510462760925,0.33391499519348145,0.22471657395362854,0.30067023634910583,0.29564064741134644,2.9564064741134644,0.16735678911209106,5.51151180267334,0.18056289851665497
8,2,straight,,0.1,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.014582978688596543,0.02153649926185608,0.011115891858935356,0.8,20,1.550468921661377,0.8,2.3536252975463867,2.3536252975463867,2.9420316219329834,0.29420316219329834,2.9420316219329834,0.29420316219329834,2.9420316219329834,0.550153559294343,1.5536252975463867,0.009596814401447773,0.020504334196448298,1.5536817003299321,-2.3536252975463867,-0.013238668441772461,0.08665806451906401,0.40179455280303955,0.3984910249710083,0.2766757309436798,0.3054410219192505,0.2953084707260132,2.953084707260132,0.1665564328432083,4.991979598999023,0.16916987299919128
9,0,straight,,0.1,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.020390346359227977,0.009771667420864105,0.00956297293305397,0.8,20,3.039638042449951,0.8,3.8428328037261963,3.8428328037261963,4.803541004657745,0.48035410046577454,4.803541004657745,0.48035410046577454,4.803541004657745,1.245873800802827,3.0428328037261965,0.016833562403917313,0.033052694797515866,3.0428509027892066,-3.8428328037261963,0.01049494743347168,0.07657319704164703,0.5923916101455688,0.5858533978462219,0.4808257818222046,0.4827001988887787,0.48195359110832214,4.819535911083221,0.3027629554271698,3.9027280807495117,0.1651379019021988
