scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,6,6,2.3651488727811154e-06,True,20.0,0.04337134628697702,0.053390081971883774,0.03349803388118744,4.0,100,2.17402982711792,0.32177740732301907,0.4737180173397064,0.32380402088165283,0.2506902515888214,0.3257181942462921,0.3096201717853546,1.548100858926773,0.23893719911575317,5.359311103820801,0.17091749608516693
1,1,straight,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,6,6,2.3651510939357154e-06,True,20.0,0.05019771954480665,0.051497768610715866,0.030608555302023888,4.0,100,2.543539047241211,1.8005861679660244,0.12766551971435547,0.1737341731786728,0.1279764175415039,0.35055193305015564,0.329191654920578,1.64595827460289,0.25058120489120483,5.291999816894531,0.17939680814743042
2,2,straight,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,6,6,2.217327442782451e-06,True,20.0,0.04145323057065348,0.0514683723449707,0.030455848202109337,4.0,100,2.5336828231811523,0.27360493341554837,0.37847650051116943,0.38810744881629944,0.2678781747817993,0.34608694911003113,0.3282161355018616,1.6410806775093079,0.24951094388961792,5.284778594970703,0.1726556271314621
3,0,straight,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,9,9,2.06950627795577e-06,True,20.0,0.04530557377301463,0.0619952529668808,0.04153762385249138,8.0,200,1.922804594039917,0.03497082391847808,0.320972204208374,0.4734627604484558,0.46384310722351074,0.5101538896560669,0.49919337034225464,1.2479834258556366,0.244313046336174,6.168557643890381,0.22396211326122284
4,1,straight,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,9,9,2.3651488727811154e-06,False,18.02,0.2912424791104294,0.06074971705675125,0.040334999561309814,8.0,200,8.03212833404541,0.0,0.24508792161941528,0.4813005030155182,0.32207804918289185,0.4945562183856964,0.47477856278419495,1.1869464069604874,0.24885645508766174,10.252403259277344,0.24436739087104797
5,2,straight,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,9,9,2.3651488727811154e-06,True,20.0,0.06297217719485028,0.059352897107601166,0.039459776133298874,8.0,200,1.5675749778747559,0.304048840199606,0.544474184513092,0.5809577107429504,0.3793666362762451,0.5004499554634094,0.4808010160923004,1.202002540230751,0.24047663807868958,6.320361614227295,0.22988617420196533
6,0,straight,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,8,8,2.3651488727811154e-06,False,13.56,0.3222729300313966,0.06604334712028503,0.04570917785167694,10.000017166137695,249,10.0,0.0,0.25727859139442444,0.6365054845809937,0.49146804213523865,0.6259268522262573,0.6023138165473938,1.003856360912323,0.24536052346229553,13.759297370910645,0.28126394748687744
7,1,straight,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,9,9,2.3651492942577884e-06,True,20.0,0.0866533387977572,0.05701872706413269,0.035242170095443726,10.000017166137695,249,0.11281591653823853,0.11759096780885894,0.049878522753715515,0.2338186502456665,0.42903226613998413,0.5378009676933289,0.505812406539917,0.8430206775665283,0.25990885496139526,6.038282871246338,0.24107946455478668
8,2,straight,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,6,6,2.2173276786807783e-06,False,9.96,0.2804634286874374,0.06549575924873352,0.044642046093940735,10.000017166137695,249,10.0,0.0,0.2649661898612976,0.46737098693847656,0.48936817049980164,0.6181856393814087,0.6019295454025269,1.0032159090042114,0.2434263974428177,15.32536792755127,0.27818289399147034
9,0,circle,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,8,7,0.662824643135019,False,19.02,0.05816310614023795,0.05215561017394066,0.031352415680885315,4.0,71,2.9229681491851807,2.668461173772812,0.3019198179244995,0.3991590440273285,0.17967528104782104,0.4027571976184845,0.35274240374565125,1.7637120187282562,0.24469879269599915,11.22000503540039,0.24346482753753662
10,1,circle,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,7,7,0.6628246095337567,True,20.0,0.037417046279103874,0.05842646211385727,0.03810582682490349,4.0,71,2.745239734649658,2.880201015864508,0.39809003472328186,0.32652491331100464,0.3379013240337372,0.3831963539123535,0.372222900390625,1.861114501953125,0.24831417202949524,5.275727272033691,0.18214835226535797
11,2,circle,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,7,7,0.6628245658050873,True,20.0,0.06593917734038393,0.05502517148852348,0.03408394008874893,4.0,71,2.7446095943450928,1.392080157995224,0.4111204147338867,0.5399032831192017,-0.041864968836307526,0.40599533915519714,0.3752732574939728,1.876366287469864,0.24822679162025452,5.904311656951904,0.2046130746603012
12,0,circle,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,11,7,0.6628238344772175,False,13.96,0.06210120702939764,0.0649377703666687,0.04450974613428116,8.0,141,1.367027759552002,0.9651880900012417,0.3187386095523834,0.47850170731544495,0.2545738220214844,0.5051901340484619,0.4867897927761078,1.2169744819402695,0.2514159679412842,14.281949996948242,0.33089905977249146
13,1,circle,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,11,11,0.6628245672152905,True,20.0,0.04808176443393291,0.06638555228710175,0.04606105014681816,8.0,141,2.1384034156799316,2.104455296193258,0.8231536746025085,0.7014584541320801,0.4784436821937561,0.5339644551277161,0.5269410610198975,1.3173526525497437,0.2571488618850708,5.864894390106201,0.22994473576545715
14,2,circle,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,10,10,0.6628244932484765,True,20.0,0.07005564559378163,0.06207849830389023,0.04235877841711044,8.0,141,1.7184327840805054,0.8286230564117432,0.5520747303962708,0.4426273703575134,0.24591244757175446,0.5115785002708435,0.4963560402393341,1.2408901005983353,0.2526807188987732,6.263401031494141,0.24082604050636292
