scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,,interleaved,1.0,6,6,2.3651488727811154e-06,True,20.0,0.03874990126779972,0.05250122398138046,0.04269899055361748,4.0,100,2.414855718612671,1.6752085129367276,0.3746373951435089,0.3596421480178833,0.28362390398979187,0.33444660902023315,0.32230237126350403,1.6115118563175201,0.22603332996368408,5.076345443725586,0.17071563005447388
1,1,straight,,0.2,,interleaved,1.0,6,6,2.3651510939357154e-06,True,20.0,0.05106895620099041,0.051655977964401245,0.04358140006661415,4.0,100,1.9857580661773682,2.050270438194275,0.269721120595932,0.2933141589164734,0.07465570420026779,0.3129420876502991,0.3012293577194214,1.506146788597107,0.21845324337482452,5.900989055633545,0.17511649429798126
2,2,straight,,0.2,,interleaved,1.0,8,8,2.217327442782451e-06,True,20.0,0.020435613157314746,0.05819107964634895,0.04851830378174782,4.0,100,4.081252098083496,0.13910824457277496,0.655987024307251,0.6785320043563843,0.37764033675193787,0.4084887206554413,0.4058765470981598,2.029382735490799,0.23431448638439178,4.779087543487549,0.17166076600551605
3,0,straight,,0.4,,interleaved,1.0,9,9,2.06950627795577e-06,True,20.0,0.03909963548771786,0.04658693075180054,0.036888428032398224,8.0,200,1.9882864952087402,0.16551477113832672,0.004467373248189688,0.03197304904460907,0.4771447479724884,0.5103289484977722,0.502330482006073,1.2558262050151825,0.21733489632606506,5.513919353485107,0.21365046501159668
4,1,straight,,0.4,,interleaved,1.0,9,9,2.3651488727811154e-06,True,20.0,0.032104080544482515,0.047994546592235565,0.03820329159498215,8.0,200,1.9836947917938232,0.019649267196655273,0.010117690078914165,0.01950763165950775,0.4750571846961975,0.5077478289604187,0.5008102655410767,1.2520256638526917,0.21328195929527283,5.224592208862305,0.20130154490470886
5,2,straight,,0.4,,interleaved,1.0,9,9,2.3651488727811154e-06,True,20.0,0.03994841282508052,0.04863632097840309,0.038776323199272156,8.0,200,1.9751895666122437,0.03645760217775542,0.01715364307165146,0.0234147310256958,0.4702157974243164,0.5091875195503235,0.5010372996330261,1.2525932490825653,0.21643194556236267,5.414088249206543,0.20705069601535797
6,0,straight,,0.6,,interleaved,1.0,9,9,2.3651488727811154e-06,True,20.0,0.04811023936724324,0.05299028381705284,0.04989224672317505,10.000017166137695,249,0.014963691122829914,0.22643303871154785,0.009950896725058556,0.021509569138288498,0.4821438193321228,0.5110828876495361,0.5011137127876282,0.8351895213127136,0.20110544562339783,4.952150821685791,0.2127206176519394
7,1,straight,,0.6,,interleaved,1.0,9,9,2.3651492942577884e-06,True,20.0,0.04964504263446187,0.05397135019302368,0.050681222230196,10.000017166137695,249,0.013856166042387486,0.19977188110351565,0.012144430540502071,0.026825962588191032,0.48121407628059387,0.5096936821937561,0.5011511445045471,0.8352519075075786,0.20170056819915771,4.7145514488220215,0.21169669926166534
8,2,straight,,0.6,,interleaved,1.0,9,9,2.2173276786807783e-06,True,20.0,0.05085404229604428,0.05187167972326279,0.04825463518500328,10.000017166137695,249,0.007272619754076004,0.112105131149292,0.015506499446928501,0.01777012273669243,0.48179852962493896,0.5092673301696777,0.500671923160553,0.8344532052675884,0.20148438215255737,4.851806163787842,0.21339434385299683
9,0,circle,,0.2,,interleaved,1.0,7,7,0.662824643135019,True,20.0,0.04327977598921198,0.0571741908788681,0.048294540494680405,4.0,71,2.664276361465454,1.7553037106990814,0.5238786935806274,0.4258362948894501,0.10179496556520462,0.3722805380821228,0.35627156496047974,1.7813578248023987,0.22741661965847015,5.980837821960449,0.1857619434595108
10,1,circle,,0.2,,interleaved,1.0,9,7,0.6628246095337567,False,16.18,0.037906012307748524,0.053146496415138245,0.04216143861413002,4.0,71,2.9229681491851807,2.668461173772812,0.2142837643623352,0.3782269358634949,0.25389739871025085,0.4209323823451996,0.4113074541091919,2.0565372705459595,0.22982965409755707,7.817442893981934,0.20172075927257538
