scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500,4,4,2.3651488727811154e-06,True,20.0,0.035071866067590086,0.04785390570759773,0.041097044944763184,4.0,100,0.5326173901557922,1.8668758312808438,0.09925086051225662,0.12582367658615112,0.036163050681352615,0.24309034645557404,0.22766932845115662,1.138346642255783,0.1953221708536148,6.21758508682251,0.16182737052440643
1,1,straight,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500,7,7,2.3651510939357154e-06,True,20.0,0.04067930189268377,0.054121848195791245,0.04433559998869896,4.0,100,2.947075605392456,0.4695153872119351,0.5871325135231018,0.3419845998287201,0.29049548506736755,0.3583080470561981,0.34905198216438293,1.7452599108219147,0.20898932218551636,5.1729350090026855,0.1744503676891327
2,2,straight,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500,7,7,2.217327442782451e-06,True,20.0,0.024036613743171623,0.05505574494600296,0.04548726603388786,4.0,100,2.9329769611358643,0.5672891139984131,0.5101622939109802,0.5408972501754761,0.34398096799850464,0.35184356570243835,0.34837573766708374,1.7418786883354187,0.20651422441005707,4.443413257598877,0.15878218412399292
3,0,straight,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500,9,9,2.06950627795577e-06,True,20.0,0.058032194921841536,0.05280838534235954,0.0455232709646225,8.0,200,1.992380142211914,1.04919416109194,0.437235027551651,0.2591688334941864,0.4827038645744324,0.5386420488357544,0.5029458403587341,1.2573646008968353,0.24225182831287384,5.401688098907471,0.21696163713932037
4,1,straight,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500,9,9,2.3651488727811154e-06,False,17.36,0.32140067013565954,0.054173246026039124,0.044870149344205856,8.0,200,8.03212833404541,0.0,0.25667959451675415,0.4734513461589813,0.5202924609184265,0.5447338223457336,0.5424461960792542,1.3561154901981354,0.2327970564365387,11.874863624572754,0.23727037012577057
5,2,straight,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500,9,9,2.3651488727811154e-06,True,20.0,0.05172661070455364,0.051475491374731064,0.04333077371120453,8.0,200,2.0793368816375732,0.9228592554675504,0.11397805064916611,0.2599440813064575,0.4644812345504761,0.537138819694519,0.5063497424125671,1.2658743560314178,0.23977190256118774,5.7492451667785645,0.21193790435791016
6,0,straight,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,9,9,2.3651488727811154e-06,True,20.0,0.07494558093328124,0.04735403507947922,0.03664634749293327,10.000017166137695,249,0.023528341203927994,0.127593994140625,0.04475445672869682,0.038801051676273346,0.3729192614555359,0.5220922827720642,0.49973976612091064,0.8328996102015178,0.21226999163627625,6.616941452026367,0.24253496527671814
7,1,straight,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,9,9,2.3651492942577884e-06,True,20.0,0.03244000780078507,0.04562294855713844,0.034594375640153885,10.000017166137695,249,0.02338816225528717,0.08394002914428711,0.006488810759037733,0.021458880975842476,0.4934653341770172,0.5179964303970337,0.5018381476402283,0.8363969127337139,0.196753591299057,4.6020097732543945,0.20723079144954681
8,2,straight,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,9,9,2.2173276786807783e-06,True,20.0,0.0409756443824409,0.04381703957915306,0.033349551260471344,10.000017166137695,249,0.010224957019090652,0.13306140899658203,0.008397608995437622,0.028249425813555717,0.4462040364742279,0.512305736541748,0.5002643465995789,0.8337739109992981,0.2076987326145172,5.510713577270508,0.2203846424818039
9,0,circle,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,8,8,0.662824643135019,True,20.0,0.04265036157484983,0.0581054724752903,0.04907461628317833,4.0,71,2.7615842819213867,0.36110223829746246,0.19312021136283875,0.2530202567577362,0.345247745513916,0.3935580551624298,0.3838677406311035,1.9193387031555176,0.21808715164661407,4.799234390258789,0.1792932152748108
10,1,circle,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,9,7,0.6628246095337567,False,17.02,0.03764188602947867,0.05373208597302437,0.04362822696566582,4.0,71,2.9229681491851807,2.668461173772812,0.21544471383094788,0.4170296788215637,0.29250937700271606,0.4071977436542511,0.398666650056839,1.993333250284195,0.2164592742919922,10.805730819702148,0.22853480279445648
11,2,circle,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,8,8,0.6628245658050873,True,20.0,0.06010168291973335,0.054652079939842224,0.0454806387424469,4.0,71,2.822725534439087,0.8236332833766937,0.34308961033821106,0.24885877966880798,-0.11302966624498367,0.4040817618370056,0.38720446825027466,1.9360223412513733,0.20985275506973267,5.968210697174072,0.1984182596206665
12,0,circle,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,13,13,0.6628238344772175,True,20.0,0.04616913002485272,0.0580822229385376,0.04762471094727516,8.0,141,2.9264698028564453,0.7691185474395752,0.6925148367881775,0.638393759727478,0.49638476967811584,0.6190928220748901,0.614533007144928,1.53633251786232,0.21982266008853912,6.538263320922852,0.24596193432807922
13,1,circle,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,11,7,0.6628245672152905,False,13.18,0.061600285595825297,0.05527091026306152,0.04688892140984535,8.0,141,1.367027759552002,0.9651880900012417,0.2703113257884979,0.5146979093551636,-0.025406809523701668,0.5137307643890381,0.504887044429779,1.2622176110744476,0.21261805295944214,13.526215553283691,0.31602299213409424
14,2,circle,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,11,9,0.6628244932484765,False,16.26,0.04682410768009603,0.058846283704042435,0.04860334470868111,8.0,141,1.3670278787612915,0.9651880900012417,0.17875519394874573,0.42677509784698486,0.3791500926017761,0.5244112014770508,0.5112538933753967,1.2781347334384918,0.22279705107212067,11.755470275878906,0.2755802869796753
15,0,circle,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,11,6,0.662824642935101,False,10.58,0.05527538441293881,0.0522480271756649,0.04264068230986595,12.0,212,2.2940733432769775,1.7221983671188354,0.1880931556224823,0.7201949954032898,0.3629179894924164,0.6171507835388184,0.6121554970741272,1.0202591617902121,0.20090530812740326,14.339709281921387,0.32380032539367676
16,1,circle,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,11,6,0.6628246093429365,False,10.44,0.06978627847121824,0.053681354969739914,0.04507838562130928,12.0,212,2.2940733432769775,1.7221983671188354,0.09416772425174713,0.741352915763855,0.32613930106163025,0.6126645803451538,0.6090269088745117,1.0150448481241863,0.20673896372318268,13.99417781829834,0.331539511680603
17,2,circle,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705;0.2100;0.1705,11,6,0.6628245656135541,False,10.6,0.058152745713294936,0.04956088587641716,0.039060138165950775,12.0,212,2.2940733432769775,1.7221983671188354,0.1867886781692505,0.7257110476493835,0.32638341188430786,0.5843521952629089,0.5867193341255188,0.9778655568758647,0.1991635262966156,12.436178207397461,0.30127856135368347
18,0,s_curve,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,7,7,0.19313906960731264,True,20.0,0.027185731601146856,0.051864102482795715,0.04148342087864876,4.0,97,2.6594021320343018,0.28101372718811035,0.3912796974182129,0.3755938708782196,0.316836416721344,0.3413759171962738,0.3360142111778259,1.6800710558891296,0.2107274830341339,4.631313800811768,0.16225223243236542
19,1,s_curve,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,7,7,0.19313706118502336,True,20.0,0.04114132109580966,0.05523096024990082,0.04554922878742218,4.0,97,2.7663066387176514,0.3184969425201416,0.43632104992866516,0.35554635524749756,0.31793680787086487,0.3488762080669403,0.34230685234069824,1.7115342617034912,0.2122262418270111,4.804018974304199,0.16262581944465637
20,2,s_curve,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,7,7,0.1931373107203231,True,20.0,0.03232841152097115,0.05798744037747383,0.048232484608888626,4.0,97,2.8289706707000732,0.9447841644287108,0.21059946715831757,0.2637549340724945,0.31740108132362366,0.3499496281147003,0.3442854583263397,1.7214272916316986,0.21715225279331207,4.478645324707031,0.1592174768447876
21,0,s_curve,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,10,10,0.19313764558739102,True,20.0,0.02634572734460253,0.05470692738890648,0.043151531368494034,8.0,195,2.274792432785034,0.01737356185913086,0.029929975047707558,0.024566376581788063,0.5074442625045776,0.5205392241477966,0.5154313445091248,1.288578361272812,0.22058527171611786,5.130865097045898,0.1979670524597168
22,1,s_curve,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,10,10,0.19313906960707775,True,20.0,0.05278122954741898,0.05514056608080864,0.0442035049200058,8.0,195,2.2519443035125732,0.5643244425403042,0.03658473119139671,0.02550521120429039,0.4865666329860687,0.5242099165916443,0.5142630934715271,1.2856577336788177,0.22275954484939575,5.7214274406433105,0.2201942354440689
23,2,s_curve,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,10,10,0.19313906960731264,True,20.0,0.02344561457884611,0.053034670650959015,0.042287468910217285,8.0,195,2.237053871154785,0.0332484245300293,0.04552845284342766,0.03171653673052788,0.5047116875648499,0.5225546956062317,0.5127972364425659,1.2819930911064148,0.21989499032497406,4.890405178070068,0.19975735247135162
24,0,s_curve,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,9,9,0.19313903116315306,True,20.0,0.03675196388595693,0.042250920087099075,0.031984806060791016,10.252312660217285,249,0.0012064704205840826,0.09968280792236328,0.009551391936838627,0.01140744611620903,0.4657086431980133,0.5229796767234802,0.5130663514137268,0.8551105856895447,0.20301438868045807,5.43349027633667,0.2218979001045227
25,1,s_curve,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,8,8,0.193137022740625,False,12.88,0.3350795790250647,0.046581242233514786,0.03846316039562225,10.252312660217285,249,10.003374099731445,0.16133910814394195,0.05754861980676651,0.9322201013565063,0.5993254780769348,0.6721096634864807,0.6642132997512817,1.1070221662521362,0.22486187517642975,7.779786109924316,0.2730625569820404
26,2,s_curve,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705,6,6,0.19313727228021674,False,10.74,0.26510742034936813,0.04130713269114494,0.032108109444379807,10.252312660217285,249,10.003374099731445,0.16133910814394195,0.09209761768579483,0.7325246334075928,0.12143765389919281,0.5877683162689209,0.5712736248970032,0.952122708161672,0.2055353820323944,10.334019660949707,0.3307752013206482
27,0,right_angle,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,7,7,0.6934089668543904,True,20.0,0.048771464614549224,0.05305849015712738,0.04332316294312477,4.0,81,2.5960566997528076,0.5110998789416714,0.40411117672920227,0.3388679027557373,0.2080429345369339,0.39637452363967896,0.3767494559288025,1.8837472796440125,0.21186275780200958,5.7100982666015625,0.18595921993255615
28,1,right_angle,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,8,8,0.6934088279750977,True,20.0,0.06328344028585893,0.053578685969114304,0.04350382834672928,4.0,81,2.895897150039673,1.6392767429351807,0.28731217980384827,0.5587150454521179,0.09145853668451309,0.4178382456302643,0.3952607214450836,1.976303607225418,0.2157217115163803,5.676486968994141,0.1942189782857895
29,2,right_angle,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,8,8,0.6934088987398024,True,20.0,0.03998546778915047,0.055496592074632645,0.046120189130306244,4.0,81,2.9458603858947754,0.24297005334963043,0.22552061080932617,0.35819685459136963,0.30477216839790344,0.4113323390483856,0.39326855540275574,1.9663427770137787,0.21419841051101685,5.537868976593018,0.18760566413402557
30,0,right_angle,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,8,8,0.6934089320514559,True,20.0,0.06649928764661227,0.04751532897353172,0.03548886999487877,8.0,161,0.45762842893600464,0.23373746871948245,0.14274448156356812,0.10941611230373383,0.28603243827819824,0.47199299931526184,0.4295419454574585,1.0738548636436462,0.23857329785823822,6.019375801086426,0.21569371223449707
31,1,right_angle,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,8,8,0.6934088125264481,True,20.0,0.09218161593274188,0.04956921190023422,0.03671574220061302,8.0,161,0.5127778649330139,0.6074209848987028,0.025564825162291527,0.07246839255094528,0.18415527045726776,0.47187405824661255,0.42307907342910767,1.0576976835727692,0.23560351133346558,6.0807294845581055,0.22166812419891357
32,2,right_angle,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,8,8,0.6934090786657909,True,20.0,0.05863315848505041,0.04518064484000206,0.033556174486875534,8.0,161,0.40056514739990234,0.4996166864978238,0.08071599155664444,0.08300872147083282,0.33984798192977905,0.46022361516952515,0.4263893961906433,1.0659734904766083,0.23827481269836426,5.959786891937256,0.21680593490600586
