scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,2.365150984240795e-06,True,20.0,0.09882276056887646,0.0066191754303872585,4.0,100,1.2805418968200684,0.7650909423828125,0.002324863336980343,0.023872453719377518,0.1271907240152359,0.15255126357078552,0.6359536200761795,0.29821696877479553,4.09792947769165,0.10974687337875366
1,1,straight,,0.2,2.217329125193734e-06,True,20.0,0.12020350427795043,0.006579164415597916,4.0,100,0.6490232944488525,0.9125170707702637,0.23112104833126068,0.0741242915391922,0.16020499169826508,0.18628652393817902,0.8010249584913254,0.2981472313404083,4.142697811126709,0.12222756445407867
2,0,straight,,0.4,2.06950688131698e-06,True,20.0,0.016639361543756007,0.008113403804600239,8.0,200,1.995855450630188,0.07209593454469879,0.02452068403363228,0.07339879870414734,0.5011063814163208,0.5086528658866882,1.252765953540802,0.3008774518966675,4.058002948760986,0.18398600816726685
3,1,straight,,0.4,2.3651541381220326e-06,True,20.0,0.025789542708360945,0.008171669207513332,8.0,200,2.08315372467041,0.016902271901266162,0.09922591596841812,0.09840789437294006,0.5063562989234924,0.5101718902587891,1.265890747308731,0.30076518654823303,4.098573684692383,0.18431776762008667
4,0,s_curve,,0.2,0.19313706118502336,True,20.0,0.09376683587769755,0.0068820808082818985,4.0,97,0.6690706014633179,0.6231511274920866,0.20785778760910034,0.1324508786201477,0.1561707705259323,0.1882539540529251,0.7808538526296616,0.298769474029541,3.8266031742095947,0.11756055802106857
5,1,s_curve,,0.2,0.1931373107203231,True,20.0,0.0977398372639266,0.007149083074182272,4.0,97,0.4471476078033447,1.0070503393756314,0.04544240981340408,0.10355539619922638,0.21129272878170013,0.23098121583461761,1.0564636439085007,0.29881832003593445,4.2713799476623535,0.12577016651630402
6,0,s_curve,,0.4,0.19313764558739102,True,20.0,0.0179653412389693,0.008153161033987999,8.0,195,2.2444820404052734,0.016087770462036133,0.017278214916586876,0.016718406230211258,0.5119391679763794,0.5172440409660339,1.2798479199409485,0.3008676767349243,4.123269081115723,0.1849687546491623
7,1,s_curve,,0.4,0.19313906960707775,True,20.0,0.023015408536136157,0.00803237035870552,8.0,195,2.1934561729431152,0.15431070327758792,0.015488320961594582,0.006576865911483765,0.5086333155632019,0.5150741338729858,1.2715832889080048,0.3006860911846161,4.124899387359619,0.1902022659778595
8,0,right_angle,,0.2,0.6934087792106862,True,20.0,0.07342417960612779,0.007162420079112053,4.0,81,0.7284326553344727,0.4134669303894043,0.34348759055137634,0.1818065643310547,0.13250170648097992,0.18670141696929932,0.6625085324048996,0.2986045181751251,4.254597187042236,0.12578801810741425
9,1,right_angle,,0.2,0.6934090453504277,True,20.0,0.069993664691862,0.007040425669401884,4.0,81,0.9486069083213806,0.6549851894378662,0.15097370743751526,0.0659714937210083,0.11799527704715729,0.18310433626174927,0.5899763852357864,0.29715514183044434,4.219386100769043,0.13725440204143524
10,0,right_angle,,0.4,0.6934089668543904,True,20.0,0.0979760849928868,0.0079962108284235,8.0,161,0.5159152746200562,0.028287410736083984,0.0030272481963038445,0.003613834036514163,0.34459108114242554,0.4198130965232849,0.8614777028560638,0.29957666993141174,4.999629020690918,0.19671961665153503
11,1,right_angle,,0.4,0.6934088279750977,True,20.0,0.0990778359685346,0.008289615623652935,8.0,161,0.4905180335044861,0.040067195892333984,0.16421633958816528,0.32379773259162903,0.3417721092700958,0.4386219382286072,0.8544302731752396,0.29873931407928467,6.037115573883057,0.21659071743488312
12,0,random_polyline,,0.2,0.29909937570640327,True,20.0,0.09484098244341106,0.0068372501991689205,4.0,79,1.512840986251831,1.6822394132614136,0.06747227162122726,0.07140911370515823,0.07372062653303146,0.1659284085035324,0.3686031326651573,0.29578134417533875,4.301846027374268,0.1388079673051834
13,1,random_polyline,,0.2,0.299093814594404,True,20.0,0.11614432499674299,0.0061812433414161205,4.0,79,2.351733446121216,1.2720379829406738,0.12957799434661865,0.14308859407901764,0.04965340346097946,0.13000604510307312,0.2482670173048973,0.29679107666015625,3.9652669429779053,0.12754903733730316
14,0,random_polyline,,0.4,0.29909958417131155,True,20.0,0.043053276502309834,0.007224384229630232,6.788423538208008,133,0.05926975607872009,0.15220212936401367,0.0137239471077919,0.00890586618334055,0.33393898606300354,0.35220831632614136,0.8348474651575089,0.2994592785835266,4.013294696807861,0.16223938763141632
15,1,random_polyline,,0.4,0.2991063406589876,True,20.0,0.062341054690190946,0.008139951154589653,6.788423538208008,133,0.09050347656011581,0.14865589141845706,0.0019368685316294432,0.006459481548517942,0.3345193564891815,0.3526163399219513,0.8362983912229538,0.2994328439235687,4.248153209686279,0.17016617953777313
