scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,5,5,5,2.143417663003602e-06,True,False,False,24.0,0.019866146588675224,0.051758088171482086,0.030095307156443596,0.05155302956700325,0.038533568382263184,4.800000000000001,120,0.8042417699396767,4.800000000000001,4.000404357910156,4.000404357910156,0.8334175745646157,0.1666835149129232,0.8334175745646158,False,nan,nan,nan,0.1666835149129232,0.8334175745646158,1.3078865684767567,-0.7995956420898445,0.015333586372435093,0.02352735549211501,0.8042417699396767,False,False,nan,nan,nan,nan,nan,-4.010649681091309,-0.08632215857505798,0.09529453912843901,0.7939921021461487,0.7697262763977051,0.16711854934692383,0.18826229870319366,0.16721078753471375,0.8360539376735687,0.21513718366622925,3.8569419384002686,0.15184570848941803
1,1,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,4,4,5,2.143417663003602e-06,True,False,False,24.0,0.01998876799514646,0.06328997015953064,0.058797091245651245,0.07209176570177078,0.06864281743764877,4.800000000000001,120,1.0019447123303893,4.800000000000001,3.7994766235351562,3.7994766235351562,0.7915576299031575,0.1583115259806315,0.7915576299031575,False,nan,nan,nan,0.1583115259806315,0.7915576299031575,1.3269690927316748,-1.0005233764648445,0.016775740310549736,0.039716015756130194,1.0019447123303893,False,False,nan,nan,nan,nan,nan,-3.8074512481689453,-0.053351134061813354,0.021798912678854053,0.7208221554756165,0.8500686883926392,0.1586911380290985,0.17864075303077698,0.15884296596050262,0.7942148298025131,0.1821192353963852,3.691875696182251,0.14669711887836456
2,2,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,4,4,5,2.143417663003602e-06,True,False,False,24.0,0.028106892767070076,0.05259371176362038,0.044333621859550476,0.10406877845525742,0.09540849179029465,4.800000000000001,120,1.054255251416043,4.800000000000001,3.7464993000030518,3.7464993000030518,0.7805206875006356,0.15610413750012717,0.7805206875006357,False,nan,nan,nan,0.15610413750012717,0.7805206875006357,1.5328206400984528,-1.053500699996949,0.025778470560908318,0.05894329845905298,1.054255251416043,False,False,nan,nan,nan,nan,nan,-3.7643725872039795,-0.03988036513328552,0.13728744188417633,0.9368366003036499,0.8609592318534851,0.15728671848773956,0.17743860185146332,0.15672115981578827,0.7836057990789413,0.185077965259552,3.5594098567962646,0.14758692681789398
3,0,straight,,0.4,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,11,11,11,2.143417663003602e-06,True,False,False,24.0,0.015532849399820102,0.07244504243135452,0.05493415147066116,0.068401038646698,0.05388670787215233,9.600000000000001,240,0.02722843923958133,9.600000000000001,9.576216697692871,9.576216697692871,0.9975225726763406,0.3990090290705363,0.9975225726763407,False,nan,nan,nan,0.3990090290705363,0.9975225726763407,0.07160616055687258,-0.023783302307130327,0.010398974642157555,0.01895358823239802,0.02722843923958133,False,False,nan,nan,nan,nan,nan,-9.576216697692871,0.013255953788757324,0.168543815612793,0.15027104318141937,0.2287890762090683,0.3953481912612915,0.4033869802951813,0.399656742811203,0.9991418570280075,0.17147468030452728,5.2674102783203125,0.19110795855522156
4,1,straight,,0.4,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,11,11,11,2.143417663003602e-06,True,False,False,24.0,0.015764924677959882,0.07684268057346344,0.06439102441072464,0.07408135384321213,0.059203632175922394,9.600000000000001,240,0.014850447211125386,9.600000000000001,9.589546203613281,9.589546203613281,0.9989110628763833,0.3995644251505534,0.9989110628763834,False,nan,nan,nan,0.3995644251505534,0.9989110628763834,0.08385409526050075,-0.010453796386720171,0.010701535269618034,0.0232435941696167,0.014850447211125386,False,False,nan,nan,nan,nan,nan,-9.589546203613281,0.010546863079071045,0.18964338302612305,0.23957286775112152,0.3156733810901642,0.3969264030456543,0.4036575257778168,0.4004485607147217,1.0011214017868042,0.17828918993473053,5.150511264801025,0.18809008598327637
5,2,straight,,0.4,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,11,11,11,2.143417663003602e-06,True,False,False,24.0,0.01961826905014909,0.07996947318315506,0.06550443917512894,0.08138055354356766,0.06578812003135681,9.600000000000001,240,0.03983115678258593,9.600000000000001,9.562406539916992,9.562406539916992,0.9960840145746865,0.3984336058298747,0.9960840145746866,False,nan,nan,nan,0.3984336058298747,0.9960840145746866,0.22348252385159345,-0.037593460083009234,0.015868840739130974,0.03283315151929855,0.03983115678258593,False,False,nan,nan,nan,nan,nan,-9.562406539916992,0.013161718845367432,0.018820762634277344,0.2263355553150177,0.35293588042259216,0.39764347672462463,0.40424683690071106,0.4001103639602661,1.0002759099006653,0.18974024057388306,5.185965061187744,0.19190122187137604
6,0,straight,,0.6,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.04100419569093524,0.059731852263212204,0.048081740736961365,0.054049864411354065,0.04577656090259552,9.994312763214111,249,0.06472213888585791,9.994306087494211,9.994306564331055,9.994306564331055,1.0000000477108506,0.41642944018046063,0.6940490669674344,True,17.0599990366095,0.5858327463001122,0.976387910500187,0.41642944018046063,0.6940490669674344,0.2544225902851556,4.768368437879644e-07,0.03974466398358345,0.07351578176021575,0.06472213888585791,True,True,16.86,0.11627262715268702,0.11796402931213379,0.032776206731796265,-0.0072179070288130864,-10.061444282531738,0.02033519744873047,0.1762733459472656,0.06032181903719902,0.03695358335971832,0.41587403416633606,0.43509364128112793,0.4195937514305115,0.6993229190508525,0.17607180774211884,5.880672454833984,0.2118866741657257
7,1,straight,,0.6,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.03376246730825225,0.06338843703269958,0.04618962109088898,0.051330603659152985,0.035863857716321945,9.992939114570618,249,0.03355580475012768,9.992932438850717,9.970895767211914,9.992932319641113,0.9977947742793568,0.4154539903004964,0.6924233171674941,True,17.06,0.5857521945399015,0.9762536575665025,0.4154539903004964,0.6924233171674941,0.2179507774855664,-0.022036671638803185,0.032148074358701706,0.08132927194237707,0.03355580475012768,True,True,16.8,0.12099617480887151,0.13139009475708008,0.0011811107397079468,-0.005182592925552565,-9.9779634475708,0.02530491352081299,0.24604010581970215,0.031157318502664566,0.028497058898210526,0.4137214124202728,0.4374011754989624,0.416075199842453,0.6934586664040884,0.1770496815443039,5.884676933288574,0.21315954625606537
8,2,straight,,0.6,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.07311067077966796,0.06352335214614868,0.04589998349547386,0.068736732006073,0.05123544856905937,9.999976992607117,249,0.15638896837372954,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4166654348373413,0.6944423913955688,True,17.439999765413024,0.5733928011122534,0.9556546685204225,0.4166654348373413,0.6944423913955688,0.23156309460076022,1.1920897513562068e-07,0.07243122905492783,0.1475196726620197,0.15638896837372954,True,True,17.22,0.11588631089335606,0.0670641104327603,0.0033658742904663086,-0.019281630842786446,-10.154656410217285,-0.023215174674987793,0.014667272567749023,0.06900864839553833,0.058779288083314896,0.42247289419174194,0.4453273117542267,0.42374715209007263,0.7062452534834545,0.2230529487133026,5.136435508728027,0.22078120708465576
9,0,straight,,0.8,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,10,2.143417663003602e-06,True,False,False,24.0,0.029613274578651542,0.046219389885663986,0.04129742830991745,0.04185792803764343,0.03672896325588226,10.000006675720215,249,0.024031595023765836,10.000000000000314,10.0,10.0,0.9999999999999686,0.4166666666666667,0.5208333333333334,True,12.92,0.77399380804956,0.9674922600619499,0.4166666666666667,0.5208333333333334,0.1076552803037084,-3.1441516057384433e-13,0.028392795473337173,0.04216334670782089,0.024031595023765836,True,True,12.68,0.11849646742283979,0.057862043380737305,0.01564173400402069,-0.011356466876946802,-10.014277458190918,0.019329726696014404,0.14817762374877932,0.013135502114892006,0.02280084788799286,0.41497692465782166,0.44186946749687195,0.41824495792388916,0.5228061974048615,0.18953336775302887,5.5610785484313965,0.22656193375587463
10,1,straight,,0.8,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,10,2.143417663003602e-06,True,False,False,24.0,0.02983295908818903,0.04744308069348335,0.031204309314489365,0.03328395262360573,0.02241276018321514,10.000006675720215,249,0.0219489777350012,10.000000000000314,9.985884666442871,10.0,0.9985884666442557,0.41607852776845294,0.5200981597105662,True,12.88,0.7763975155279746,0.9704968944099682,0.41607852776845294,0.5200981597105662,0.11405179965987969,-0.014115333557443321,0.024506503716111183,0.03637498691678047,0.0219489777350012,True,True,12.68,0.11047547593521864,0.08807134628295897,0.002750009298324585,-0.011356466876946802,-9.985884666442871,0.01680731773376465,0.17464613914489743,0.06804776191711426,0.03941096365451813,0.4150458574295044,0.4422805905342102,0.4170740842819214,0.5213426053524017,0.18179845809936523,5.868696212768555,0.22804971039295197
11,2,straight,,0.8,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,12,12,10,2.143417663003602e-06,True,False,False,24.0,0.07889542183621266,0.048566918820142746,0.03428468480706215,0.04207070171833038,0.030511176213622093,10.000006675720215,249,0.10460249013526308,10.000000000000314,10.0,10.0,0.9999999999999686,0.4166666666666667,0.5208333333333334,True,13.08,0.764525993883816,0.95565749235477,0.4166666666666667,0.5208333333333334,0.08176924929713378,-3.1441516057384433e-13,0.07843207567930222,0.13767593055963515,0.10460249013526308,True,True,12.86,0.12201158412290948,0.03479433059692382,0.002200782299041748,-0.02239502332812482,-10.103839874267578,-0.012608855962753296,0.034460544586181634,0.09942809492349625,0.05027438700199127,0.41967031359672546,0.4540655016899109,0.4225221872329712,0.528152734041214,0.25306084752082825,5.244571685791016,0.2420085370540619
