scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,3,3,4,2.143417663003602e-06,True,False,False,24.0,0.03044552415381558,0.049189530313014984,0.0377691313624382,0.06124235689640045,0.054328802973032,4.800000000000001,120,1.860889823506676,4.800000000000001,2.9391660690307617,2.950847625732422,0.6123262643814086,0.12246525287628174,0.6123262643814087,False,nan,nan,nan,0.12246525287628174,0.6123262643814087,0.8233212542399766,-1.860833930969239,0.027169710025191307,0.06678004451096055,1.860889823506676,False,False,nan,nan,nan,nan,nan,-2.949411630630493,-0.01443856954574585,0.2795885244952603,0.11564511805772781,0.0458766408264637,0.11480000615119934,0.14886431396007538,0.12270751595497131,0.6135375797748566,0.19264055788516998,4.024481773376465,0.11729438602924347
1,1,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,1,1,1,2.143417663003602e-06,True,False,False,24.0,0.01715878122153699,0.07341451197862625,0.07214067131280899,0.07469228655099869,0.07404067367315292,4.800000000000001,120,3.758890292588592,4.800000000000001,1.0411126613616943,1.0451886653900146,0.21689847111701963,0.04337969422340393,0.21689847111701965,False,nan,nan,nan,0.04337969422340393,0.21689847111701965,1.5386017918185395,-3.7588873386383064,0.012569856829941273,0.03666864782571791,3.758890292588592,False,False,nan,nan,nan,nan,nan,-1.0490871667861938,0.004664242267608643,0.007082764302389211,0.02099396102130413,0.028846371918916702,0.04307139292359352,0.0742897167801857,0.04340662062168121,0.21703310310840607,0.17696762084960938,2.529798746109009,0.0846492201089859
2,2,straight,,0.2,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,0,0,1,2.143417663003602e-06,True,False,False,24.0,0.012067212444874055,0.038996078073978424,0.038262128829956055,0.11767533421516418,0.11598479002714157,4.800000000000001,120,4.13444704658533,4.800000000000001,0.6655595302581787,0.6805086731910706,0.1386582354704539,0.02773164709409078,0.1386582354704539,False,nan,nan,nan,0.02773164709409078,0.1386582354704539,1.7929436532106005,-4.134440469741822,0.009714243933558464,0.019153803586959835,4.13444704658533,False,False,nan,nan,nan,nan,nan,-0.6834328174591064,-0.00737491250038147,0.12371063232421876,0.008387835696339607,0.01947779208421707,0.027540206909179688,0.05166792497038841,0.027819573879241943,0.13909786939620972,0.17587235569953918,2.6279120445251465,0.07572529464960098
3,0,straight,,0.4,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.02155340657370316,0.06773512065410614,0.054617781192064285,0.05943039432168007,0.04797011986374855,9.600000000000001,240,0.22148372677884512,9.600000000000001,9.821483612060547,9.821483612060547,1.0230712095896402,0.40922848383585614,1.0230712095896404,True,21.348371802382353,0.4496830057516938,1.1242075143792345,0.40922848383585614,1.0230712095896404,0.6172437906895077,0.22148361206054545,0.01801953837275505,0.03686727732419967,0.22148372677884512,False,False,nan,nan,nan,nan,nan,-9.821483612060547,0.00022459030151367188,0.12087303796877104,0.013495015911757946,0.022045783698558807,0.40393322706222534,0.41594743728637695,0.40980926156044006,1.0245231539011002,0.17876794934272766,5.299469947814941,0.19288358092308044
4,1,straight,,0.4,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.01850645975318385,0.06812342256307602,0.05325743183493614,0.057409923523664474,0.04531877487897873,9.600000000000001,240,0.22783371807795946,9.600000000000001,9.82762622833252,9.842645645141602,1.023711065451304,0.40948442618052167,1.0237110654513042,True,20.50319279363594,0.4682197595576324,1.170549398894081,0.40948442618052167,1.0237110654513042,0.5769501900408662,0.2276262283325181,0.01441251952201128,0.02747855484485626,0.22783371807795946,False,False,nan,nan,nan,nan,nan,-9.82762622833252,-0.009722113609313965,0.0600126425372525,0.06417310982942581,0.041140489280223846,0.4070504307746887,0.4177872836589813,0.41031399369239807,1.0257849842309952,0.18763424456119537,5.051495552062988,0.1876242309808731
5,2,straight,,0.4,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,11,11,11,2.143417663003602e-06,True,False,False,24.0,0.02015676143085927,0.07250428199768066,0.05739846080541611,0.07371193170547485,0.06104473024606705,9.600000000000001,240,0.009969358639460045,9.600000000000001,9.609969139099121,9.613020896911621,1.0010384519894917,0.4004153807957967,1.0010384519894917,True,23.623111111111125,0.40638169777242605,1.015954244431065,0.4004153807957967,1.0010384519894917,0.4626352589735385,0.009969139099119673,0.01652752049267292,0.03676672279834747,0.009969358639460045,False,False,nan,nan,nan,nan,nan,-9.609969139099121,-6.699562072753906e-05,0.29411155382265286,0.04339837655425072,0.07791725546121597,0.39663165807724,0.4065327048301697,0.4019997715950012,1.004999428987503,0.19653169810771942,5.219211578369141,0.18851521611213684
6,0,straight,,0.6,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.019138314753721134,0.06229128688573837,0.054408200085163116,0.04509696736931801,0.038603100925683975,9.994312763214111,249,0.24476207679193243,9.994306087494211,9.74954605102539,9.766166687011719,0.9755100519909945,0.4062310854593913,0.6770518090989855,False,nan,nan,nan,0.4062310854593913,0.6770518090989855,0.22372366555223575,-0.24476003646882027,0.016176855191588402,0.03442283850163221,0.24476207679193243,True,False,nan,nan,nan,nan,nan,-9.755240440368652,0.0011091828346252441,0.04291040102113921,0.07535779476165771,0.03870890289545059,0.40400150418281555,0.4194563925266266,0.4069170653820038,0.6781951089700063,0.18753963708877563,5.202460289001465,0.20421507954597473
7,1,straight,,0.6,0.2800000011920929,,random,0.8,0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.2100;0.1705;0.2932;0.1705,12,12,11,2.143417663003602e-06,True,False,False,24.0,0.024834228078524676,0.060760434716939926,0.04834494739770889,0.03932572156190872,0.028795620426535606,9.992939114570618,249,0.03233449665168454,9.992932438850717,9.975956916809082,9.976332664489746,0.9983012471919016,0.41566487153371173,0.6927747858895196,False,nan,nan,nan,0.41566487153371173,0.6927747858895196,0.10003062712887627,-0.016975522041635216,0.019815891981124878,0.03498142510652542,0.03233449665168454,True,True,17.04,0.11998981332691526,0.1375269889831543,0.011098712682723999,-0.013560302884347508,-9.983024597167969,-0.027520954608917236,0.09790897369384766,0.03619885444641113,0.02441546507179737,0.4112703502178192,0.42645126581192017,0.4162287414073944,0.6937145690123241,0.19694103300571442,5.301900863647461,0.2031673640012741
8,2,straight,,0.6,0.2800000011920929,,random,0.8,0.2100;0.2932;0.1705;0.2932;0.2100;0.2500;0.2932;0.1705;0.2500;0.2932;0.1705;0.2100;0.2932,11,11,11,2.143417663003602e-06,True,False,False,24.0,0.023481505959100885,0.06540200114250183,0.05307784304022789,0.07897470146417618,0.06622737646102905,9.999976992607117,249,0.3979921344554986,9.999970316887216,9.601978302001953,9.609524726867676,0.9602006803747044,0.40008242925008136,0.6668040487501357,False,nan,nan,nan,0.40008242925008136,0.6668040487501357,0.6414013459391363,-0.39799201488526315,0.021071838214993477,0.04317968171089887,0.3979921344554986,True,False,nan,nan,nan,nan,nan,-9.602007865905762,-1.7821788787841797e-05,0.08222586313356596,0.020841989666223526,0.023997079581022263,0.39736098051071167,0.41188669204711914,0.4006876051425934,0.6678126752376556,0.21262532472610474,5.176905155181885,0.20712827146053314
9,0,straight,,0.8,0.2800000011920929,,random,0.8,0.2932;0.1705;0.2500;0.2100;0.2500;0.1705;0.2932;0.1705;0.2932;0.2500;0.2100;0.1705;0.2100,12,12,10,2.143417663003602e-06,True,False,False,24.0,0.019788179929308,0.05070484057068825,0.04168323427438736,0.04497137665748596,0.039767492562532425,10.000006675720215,249,0.20596439461599372,10.000000000000314,9.794063568115234,9.806756019592285,0.9794063568114927,0.40808598200480145,0.5101074775060018,False,nan,nan,nan,0.40808598200480145,0.5101074775060018,0.21721363131001736,-0.20593643188508004,0.01688104122877121,0.03726723194122314,0.20596439461599372,True,False,nan,nan,nan,nan,nan,-9.794063568115234,0.003392934799194336,0.01969003677368164,0.031662363559007645,0.04296150058507919,0.4053524434566498,0.42549940943717957,0.4090571999549866,0.5113214999437332,0.19809985160827637,4.4915642738342285,0.2151442915201187
