scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.02480681836210502,0.007526852190494537,0.006912892684340477,0.007526852190494537,0.006912892684340477,1.6,41,1.4040044874701092,1.6,0.1959964632987976,0.20251578092575073,0.1224977895617485,0.0244995579123497,0.1224977895617485,False,nan,nan,nan,0.0244995579123497,0.1224977895617485,0.7051461492553355,-1.4040035367012025,0.02052231691777706,0.031636081635951996,1.4040044874701092,False,False,nan,nan,nan,nan,nan,-0.2062419056892395,-0.0016340911388397217,0.09591323534120758,0.08133441209793091,0.07274188846349716,0.02486339956521988,0.06475340574979782,0.024564482271671295,0.12282241135835648,0.2999264597892761,2.108675003051758,0.07957426458597183
1,0,straight,,0.4,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,3.74,0.01956001704057808,0.017603103071451187,0.010575792752206326,0.017603103071451187,0.010575792752206326,3.2,80,1.1875161522403435,3.2,2.013152599334717,2.013152599334717,0.629110187292099,0.2516440749168396,0.629110187292099,False,nan,nan,nan,0.5411700535846012,1.352925133961503,0.24294497880884397,-1.1868474006652834,0.014461264945566654,0.02511341730132699,1.1875161522403435,False,False,nan,nan,nan,nan,nan,-2.021127223968506,-0.03984999656677246,0.455028597508566,0.7801561951637268,0.5535368323326111,0.5436215996742249,0.5529963374137878,0.5433777570724487,1.3584443926811218,0.29319852590560913,8.514273643493652,0.23420970141887665
2,0,straight,,0.6,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,4.38,0.05619292208968741,0.013997744768857956,0.007989422418177128,0.013997744768857956,0.007989422418177128,4.8,120,1.7216246504594757,4.8,3.091801881790161,3.091801881790161,0.6441253920396169,0.38647523522377014,0.6441253920396169,False,nan,nan,nan,0.7091288719702203,1.1818814532837005,0.2756502465212017,-1.7081981182098387,0.05486035346984863,0.13528554439544663,1.7216246504594757,False,False,nan,nan,nan,nan,nan,-3.109675168991089,-0.2145945131778717,0.04361605644226074,0.669243574142456,0.6681114435195923,0.7143059372901917,0.7224939465522766,0.7115803956985474,1.1859673261642456,0.29429200291633606,8.971214294433594,0.3000805377960205
3,0,straight,,0.8,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,5.12,0.07060745157576874,0.01385303121060133,0.009861957281827927,0.01385303121060133,0.009861957281827927,6.4,160,1.8033563102325108,6.4,4.60060977935791,4.60060977935791,0.7188452780246735,0.5750762224197388,0.7188452780246735,False,nan,nan,nan,0.9020803488937078,1.1276004361171348,0.2874542050960016,-1.7993902206420902,0.06965474784374237,0.1393883317708969,1.8033563102325108,False,False,nan,nan,nan,nan,nan,-4.60060977935791,0.11953526735305786,0.9786601702319547,1.4938002824783325,0.9784024953842163,0.8507113456726074,0.9143961668014526,0.9048197269439697,1.1310246586799622,0.2892704904079437,9.073781967163086,0.3693772852420807
4,0,straight,,1.0,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,1.18,0.03844133317441612,0.031117206439375877,0.020316068083047867,0.031117206439375877,0.020316068083047867,8.0,200,7.320854570404688,8.0,0.6797146201133728,0.6797146201133728,0.0849643275141716,0.0849643275141716,0.0849643275141716,False,nan,nan,nan,0.5859608794080801,0.5859608794080801,0.3519442664857569,-7.320285379886627,0.036858316510915756,0.07652162313461303,7.320854570404688,False,False,nan,nan,nan,nan,nan,-0.6797146201133728,0.09128785133361816,0.7317748705493374,1.4112799167633057,0.7086190581321716,0.6155197024345398,0.6335650682449341,0.6028634309768677,0.6028634309768677,0.2864965498447418,12.311052322387695,0.3729616701602936
5,0,circle,,0.2,0.2932,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.03768189021006475,0.007593391463160515,0.006724945735186338,0.007593391463160515,0.006724945735186338,1.6,29,1.0410085432421194,1.6,0.5463533997535706,0.5463533997535706,0.3414708748459816,0.06829417496919632,0.3414708748459816,False,nan,nan,nan,0.06829417496919632,0.3414708748459816,0.5109433752465994,-1.0536466002464295,0.02840549871325493,0.0442315375432372,1.0410085432421194,False,False,nan,nan,nan,nan,nan,-0.543093204498291,-0.07524636387825012,1.1380785147296353,0.12255437672138214,0.17273002862930298,0.07000268250703812,0.14628544449806213,0.07211364805698395,0.36056824028491974,0.2994113862514496,2.534801959991455,0.09279797226190567
6,0,circle,,0.4,0.2932,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,2.74,0.03769835233765932,0.030984768643975258,0.0177054014056921,0.030984768643975258,0.0177054014056921,3.2,57,2.1703236295280686,3.2,0.8069369792938232,0.8069369792938232,0.25216780602931976,0.1008671224117279,0.25216780602931976,False,nan,nan,nan,0.29666800709331737,0.7416700177332933,0.22986136115657388,-2.393063020706177,0.033867377787828445,0.04670627973973751,2.1703236295280686,False,False,nan,nan,nan,nan,nan,-0.7907415628433228,-0.1873326599597931,2.6521760861026213,0.542651355266571,0.3810306191444397,0.289946585893631,0.3185606598854065,0.30147087574005127,0.7536771893501282,0.2830907106399536,14.314894676208496,0.2555329203605652
7,0,circle,,0.6,0.2932,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,2.18,0.0878233319544141,0.017227206379175186,0.010563806630671024,0.017227206379175186,0.010563806630671024,4.8,85,2.900423835801821,4.8,1.4249451160430908,1.4249451160430908,0.2968635658423106,0.17811813950538635,0.2968635658423106,False,nan,nan,nan,0.6596968129829124,1.099494688304854,0.16251886982039582,-3.375054883956909,0.08635177463293076,0.18361223489046094,2.900423835801821,False,False,nan,nan,nan,nan,nan,-1.4001784324645996,-0.5112868547439575,2.960021685808897,1.3432470560073853,1.0750356912612915,0.6879713535308838,0.7194870114326477,0.699396014213562,1.16566002368927,0.29350546002388,10.033101081848145,0.2813670337200165
8,0,circle,,0.8,0.2932,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,1.48,0.056625374474148255,0.031917132437229156,0.018177319318056107,0.031917132437229156,0.018177319318056107,6.4,113,3.031929477049339,6.4,0.8943339586257935,0.8943339586257935,0.13973968103528023,0.11179174482822418,0.13973968103528023,False,nan,nan,nan,0.6125575059080777,0.765696882385097,0.2755909531385381,-5.505666041374207,0.054324645549058914,0.13325378894805903,3.031929477049339,False,False,nan,nan,nan,nan,nan,-0.9206777215003967,-0.14096999168395996,1.3552896976470947,0.36616402864456177,0.8552499413490295,0.6143976449966431,0.6597545742988586,0.6310548186302185,0.7888185232877731,0.28824904561042786,13.030596733093262,0.34870022535324097
9,0,circle,,1.0,0.2932,,constant,nan,,0,0,0,0.6628245038453242,False,True,False,1.48,0.06825811205259326,0.02755582518875599,0.01353326067328453,0.02755582518875599,0.01353326067328453,8.0,141,2.4978635455367346,8.0,1.233766794204712,1.233766794204712,0.154220849275589,0.154220849275589,0.154220849275589,False,nan,nan,nan,0.8450457494552821,0.8450457494552821,0.2956333835383444,-6.766233205795288,0.06637759506702423,0.16899783611297595,2.4978635455367346,False,False,nan,nan,nan,nan,nan,-1.260201334953308,-0.32749611139297485,0.9668839613543911,1.6849054098129272,1.2074187994003296,0.9222664833068848,0.9307476878166199,0.8835740685462952,0.8835740685462952,0.2861595153808594,8.8927001953125,0.39614832401275635
