scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,9.26,0.0923138504545566,0.018420608714222908,0.017430583015084267,0.018420608714222908,0.017430583015084267,4.0,100,2.4429276781731017,4.0,1.5871124267578125,1.598824143409729,0.3967781066894531,0.07935562133789062,0.39677810668945307,False,nan,nan,nan,0.1717654141512784,0.858827070756392,0.2354435322057633,-2.4128875732421875,0.09002794325351715,0.21888132393360135,2.4429276781731017,False,False,nan,nan,nan,nan,nan,-1.5973578691482544,0.3819279074668884,0.04826933542360503,0.6466388702392578,0.3158264458179474,0.1622280329465866,0.25901371240615845,0.17246787250041962,0.8623393625020981,0.2973743677139282,12.155461311340332,0.191548690199852
1,1,straight,,0.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.056375232956327674,0.016184763982892036,0.015169775113463402,0.016184763982892036,0.015169775113463402,4.0,100,1.5785334972064986,4.0,5.577991008758545,5.577991008758545,1.3944977521896362,0.27889955043792725,1.3944977521896362,True,10.612860296436457,0.3769012206203358,1.884506103101679,0.27889955043792725,1.3944977521896362,1.2792794075417517,1.577991008758545,0.0499885119497776,0.10643998682498919,1.5785334972064986,False,False,nan,nan,nan,nan,nan,-5.585965633392334,0.04137825965881348,0.26052767435182766,0.3393156826496124,0.2431371510028839,0.2490818053483963,0.3168737292289734,0.27917325496673584,1.3958662748336792,0.2947984039783478,5.839285850524902,0.1631980687379837
2,2,straight,,0.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.04706746242201974,0.014878807589411736,0.013542958535254002,0.014878807589411736,0.013542958535254002,4.0,101,0.43613292738661164,4.0,4.435978412628174,4.435978412628174,1.1089946031570435,0.22179892063140869,1.1089946031570435,True,15.713014323941445,0.25456605063392074,1.2728302531696036,0.22179892063140869,1.1089946031570435,0.5826174648633002,0.43597841262817383,0.04556652903556824,0.10403908491134642,0.43613292738661164,False,False,nan,nan,nan,nan,nan,-4.453851699829102,-0.011608719825744629,0.9881461302386685,0.31071367859840393,0.2253182828426361,0.18573470413684845,0.263992577791214,0.2223457545042038,1.111728772521019,0.2931079566478729,5.481405735015869,0.14358288049697876
3,0,straight,,0.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.044902936724687655,0.018410518765449524,0.01767440140247345,0.018410518765449524,0.01767440140247345,8.0,200,2.0284223556652705,8.0,10.0,10.0,1.25,0.5,1.25,True,11.258221812737533,0.7105917908766741,1.7764794771916852,0.5,1.25,2.3214468950352667,2.0,0.04063861444592476,0.08958603516221046,2.0284223556652705,False,False,nan,nan,nan,nan,nan,-10.028422355651855,6.616115570068359e-06,0.003275632858276367,0.04849417135119438,0.0782555639743805,0.4669017493724823,0.5272551774978638,0.5020118951797485,1.2550297379493713,0.2975020706653595,4.86608362197876,0.20043650269508362
4,1,straight,,0.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,9.64,0.09374894657387423,0.016677210107445717,0.01556019764393568,0.016677210107445717,0.01556019764393568,8.0,200,4.032661132701954,8.0,3.995551824569702,3.995551824569702,0.49944397807121277,0.1997775912284851,0.4994439780712127,False,nan,nan,nan,0.415338027502048,1.03834506875512,0.31137954546012386,-4.004448175430298,0.09300452470779419,0.21569105982780457,4.032661132701954,False,False,nan,nan,nan,nan,nan,-3.995551824569702,0.4761826992034912,0.3138852755175992,1.0889556407928467,0.5349326729774475,0.39896249771118164,0.45256325602531433,0.4172518849372864,1.043129712343216,0.2949160635471344,10.606599807739258,0.250478059053421
5,2,straight,,0.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.05482207011791363,0.0190008245408535,0.01821272261440754,0.0190008245408535,0.01821272261440754,8.0,200,2.078997534121513,8.0,10.0,10.0,1.25,0.5,1.25,True,11.239967884383782,0.7117458058856891,1.7793645147142227,0.5,1.25,2.303982166420817,2.0,0.05398545414209366,0.08663197122514248,2.078997534121513,False,False,nan,nan,nan,nan,nan,-10.078722953796387,-0.03378868103027344,0.013412714004516602,0.025436295196413994,0.02280418388545513,0.48301804065704346,0.5193096995353699,0.5054241418838501,1.2635603547096252,0.2981857359409332,4.669002532958984,0.1921931505203247
6,0,straight,,0.6,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,8.72,0.08123113286256185,0.023312676697969437,0.019446268677711487,0.023312676697969437,0.019446268677711487,9.994312763214111,249,3.3694871941760725,9.994306087494211,6.6285080909729,6.6285080909729,0.6632284455713334,0.331425404548645,0.5523756742477417,False,nan,nan,nan,0.7618974817210229,1.269829136201705,0.7189568771164994,-3.3657979965213105,0.0802561491727829,0.1462975800037384,3.3694871941760725,True,False,nan,nan,nan,nan,nan,-6.634202003479004,0.15763098001480103,0.7721505800830288,0.041754283010959625,0.596517026424408,0.711459755897522,0.7775376439094543,0.7632201910018921,1.2720336516698203,0.29350563883781433,11.016100883483887,0.2809867262840271
7,1,straight,,0.6,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,3.9,0.06787736751962006,0.01824851892888546,0.01603415608406067,0.01824851892888546,0.01603415608406067,9.992939114570618,249,7.205934807630707,9.992932438850717,2.788054943084717,2.788054943084717,0.27900268115946253,0.13940274715423584,0.2323379119237264,False,nan,nan,nan,0.7185708616197723,1.1976181026996207,0.2534975910684497,-7.2048774957660005,0.06686060130596161,0.10901971161365509,7.205934807630707,True,False,nan,nan,nan,nan,nan,-2.7951223850250244,0.1234292984008789,0.8657532374011441,1.2816994190216064,0.7274856567382812,0.6408942341804504,0.7299071550369263,0.7218812108039856,1.203135351339976,0.29206886887550354,10.821114540100098,0.2765856981277466
8,2,straight,,0.6,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,5.96,0.06378983406894669,0.024105321615934372,0.01921389438211918,0.024105321615934372,0.01921389438211918,9.999976992607117,249,5.295341070140641,9.999970316887216,4.709064483642578,4.709064483642578,0.47090784616532866,0.2354532241821289,0.3924220403035482,False,nan,nan,nan,0.7927717985930266,1.3212863309883778,0.5884326056350362,-5.290905833244638,0.06272229552268982,0.1495591342449188,5.295341070140641,True,False,nan,nan,nan,nan,nan,-4.709094047546387,-0.21668323874473572,0.03469705581665039,0.38691121339797974,0.7013135552406311,0.7743074297904968,0.8043026328086853,0.7949737310409546,1.324956218401591,0.2919295132160187,11.066514015197754,0.3079613447189331
9,0,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,3.1,0.042270682065537454,0.024729738011956215,0.019568588584661484,0.024729738011956215,0.019568588584661484,10.000006675720215,249,7.127589857422096,10.000000000000314,2.873091697692871,2.873091697692871,0.28730916976927806,0.14365458488464355,0.17956823110580444,False,nan,nan,nan,0.9328219797704127,1.1660274747130157,0.21560618609577026,-7.126908302307443,0.04065650701522827,0.05292977839708327,7.127589857422096,True,False,nan,nan,nan,nan,nan,-2.873091697692871,0.0985649824142456,0.4223213831530972,1.2174434661865234,1.0898975133895874,0.9006009697914124,0.9435536861419678,0.940712571144104,1.17589071393013,0.28905680775642395,10.283671379089355,0.33035504817962646
10,1,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,5.0600000000000005,0.058752464787551306,0.021622037515044212,0.017787078395485878,0.021622037515044212,0.017787078395485878,10.000006675720215,249,5.422145304561189,10.000000000000314,4.577857494354248,4.577857494354248,0.4577857494354104,0.2288928747177124,0.2861160933971405,False,nan,nan,nan,0.9083050584036206,1.1353813230045258,0.40550162756111874,-5.422142505646066,0.05763822793960571,0.12436874955892561,5.422145304561189,True,False,nan,nan,nan,nan,nan,-4.577857494354248,0.0055084228515625,1.0203757921801968,0.4446372985839844,0.7762383222579956,0.8069957494735718,0.9255654811859131,0.9119694232940674,1.1399617791175842,0.2920437455177307,11.87244701385498,0.3092648684978485
11,2,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,4.18,0.040125929821331965,0.014835139736533165,0.013200903311371803,0.014835139736533165,0.013200903311371803,10.000006675720215,249,6.062685904944178,10.000000000000314,3.937650680541992,3.937650680541992,0.3937650680541868,0.1968825340270996,0.24610316753387448,False,nan,nan,nan,0.9465506443610557,1.1831883054513197,0.29060861242963704,-6.062349319458322,0.038444843143224716,0.08222101256251334,6.062685904944178,True,False,nan,nan,nan,nan,nan,-3.937650680541992,0.06388270854949951,0.7691031138049527,1.3929365873336792,1.0450553894042969,0.9098522663116455,0.9551785588264465,0.954456627368927,1.1930707842111588,0.2915102541446686,10.375144004821777,0.3376288115978241
