scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705,2,2,2,2.143417663003602e-06,True,False,False,8.0,0.01768366079261033,0.05040930211544037,0.04023832455277443,0.06302717328071594,0.05535457283258438,1.6,41,0.3593280978980933,1.6,1.9592738151550293,1.9592738151550293,1.2245461344718933,0.24490922689437866,1.2245461344718933,True,6.362782559901241,0.25146230991505614,1.2573115495752807,0.24490922689437866,1.2245461344718933,0.20053380361199374,0.3592738151550292,0.012499245814979076,0.02345496118068695,0.3593280978980933,False,False,nan,nan,nan,nan,nan,-1.9695192575454712,-0.00624576210975647,0.16480636596679688,0.2687270939350128,0.23627395927906036,0.23031601309776306,0.25165411829948425,0.24562160670757294,1.2281080335378647,0.16959045827388763,4.055617809295654,0.1412888914346695
1,0,straight,,0.4,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705,3,3,3,2.143417663003602e-06,True,False,False,8.0,0.025035567430504474,0.05245737358927727,0.04099338501691818,0.06899802386760712,0.06082536652684212,3.2,80,0.3163615487514038,3.2,2.883638620376587,2.883638620376587,0.9011370688676834,0.36045482754707336,0.9011370688676834,False,nan,nan,nan,0.36045482754707336,0.9011370688676834,0.3084343082234265,-0.31636137962341326,0.02185814268887043,0.048032346367835994,0.3163615487514038,False,False,nan,nan,nan,nan,nan,-2.891613245010376,-0.0003806948661804199,0.3892291227923795,0.5172141790390015,0.5037381649017334,0.34418395161628723,0.37184441089630127,0.36171895265579224,0.9042973816394806,0.19689662754535675,5.346307277679443,0.1816106140613556
2,0,straight,,0.6,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705,6,6,6,2.143417663003602e-06,True,False,False,8.0,0.03249461700215436,0.05930560827255249,0.045103177428245544,0.05181101709604263,0.04397806152701378,4.8,120,0.12282776987186347,4.8,4.92282772064209,4.92282772064209,1.025589108467102,0.6153534650802612,1.025589108467102,True,7.780737680359537,0.6169080872776832,1.0281801454628055,0.6153534650802612,1.025589108467102,0.1819508094066382,0.12282772064209002,0.030281582847237587,0.06096777766942973,0.12282776987186347,False,False,nan,nan,nan,nan,nan,-4.940701007843018,0.00010955333709716797,0.24409890174865723,0.5220851898193359,0.5288010239601135,0.6020994782447815,0.6253105401992798,0.6169026494026184,1.0281710823376975,0.2272307574748993,6.813883304595947,0.27296170592308044
3,0,circle,,0.2,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100,2,2,3,0.6628245038453242,True,False,False,8.0,0.03114245926728054,0.04878756031394005,0.03918638825416565,0.06865886598825455,0.06087173521518707,1.6,29,0.7039167496866652,1.6,2.3162012100219727,2.3162012100219727,1.447625756263733,0.2895251512527466,1.447625756263733,True,5.527010532409985,0.28948741650078597,1.4474370825039298,0.2895251512527466,1.447625756263733,0.35767859475889,0.7162012100219726,0.02666941098868847,0.06900429688394058,0.7039167496866652,False,False,nan,nan,nan,nan,nan,-1.4730069637298584,-1.4611512422561646,0.8071917295455933,0.2994385361671448,0.28288063406944275,0.28498607873916626,0.31005844473838806,0.2907499372959137,1.4537496864795685,0.17636260390281677,4.809401035308838,0.16632458567619324
4,0,circle,,0.4,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100,4,4,4,0.6628245038453242,True,False,False,8.0,0.024695796823846195,0.060496412217617035,0.045611292123794556,0.0598984956741333,0.04970163479447365,3.2,57,0.5047884805954203,3.2,3.701542854309082,3.701542854309082,1.1567321419715881,0.46269285678863525,1.1567321419715881,True,7.026280081066881,0.45543302616455156,1.1385825654113788,0.46269285678863525,1.1567321419715881,0.18765040419129267,0.5015428543090819,0.018647348508238792,0.037301844544708716,0.5047884805954203,False,False,nan,nan,nan,nan,nan,-0.95270174741745,-2.693798780441284,0.4880520701408386,0.5341358780860901,0.5186647176742554,0.43520599603652954,0.4694806933403015,0.4639226496219635,1.1598066240549088,0.20590804517269135,5.424800872802734,0.2060779631137848
5,0,circle,,0.6,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100,6,6,7,0.6628245038453242,True,False,False,8.0,0.04943569259420456,0.058396417647600174,0.04518556967377663,0.04951117932796478,0.0408971793949604,4.8,85,0.37077892940714674,4.8,5.174072742462158,5.174072742462158,1.077931821346283,0.6467590928077698,1.077931821346283,True,7.312616646658663,0.6563997857310424,1.0939996428850707,0.6467590928077698,1.077931821346283,0.3082086605400429,0.3740727424621584,0.04672757536172867,0.09906053580343721,0.37077892940714674,False,False,nan,nan,nan,nan,nan,0.448136568069458,-2.9096508026123047,2.4300599582493305,0.7052769660949707,0.5306912660598755,0.455351859331131,0.667468249797821,0.6587091088294983,1.0978485147158306,0.23382064700126648,6.890172004699707,0.2717514634132385
6,0,s_curve,,0.2,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705,2,2,3,0.19313717444465053,True,False,False,8.0,0.017890901519260198,0.05141064524650574,0.04002327471971512,0.06594012677669525,0.057021770626306534,1.6,40,0.4596221471686068,1.6,2.060648202896118,2.060648202896118,1.2879051268100739,0.25758102536201477,1.2879051268100739,True,6.290255295524428,0.25436169516655616,1.2718084758327808,0.25758102536201477,1.2879051268100739,0.2140792207829654,0.4606482028961181,0.01253711711615324,0.026346371788531536,0.4596221471686068,False,False,nan,nan,nan,nan,nan,-2.0310885906219482,-0.24255722761154175,0.21675831476320465,0.2713174521923065,0.3029940128326416,0.2431807667016983,0.2650792598724365,0.2584336996078491,1.2921684980392456,0.16881069540977478,4.240818977355957,0.1503765732049942
7,0,s_curve,,0.4,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705,4,4,4,0.19313717444465053,True,False,False,8.0,0.027216612782527353,0.06256312131881714,0.05061977356672287,0.06387868523597717,0.054916154593229294,3.2,78,0.22176512873192666,3.2,3.418494701385498,3.418494701385498,1.0682795941829681,0.42731183767318726,1.0682795941829681,True,7.604929733246585,0.420779693204858,1.051949233012145,0.42731183767318726,1.0682795941829681,0.08116118244930176,0.21849470138549787,0.02451542764902115,0.05849063470959662,0.22176512873192666,False,False,nan,nan,nan,nan,nan,-3.3464159965515137,0.06439316272735596,1.008493010197775,0.4693036377429962,0.5648803114891052,0.3808245062828064,0.43359047174453735,0.4284436106681824,1.071109026670456,0.20660187304019928,5.7298994064331055,0.20414018630981445
8,0,s_curve,,0.6,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705,5,5,6,0.19313717444465053,True,False,False,8.0,0.02616657805116452,0.05726764351129532,0.041381970047950745,0.05396713316440582,0.0463402085006237,4.8,117,0.22305641090698733,4.8,4.581244945526123,4.581244945526123,0.9544260303179424,0.5726556181907654,0.9544260303179424,False,nan,nan,nan,0.5726556181907654,0.9544260303179424,0.2195649424811708,-0.21875505447387678,0.023354556411504745,0.045758523605763914,0.22305641090698733,False,False,nan,nan,nan,nan,nan,-4.4725799560546875,0.24794161319732666,0.2659254709826871,0.5032850503921509,0.566352903842926,0.5513408780097961,0.5780048966407776,0.5724083185195923,0.9540138641993205,0.2259831577539444,6.088178634643555,0.23512163758277893
9,0,right_angle,,0.2,0.28,,interleaved,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500;0.2932;0.1705;0.2100;0.2500,2,2,3,0.6934091747331685,True,False,False,8.0,0.02285846299019506,0.05376477539539337,0.04440857842564583,0.07362576574087143,0.06465131789445877,1.6,32,0.49245147970230785,1.6,2.2387661933898926,2.2387661933898926,1.3992288708686829,0.2798457741737366,1.3992288708686829,True,5.620929054107023,0.2846504527273715,1.4232522636368574,0.2798457741737366,1.3992288708686829,0.333142053989768,0.6387661933898925,0.01782475784420967,0.038918007910251594,0.49245147970230785,False,False,nan,nan,nan,nan,nan,-2.0134925842285156,-0.26745545864105225,0.6114778518676758,0.1655997484922409,0.26098740100860596,0.2527894675731659,0.2937830984592438,0.2845900058746338,1.422950029373169,0.17023244500160217,4.841490268707275,0.16335400938987732
