scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.21,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.014898716117991987,0.04316314309835434,0.041673269122838974,0.04316314309835434,0.041673269122838974,1.6,41,0.37478481299803085,1.6,1.9747587442398071,1.9747587442398071,1.2342242151498795,0.2468448430299759,1.2342242151498795,True,6.471088318527451,0.24725361813082058,1.2362680906541028,0.2468448430299759,1.2342242151498795,0.16032455745786425,0.37475874423980704,0.008299156092107296,0.016814920678734756,0.37478481299803085,False,False,nan,nan,nan,nan,nan,-1.985004186630249,-0.00442051887512207,0.09213829040527344,0.2773074209690094,0.2568451166152954,0.24592933058738708,0.25711414217948914,0.24753808975219727,1.2376904487609863,0.1739940643310547,3.759155511856079,0.13557301461696625
1,0,straight,,0.2,0.25,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.09355559248641568,0.04149811714887619,0.04049452394247055,0.04149811714887619,0.04049452394247055,1.6,41,0.35171066296914316,1.6,1.3742361068725586,1.4823079109191895,0.8588975667953491,0.17177951335906982,0.8588975667953491,False,nan,nan,nan,0.17177951335906982,0.8588975667953491,0.2538155117809772,-0.2257638931274415,0.0856105163693428,0.16030012369155872,0.35171066296914316,False,False,nan,nan,nan,nan,nan,-1.382210612297058,0.269686758518219,0.05672413507570464,0.30144503712654114,0.2181130200624466,0.1617170125246048,0.2705100476741791,0.17221637070178986,0.8610818535089493,0.29049453139305115,6.955119609832764,0.20237049460411072
2,0,straight,,0.4,0.21,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.021765004842012124,0.04276386275887489,0.041273437440395355,0.04276386275887489,0.041273437440395355,3.2,81,0.14042427086096973,3.2,3.3397722244262695,3.3397722244262695,1.0436788201332092,0.4174715280532837,1.0436788201332092,True,7.704632330563035,0.41533454974952094,1.0383363743738023,0.4174715280532837,1.0436788201332092,0.0864036238592862,0.13977222442626935,0.018252316862344742,0.034655852615833274,0.14042427086096973,False,False,nan,nan,nan,nan,nan,-3.3576455116271973,0.013516426086425781,0.37544083595275884,0.47114989161491394,0.4134468734264374,0.4075687527656555,0.42422249913215637,0.41885650157928467,1.0471412539482117,0.17795097827911377,5.226195335388184,0.19383862614631653
3,0,straight,,0.4,0.25,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.02587257202035538,0.04537695273756981,0.042801037430763245,0.04537695273756981,0.042801037430763245,3.2,80,0.08332505289860662,3.2,3.283320426940918,3.283320426940918,1.0260376334190369,0.41041505336761475,1.0260376334190369,True,7.77422979969667,0.41161633788145235,1.0290408447036308,0.41041505336761475,1.0260376334190369,0.25215012112706886,0.08332042694091779,0.023175690323114395,0.0503694549202919,0.08332505289860662,False,False,nan,nan,nan,nan,nan,-3.283320426940918,0.0008777379989624023,0.11071395874023438,0.3712068796157837,0.42649516463279724,0.3998364210128784,0.41600218415260315,0.41140711307525635,1.0285177826881409,0.22581298649311066,4.773157596588135,0.19154582917690277
4,0,straight,,0.6,0.21,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.04106043489656657,0.040110792964696884,0.038571685552597046,0.040110792964696884,0.038571685552597046,4.8,120,0.24414954189296206,4.8,4.556484222412109,4.556484222412109,0.9492675463358562,0.5695605278015137,0.9492675463358562,False,nan,nan,nan,0.5695605278015137,0.9492675463358562,0.12254025096446272,-0.24351577758789045,0.039426203817129135,0.09425552189350128,0.24414954189296206,False,False,nan,nan,nan,nan,nan,-4.556484222412109,-0.017580658197402954,0.1762712001800537,0.5598852634429932,0.5801714658737183,0.5662217140197754,0.5784220695495605,0.5718831419944763,0.9531385699907939,0.18289822340011597,6.057883262634277,0.2354687601327896
5,0,straight,,0.6,0.25,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.043850939416627245,0.033646248281002045,0.031563807278871536,0.033646248281002045,0.031563807278871536,4.8,120,0.0678589377609804,4.8,4.753462791442871,4.753462791442871,0.9903047482172649,0.5941828489303589,0.9903047482172649,False,nan,nan,nan,0.5941828489303589,0.9903047482172649,0.15392591602206232,-0.04653720855712873,0.042398009449243546,0.09144133254885674,0.0678589377609804,False,False,nan,nan,nan,nan,nan,-4.753462791442871,-0.04938790202140808,1.730100218449728,0.5707982778549194,0.58835768699646,0.33810052275657654,0.6077864766120911,0.5990921258926392,0.9984868764877319,0.24443379044532776,6.962100982666016,0.2508573532104492
6,0,circle,,0.2,0.21,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.02620401442893522,0.04134334996342659,0.0391487292945385,0.04134334996342659,0.0391487292945385,1.6,29,0.6628488769945171,1.6,2.2725183963775635,2.2725183963775635,1.4203239977359772,0.28406479954719543,1.4203239977359772,True,5.995859406393857,0.266850820133273,1.3342541006663649,0.28406479954719543,1.4203239977359772,0.2636605161100626,0.6725183963775634,0.020326795056462288,0.041459148935973626,0.6628488769945171,False,False,nan,nan,nan,nan,nan,-1.479897141456604,-1.4232442378997803,0.3804851770401001,0.2609974443912506,0.35181620717048645,0.263797789812088,0.2895173132419586,0.2836343050003052,1.4181715250015259,0.18063831329345703,4.398152828216553,0.1576809585094452
7,0,circle,,0.2,0.25,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.03812538949735127,0.03910412639379501,0.03827175498008728,0.03910412639379501,0.03827175498008728,1.6,29,0.5597417109869763,1.6,2.172440767288208,2.2210967540740967,1.35777547955513,0.271555095911026,1.35777547955513,True,5.750655662722482,0.27822914356908757,1.3911457178454378,0.271555095911026,1.35777547955513,0.32621637043808577,0.5724407672882079,0.034255534410476685,0.07425536029040813,0.5597417109869763,False,False,nan,nan,nan,nan,nan,-1.4219673871994019,-1.3314416408538818,0.7319784164428711,0.024103356525301933,0.1931716501712799,0.2427312731742859,0.30932560563087463,0.27561527490615845,1.3780763745307922,0.28827178478240967,4.542045593261719,0.15215007960796356
8,0,circle,,0.4,0.21,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.0259147817554725,0.03911908343434334,0.03705067187547684,0.03911908343434334,0.03705067187547684,3.2,57,0.49484465000743455,3.2,3.693094253540039,3.693094253540039,1.1540919542312622,0.4616367816925049,1.1540919542312622,True,7.082729828769406,0.4518031998060819,1.1295079995152046,0.4616367816925049,1.1540919542312622,0.1830744866060604,0.4930942535400389,0.020187314599752426,0.039569250494241696,0.49484465000743455,False,False,nan,nan,nan,nan,nan,-0.9546841382980347,-2.682602882385254,0.6450687348842621,0.403266966342926,0.5435068607330322,0.44717130064964294,0.4706307351589203,0.4634380340576172,1.158595085144043,0.18206828832626343,5.465644836425781,0.2093968242406845
9,0,circle,,0.4,0.25,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.0716511617466774,0.04145988076925278,0.03998062014579773,0.04145988076925278,0.03998062014579773,3.2,57,0.5406311633988446,3.2,3.7514171600341797,3.7514171600341797,1.1723178625106812,0.46892714500427246,1.1723178625106812,True,6.696280168858266,0.4778772571198449,1.1946931427996121,0.46892714500427246,1.1723178625106812,0.387666190107474,0.5514171600341795,0.06977162510156631,0.12100931107997893,0.5406311633988446,False,False,nan,nan,nan,nan,nan,-0.8673956394195557,-2.6624672412872314,2.2296025196658538,0.4623253345489502,0.42350587248802185,0.0896747037768364,0.4868825674057007,0.47441184520721436,1.1860296130180359,0.2323080450296402,6.769162654876709,0.22360862791538239
10,0,circle,,0.6,0.21,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.07255538035458191,0.035732243210077286,0.03333418071269989,0.035732243210077286,0.03333418071269989,4.8,85,0.28423833552663574,4.8,5.083009719848633,5.083009719848633,1.0589603583017986,0.6353762149810791,1.0589603583017986,True,7.4920642759647595,0.6406778990669965,1.0677964984449941,0.6353762149810791,1.0589603583017986,0.19883128640091283,0.283009719848633,0.07074185460805893,0.17153269052505493,0.28423833552663574,False,False,nan,nan,nan,nan,nan,0.3508213758468628,-2.8893258571624756,2.0326165445148945,0.4063780903816223,0.6327105164527893,0.33003929257392883,0.6615137457847595,0.6533148288726807,1.0888580481211345,0.18987391889095306,7.903512477874756,0.2815351188182831
11,0,circle,,0.6,0.25,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.11816781620102278,0.02954614907503128,0.025847645476460457,0.02954614907503128,0.025847645476460457,4.8,85,1.2863297134727587,4.8,6.102668285369873,6.102668285369873,1.2713892261187236,0.7628335356712341,1.2713892261187236,True,6.334703433122768,0.7577308157635064,1.2628846929391775,0.7628335356712341,1.2713892261187236,0.6830276881048806,1.3026682853698732,0.11708074063062668,0.2523781612515449,1.2863297134727587,False,False,nan,nan,nan,nan,nan,1.2440426349639893,-2.4334030151367188,3.1288507136153147,0.749131441116333,0.8098857998847961,0.06445638835430145,0.8132740259170532,0.7983682751655579,1.3306137919425964,0.26223573088645935,6.445382595062256,0.28888845443725586
12,0,s_curve,,0.2,0.21,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.017452834742929656,0.04242711886763573,0.040145907551050186,0.04242711886763573,0.040145907551050186,1.6,40,0.3458357997882394,1.6,1.945886492729187,1.945886492729187,1.2161790579557419,0.24323581159114838,1.2161790579557419,True,6.724022613312359,0.23795279879521627,1.1897639939760813,0.24323581159114838,1.2161790579557419,0.1437527804706245,0.3458864927291869,0.01226034015417099,0.02792410217225548,0.3458357997882394,False,False,nan,nan,nan,nan,nan,-1.923704981803894,-0.27327626943588257,0.12140518823732573,0.26133492588996887,0.2808872163295746,0.23258203268051147,0.2482801079750061,0.244161456823349,1.220807284116745,0.18020091950893402,4.08747673034668,0.13940520584583282
13,0,s_curve,,0.2,0.25,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.021346421169565106,0.04341797158122063,0.042732782661914825,0.04341797158122063,0.042732782661914825,1.6,39,0.11884875522270254,1.6,1.7180191278457642,1.7327061891555786,1.0737619549036026,0.21475239098072052,1.0737619549036026,True,6.328371224105462,0.25282966869981083,1.2641483434990541,0.21475239098072052,1.0737619549036026,0.21598622928452849,0.11801912784576407,0.01798848994076252,0.032566459476947786,0.11884875522270254,False,False,nan,nan,nan,nan,nan,-1.6822450160980225,-0.3070482611656189,0.8000860849963589,0.15922251343727112,0.1421467363834381,0.18909908831119537,0.2325918823480606,0.21691490709781647,1.0845745354890823,0.2927328050136566,3.920917510986328,0.12205155193805695
14,0,s_curve,,0.4,0.21,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.01980009061342354,0.041053466498851776,0.039395660161972046,0.041053466498851776,0.039395660161972046,3.2,78,0.1320527270591652,3.2,3.331439733505249,3.331439733505249,1.0410749167203903,0.41642996668815613,1.0410749167203903,True,7.718558974224232,0.41458515905446225,1.0364628976361556,0.41642996668815613,1.0410749167203903,0.13100805946276992,0.13143973350524885,0.015147718600928783,0.030897276382893305,0.1320527270591652,False,False,nan,nan,nan,nan,nan,-3.2532169818878174,0.06493604183197021,0.28298187255859375,0.45290449261665344,0.4355941116809845,0.4018402099609375,0.42605796456336975,0.41765058040618896,1.0441264510154724,0.1787566989660263,5.501637935638428,0.19406549632549286
15,0,s_curve,,0.4,0.25,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.020180190770853562,0.04978695139288902,0.045728567987680435,0.04978695139288902,0.045728567987680435,3.2,78,0.3246397732200852,3.2,3.5242316722869873,3.5242316722869873,1.1013223975896835,0.4405289590358734,1.1013223975896835,True,7.1565591424346975,0.4471422559796444,1.1178556399491109,0.4405289590358734,1.1013223975896835,0.2889519169882555,0.3242316722869871,0.016344856470823288,0.03080632230266926,0.3246397732200852,False,False,nan,nan,nan,nan,nan,-3.4287784099578857,0.1427498459815979,0.23937416076660156,0.4391726553440094,0.3859357535839081,0.43408364057540894,0.44534942507743835,0.44221222400665283,1.105530560016632,0.22680582106113434,5.229944705963135,0.19116933643817902
16,0,s_curve,,0.6,0.21,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.029232050357957555,0.040618907660245895,0.038922958076000214,0.040618907660245895,0.038922958076000214,4.8,118,0.20511923238253563,4.8,4.594779014587402,4.594779014587402,0.9572456280390422,0.5743473768234253,0.9572456280390422,False,nan,nan,nan,0.5743473768234253,0.9572456280390422,0.1657066701948642,-0.20522098541259748,0.026388391852378845,0.05599760971963405,0.20511923238253563,False,False,nan,nan,nan,nan,nan,-4.497857093811035,0.2982064485549927,0.11410903930664062,0.6338750123977661,0.5957441926002502,0.5608934164047241,0.5827673077583313,0.576404869556427,0.960674782594045,0.18437667191028595,6.3500237464904785,0.2355143129825592
17,0,s_curve,,0.6,0.25,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.10414298804692602,0.031236564740538597,0.02827439270913601,0.031236564740538597,0.02827439270913601,4.8,117,1.0078540391092965,4.8,5.810741901397705,5.810741901397705,1.2105712294578552,0.7263427376747131,1.2105712294578552,True,6.3559089187056035,0.7552027666528506,1.258671277754751,0.7263427376747131,1.2105712294578552,0.7044468149738293,1.0107419013977053,0.10335691273212433,0.2123822942376136,1.0078540391092965,False,False,nan,nan,nan,nan,nan,-5.685231685638428,0.089150071144104,2.145846788083212,0.7515493631362915,0.7392371296882629,0.4330207407474518,0.7722554206848145,0.7321462035179138,1.2202436725298564,0.2627953290939331,7.110946178436279,0.2916189134120941
