scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.1,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.02907464544433149,0.017711564898490906,0.007134824991226196,0.017711564898490906,0.007134824991226196,0.8,21,0.08718819523807445,0.8,0.7170089483261108,0.7259722948074341,0.8962611854076385,0.08962611854076385,0.8962611854076385,False,nan,nan,nan,0.08962611854076385,0.8962611854076385,0.06961021370828152,-0.0829910516738892,0.02628321573138237,0.050167223811149596,0.08718819523807445,False,False,nan,nan,nan,nan,nan,-0.7272543907165527,-0.026725828647613525,0.19770216941833496,0.029181761667132378,0.046670328825712204,0.08657301962375641,0.11846166849136353,0.08983051031827927,0.8983051031827927,0.16961726546287537,2.977487564086914,0.11125710606575012
1,0,straight,,0.2,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.033978798318439744,0.017695549875497818,0.007785544265061617,0.017695549875497818,0.007785544265061617,1.6,41,0.11573176615549459,1.6,1.4860355854034424,1.4875006675720215,0.9287722408771515,0.1857544481754303,0.9287722408771515,False,nan,nan,nan,0.1857544481754303,0.9287722408771515,0.14178540041297671,-0.1139644145965577,0.0313737653195858,0.05005553178489206,0.11573176615549459,False,False,nan,nan,nan,nan,nan,-1.4940102100372314,-0.020148783922195435,0.4093203544616699,0.034523408859968185,0.08238186687231064,0.1683880090713501,0.20659585297107697,0.18626335263252258,0.9313167631626129,0.16902710497379303,4.281209468841553,0.143937349319458
2,0,straight,,0.4,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,8.0,0.02080810685231173,0.019806472584605217,0.007524453569203615,0.019806472584605217,0.007524453569203615,3.2,81,0.4275635371521254,3.2,3.627556562423706,3.627556562423706,1.1336114257574081,0.45344457030296326,1.1336114257574081,True,7.194940206926653,0.44475699699621174,1.1118924924905293,0.45344457030296326,1.1336114257574081,0.17323280470162622,0.4275565624237059,0.016813063994050026,0.03284683078527449,0.4275635371521254,False,False,nan,nan,nan,nan,nan,-3.645429849624634,-0.0024424493312835693,0.09236532846559722,0.5336219072341919,0.5261275768280029,0.4487058222293854,0.4607465863227844,0.4547184109687805,1.1367960274219513,0.17594431340694427,5.527005195617676,0.20757432281970978
3,0,circle,,0.1,0.1705,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.019466160059117724,0.01907014474272728,0.009552924893796444,0.01907014474272728,0.009552924893796444,0.8,15,0.024431966870183463,0.8,0.7782395482063293,0.7782395482063293,0.9727994352579117,0.09727994352579117,0.9727994352579117,False,nan,nan,nan,0.09727994352579117,0.9727994352579117,0.06192676913260308,-0.0217604517936707,0.011986814439296722,0.02114297840744255,0.024431966870183463,False,False,nan,nan,nan,nan,nan,-0.7490633130073547,-0.1880890130996704,0.34053611755371094,0.09752708673477173,0.14971961081027985,0.09657564014196396,0.12001476436853409,0.09702350944280624,0.9702350944280624,0.16902805864810944,3.1391079425811768,0.11675295978784561
4,0,circle,,0.2,0.1705,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.02360730870171562,0.020960964262485504,0.010294061154127121,0.020960964262485504,0.010294061154127121,1.6,29,0.1878292643635918,1.6,1.4123250246047974,1.4266114234924316,0.8827031403779984,0.17654062807559967,0.8827031403779984,False,nan,nan,nan,0.17654062807559967,0.8827031403779984,0.18986561102428787,-0.18767497539520273,0.018289176747202873,0.030320512503385542,0.1878292643635918,False,False,nan,nan,nan,nan,nan,-1.2153229713439941,-0.6153395771980286,0.8607287406921386,0.012759681791067123,0.0926339328289032,0.16338537633419037,0.2081199437379837,0.17915067076683044,0.8957533538341522,0.16995447874069214,4.1185526847839355,0.1417546421289444
5,0,circle,,0.4,0.1705,,constant,nan,,0,0,0,0.6628245038453242,True,False,False,8.0,0.04562853305738892,0.019566873088479042,0.008828910999000072,0.019566873088479042,0.008828910999000072,3.2,57,0.32685185208187634,3.2,2.8852412700653076,2.8852412700653076,0.9016378968954086,0.36065515875816345,0.9016378968954086,False,nan,nan,nan,0.36065515875816345,0.9016378968954086,0.1723333619151382,-0.31475872993469256,0.04269587621092796,0.0769169207662344,0.32685185208187634,False,False,nan,nan,nan,nan,nan,-1.464611291885376,-2.0385141372680664,2.0346072912216187,0.23187381029129028,0.2528039515018463,0.25950661301612854,0.37648260593414307,0.37063416838645935,0.9265854209661484,0.17280183732509613,7.21727991104126,0.21390315890312195
6,0,s_curve,,0.1,0.1705,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.01914939809343167,0.019558949396014214,0.008214141242206097,0.019558949396014214,0.008214141242206097,0.8,20,0.18527707660160253,0.8,0.6147065758705139,0.6147065758705139,0.7683832198381424,0.07683832198381424,0.7683832198381424,False,nan,nan,nan,0.07683832198381424,0.7683832198381424,0.16890539103676566,-0.18529342412948613,0.013612725771963596,0.025011022016406058,0.18527707660160253,False,False,nan,nan,nan,nan,nan,-0.600598156452179,-0.17622211575508118,0.12531471252441406,0.10584498196840286,0.18630918860435486,0.07635916769504547,0.10936155170202255,0.076753169298172,0.76753169298172,0.1717456877231598,2.8922760486602783,0.11202005296945572
7,0,s_curve,,0.2,0.1705,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.01907497603610596,0.017777450382709503,0.007955517619848251,0.017777450382709503,0.007955517619848251,1.6,40,0.5207115181864879,1.6,2.1207332611083984,2.1207332611083984,1.325458288192749,0.2650916576385498,1.325458288192749,True,6.43574447257384,0.24861148649056197,1.2430574324528099,0.2650916576385498,1.325458288192749,0.18883241301944012,0.5207332611083983,0.015094537287950516,0.025676878076046697,0.5207115181864879,False,False,nan,nan,nan,nan,nan,-2.0869903564453125,-0.25187990069389343,0.0016291141510009766,0.40259048342704773,0.3460216522216797,0.26409971714019775,0.2714035212993622,0.2653067409992218,1.326533704996109,0.16968804597854614,4.068748474121094,0.15505051612854004
8,0,s_curve,,0.4,0.1705,,constant,nan,,0,0,0,0.19313717444465053,True,False,False,8.0,0.020380483114650776,0.01892104186117649,0.0076457844115793705,0.01892104186117649,0.0076457844115793705,3.2,78,0.10273034256291079,3.2,3.298415422439575,3.298415422439575,1.0307548195123672,0.4123019278049469,1.0307548195123672,True,7.78063590019987,0.41127743812273726,1.028193595306843,0.4123019278049469,1.0307548195123672,0.24539516638336942,0.09841542243957502,0.016656551510095596,0.031808014959096895,0.10273034256291079,False,False,nan,nan,nan,nan,nan,-3.224212646484375,0.03856927156448364,0.15662169456481934,0.45394256711006165,0.5422691702842712,0.39030560851097107,0.42203184962272644,0.4139133393764496,1.034783348441124,0.1744769662618637,6.180308818817139,0.21039272844791412
9,0,right_angle,,0.1,0.1705,,constant,nan,,0,0,0,0.6934091747331685,True,False,False,8.0,0.026570438087499353,0.018947608768939972,0.009749285876750946,0.018947608768939972,0.009749285876750946,0.8,16,0.35783015758458486,0.8,1.1577037572860718,1.1609301567077637,1.4471296966075897,0.14471296966075897,1.4471296966075897,True,3.917227531855543,0.20422607405218807,2.0422607405218804,0.14471296966075897,1.4471296966075897,0.32908881586194033,0.35770375728607173,0.02282049134373665,0.033349908888339996,0.35783015758458486,False,False,nan,nan,nan,nan,nan,-1.1577037572860718,-0.009510248899459839,0.21401596069335938,0.0059047178365290165,0.04347902163863182,0.14325585961341858,0.16346514225006104,0.14634791016578674,1.4634791016578674,0.1681663691997528,3.535773992538452,0.12524087727069855
