scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.75,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,2.68,0.08659070285428846,0.027300842106342316,0.021207429468631744,0.06855629980564115,0.9172932330827067,0.027300842106342316,0.021207429468631744,9.989761233329773,249,7.832269827270866,9.989754557609873,2.15777587890625,2.15777587890625,0.21599888830727337,0.1078887939453125,0.14385172526041667,False,nan,nan,nan,0.8111939394384398,1.081591919251253,0.19367133083200097,-7.8319786787036225,0.08562673628330231,0.13784732222557067,7.832269827270866,True,False,nan,nan,nan,nan,nan,-2.1680212020874023,0.06751769781112671,0.9005356470691128,0.233028382062912,0.856550395488739,0.716127336025238,0.8398704528808594,0.8151463866233826,1.0868618488311768,0.2888064384460449,16.244068145751953,0.30423179268836975
1,1,straight,,0.75,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,2.0,0.024305633697074964,0.024363987147808075,0.019443955272436142,0.033113880455493856,0.9393939393939394,0.024363987147808075,0.019443955272436142,9.99203211069107,249,8.158406407555976,9.99202543497117,1.8337101936340332,1.8337101936340332,0.1835173664806953,0.09168550968170167,0.12224734624226889,False,nan,nan,nan,0.9261162594111279,1.2348216792148372,0.19058560604398905,-8.158315241337137,0.019883114844560623,0.03115987181663513,8.158406407555976,True,False,nan,nan,nan,nan,nan,-1.8416846990585327,0.0385550856590271,0.37766510645021634,1.3142274618148804,1.3326225280761719,0.9365905523300171,0.9476745128631592,0.931402325630188,1.2418697675069172,0.2909776270389557,8.576123237609863,0.3375222384929657
2,2,straight,,0.75,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,3.72,0.10332629693755202,0.01863495260477066,0.01607096567749977,0.025150573253631587,0.9783783783783784,0.01863495260477066,0.01607096567749977,9.982133388519287,249,6.12213197819348,9.982126712799387,3.8688995838165283,3.8688995838165283,0.3875826960657299,0.19344497919082643,0.2579266389211019,False,nan,nan,nan,1.0456485361666292,1.3941980482221723,0.497482040518039,-6.113227128982858,0.1025804653763771,0.2302075326442717,6.12213197819348,True,False,nan,nan,nan,nan,nan,-3.886772871017456,0.3300809860229492,1.3853618542300625,1.2861818075180054,1.1004945039749146,1.0288925170898438,1.071374535560608,1.05044686794281,1.4005958239237468,0.291551798582077,8.511820793151855,0.3715818226337433
3,0,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,3.2800000000000002,0.14928653197435574,0.018660161644220352,0.014180783182382584,0.02857594788074494,0.9631901840490797,0.018660161644220352,0.014180783182382584,10.000006675720215,249,6.188135001164325,10.000000000000314,3.815722703933716,3.815722703933716,0.38157227039335956,0.1907861351966858,0.1907861351966858,False,nan,nan,nan,1.1704670870962317,1.1704670870962317,0.32053233817311155,-6.184277296066599,0.14885351061820984,0.2547134578227997,6.188135001164325,True,False,nan,nan,nan,nan,nan,-3.815722703933716,0.21846908330917358,0.08772188821901519,0.6227618455886841,1.2499723434448242,1.1295323371887207,1.1856913566589355,1.1734216213226318,1.1734216213226318,0.2871116101741791,11.175100326538086,0.42993032932281494
4,1,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,2.56,0.07898609071484088,0.01809617504477501,0.014670674689114094,0.023974984884262078,0.9606299212598425,0.01809617504477501,0.014670674689114094,10.000006675720215,249,7.0270065879257,10.000000000000314,2.9740192890167236,2.9740192890167236,0.297401928901663,0.1487009644508362,0.1487009644508362,False,nan,nan,nan,1.1708737358333559,1.1708737358333559,0.24625812653481488,-7.025980710983591,0.07815587520599365,0.15122510790824886,7.0270065879257,True,False,nan,nan,nan,nan,nan,-2.9740192890167236,0.12006843090057373,0.7630134264575406,1.2678622007369995,1.372637152671814,1.1363344192504883,1.1878901720046997,1.1783162355422974,1.1783162355422974,0.28818562626838684,8.494379997253418,0.40576502680778503
5,2,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,4.38,0.07398658434561395,0.02049444615840912,0.016314581036567688,0.02626686245203018,0.963302752293578,0.02049444615840912,0.016314581036567688,10.000006675720215,249,4.510177759023604,10.000000000000314,5.490063667297363,5.490170001983643,0.549006366729719,0.2745031833648682,0.2745031833648682,False,nan,nan,nan,1.2591889145177437,1.2591889145177437,0.6101439302448831,-4.509936332702951,0.0730992928147316,0.12676528245210647,4.510177759023604,True,False,nan,nan,nan,nan,nan,-5.490063667297363,0.04666489362716675,0.9052584807025357,0.4731266498565674,1.1308202743530273,1.1706618070602417,1.2752926349639893,1.265404224395752,1.265404224395752,0.29084524512290955,11.142094612121582,0.38254687190055847
6,0,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,2.3000000000000003,0.06746849476196508,0.017614977434277534,0.013153795152902603,0.029133802652359007,0.956140350877193,0.017614977434277534,0.013153795152902603,9.994312763214111,249,7.128271932813928,9.994306087494211,2.866056203842163,2.866056203842163,0.2867689040891428,0.14330281019210817,0.11941900849342348,False,nan,nan,nan,1.2570421946676154,1.047535162223013,0.21796738749010516,-7.128249883652048,0.06600268185138702,0.10839098691940308,7.128271932813928,True,False,nan,nan,nan,nan,nan,-2.8717501163482666,-0.017730623483657837,0.12830758094787598,1.3560285568237305,1.5065977573394775,1.2467080354690552,1.2744187116622925,1.2630935907363892,1.0525779922803244,0.27977854013442993,9.851869583129883,0.5077078938484192
7,1,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,1.94,0.15121875520938455,0.02259812131524086,0.015598089434206486,0.05172450467944145,0.90625,0.02259812131524086,0.015598089434206486,9.992939114570618,249,7.564712627332051,9.992932438850717,2.4349541664123535,2.4349541664123535,0.24366763022890972,0.12174770832061768,0.10145642360051474,False,nan,nan,nan,1.2682052950064342,1.0568377458386953,0.23753902260462442,-7.557978272438364,0.15078647434711456,0.27170541882514954,7.564712627332051,True,False,nan,nan,nan,nan,nan,-2.4420218467712402,0.31912821531295776,1.1919879356967373,1.533158302307129,1.7148720026016235,1.206753134727478,1.2935067415237427,1.2792688608169556,1.0660573840141296,0.2795856297016144,8.649107933044434,0.5138224959373474
8,2,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,4.38,0.1080298242892387,0.01959197223186493,0.014045044779777527,0.02918539047241209,0.9541284403669725,0.01959197223186493,0.014045044779777527,9.999976992607117,249,3.480925167820313,9.999970316887216,6.528663635253906,6.528663635253906,0.6528683014417331,0.3264331817626953,0.2720276514689128,False,nan,nan,nan,1.497399916342639,1.2478332636188658,0.5130386423189706,-3.47130668163331,0.10742658376693726,0.23293686956167217,3.480925167820313,True,False,nan,nan,nan,nan,nan,-6.528693199157715,-0.25859150290489197,0.6813182830810547,1.8684161901474,1.7688822746276855,1.4656951427459717,1.5074360370635986,1.5031850337982178,1.2526541948318481,0.27737414836883545,8.262288093566895,0.5548783540725708
9,0,straight,,1.5,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,1.6600000000000001,0.1294036154750237,0.02302408032119274,0.01953260600566864,0.0448640286922455,0.8170731707317073,0.02302408032119274,0.01953260600566864,10.000006675720215,249,8.074406789717182,10.000000000000314,1.928116798400879,1.928116798400879,0.19281167984008182,0.09640583992004395,0.06427055994669596,False,nan,nan,nan,1.1756809746346821,0.7837873164231214,0.49517724458764245,-8.071883201599436,0.12890507280826569,0.21384045258164405,8.074406789717182,True,False,nan,nan,nan,nan,nan,-1.928116798400879,-0.20185869932174683,0.8688673973083496,1.5795146226882935,1.5871120691299438,1.1560227870941162,1.223489761352539,1.193897008895874,0.795931339263916,0.27357763051986694,10.593505859375,0.5836432576179504
