scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,20.0,0.043562945155622534,0.051606547087430954,0.03460768237709999,0.11140533536672592,0.628,0.08061307668685913,0.06459053605794907,8.0,200,2.007843034568404,8.0,9.989754676818848,9.989754676818848,1.248719334602356,0.49948773384094236,1.2487193346023557,True,12.670353905912819,0.6313951496072003,1.5784878740180008,0.49948773384094236,1.2487193346023557,2.0233356646990774,1.9897546768188477,0.04200242832303047,0.08975362628698347,2.007843034568404,False,False,nan,nan,nan,nan,nan,-10.018072128295898,0.008101820945739746,2.9853131771087646,0.06198462098836899,0.03400803357362747,-0.012505782768130302,0.5111806988716125,0.5016061663627625,1.2540154159069061,0.22248098254203796,7.694272041320801,0.25429680943489075
1,1,straight,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,20.0,0.03504836365425806,0.05334145575761795,0.036336030811071396,0.1197337359189987,0.61,0.0797838643193245,0.06329268962144852,8.0,200,2.0039444015783485,8.0,9.992025375366211,9.992025375366211,1.2490031719207764,0.49960126876831057,1.2490031719207764,True,12.53815264493461,0.6380525286739099,1.5951313216847747,0.49960126876831057,1.2490031719207764,1.9778911285012957,1.992025375366211,0.03329887613654137,0.06889298856258383,2.0039444015783485,False,False,nan,nan,nan,nan,nan,-10.011889457702637,0.010874390602111816,3.1378230757648216,0.027246804907917976,0.013330216519534588,0.29723209142684937,0.510380744934082,0.5017970204353333,1.2544925510883331,0.2211485356092453,6.553983211517334,0.23926997184753418
2,0,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,6,6,6,2.143417663003602e-06,False,True,False,6.94,0.0505095188841041,0.07515696436166763,0.05998845025897026,0.11694040149450302,0.4595375722543353,0.0816325843334198,0.06875068694353104,9.982133388519287,249,4.898031405372684,9.982126712799387,5.085257053375244,5.085257053375244,0.509436235352009,0.2542628526687622,0.4237714211146037,False,nan,nan,nan,0.734863736036885,1.2247728933948085,0.38478937247378286,-4.8968696594241425,0.04908798635005951,0.09780356287956238,4.898031405372684,True,False,nan,nan,nan,nan,nan,-5.103130340576172,-0.10667413473129272,1.6226153373718262,0.28370872139930725,0.7700996398925781,0.5101343989372253,0.7408382892608643,0.7369399070739746,1.2282331784566245,0.19483961164951324,8.997364044189453,0.3301306664943695
3,1,straight,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,2.143417663003602e-06,True,False,False,20.0,0.04628294619222258,0.060693979263305664,0.042050134390592575,0.1168462298810482,0.633,0.0683327317237854,0.04990929365158081,10.000006675720215,249,0.006699754388900707,10.000000000000314,9.99441909790039,10.0,0.9994419097900077,0.49972095489501955,0.832868258158366,True,15.42,0.6485084306096183,1.0808473843493638,0.49972095489501955,0.832868258158366,0.8329393619717884,-0.00558090209992379,0.04496292769908905,0.11102191060781473,0.006699754388900707,True,False,13.66,0.11999196668972859,2.040928363800049,0.004323422908782959,0.1320644216691299,-9.99441909790039,0.003705918788909912,3.0722804332720206,0.007814796641469002,0.008881742134690285,0.21446581184864044,0.5136627554893494,0.5011076331138611,0.8351793885231018,0.22709399461746216,7.108114719390869,0.26198330521583557
4,0,circle,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,16,16,16,0.6628245038453242,True,False,False,20.0,0.05162039865072122,0.06202412769198418,0.04698590189218521,0.12044928073883054,0.434,0.09006287157535553,0.08048606663942337,8.0,141,2.9993623764683104,8.0,12.848164558410645,12.848164558410645,1.6060205698013306,0.6424082279205322,1.6060205698013303,True,12.59297024748855,0.6352750655942717,1.5881876639856791,0.6424082279205322,1.6060205698013303,2.252418772335927,4.8481645584106445,0.048959869891405106,0.10719736665487288,2.9993623764683104,False,False,nan,nan,nan,nan,nan,-1.1375188827514648,-2.481663703918457,0.5580868721008301,0.8473529815673828,0.7004574537277222,0.2554485499858856,0.6527279019355774,0.6409474611282349,1.6023686528205872,0.20250172913074493,6.809572696685791,0.271064817905426
5,1,circle,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,15,15,16,0.6628245038453242,True,False,False,20.0,0.0662082632889985,0.05999085679650307,0.04575749859213829,0.11790135279297828,0.45,0.0901210606098175,0.08128251880407333,8.0,141,2.94992992860689,8.0,12.768868446350098,12.768868446350098,1.5961085557937622,0.6384434223175048,1.596108555793762,True,12.93708047690015,0.6183775399932333,1.545943849983083,0.6384434223175048,1.596108555793762,2.193371174282329,4.768868446350098,0.06415373086929321,0.15909022241830825,2.94992992860689,False,False,nan,nan,nan,nan,nan,-1.1462502479553223,-2.3889474868774414,0.8457436561584473,0.5648717880249023,0.6457589864730835,0.14863282442092896,0.6477800607681274,0.632185697555542,1.580464243888855,0.2043021321296692,7.367959022521973,0.2789221704006195
6,0,circle,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,17,17,16,0.6628245038453242,True,False,False,20.0,0.05679493999061011,0.06404759734869003,0.05309571698307991,0.105427934974432,0.359,0.06334822624921799,0.052247367799282074,12.0,212,1.9528076078305292,12.0,14.13025951385498,14.13025951385498,1.1775216261545818,0.7065129756927491,1.1775216261545818,True,14.807669708713588,0.8103908471795929,1.3506514119659883,0.7065129756927491,1.1775216261545818,1.7722129435569423,2.1302595138549805,0.05462537333369255,0.10878283083438872,1.9528076078305292,False,False,nan,nan,nan,nan,nan,0.00906825065612793,-2.985024929046631,1.1086090803146362,0.060131341218948364,0.05224267393350601,-0.15971830487251282,0.6936699151992798,0.6869383454322815,1.144897242387136,0.1961774230003357,7.557199954986572,0.3119542598724365
7,1,circle,,0.6,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,17,17,16,0.6628245038453242,True,False,False,20.0,0.06732958170932261,0.06305419653654099,0.05118013173341751,0.10680145546793937,0.398,0.06374378502368927,0.05177776515483856,12.0,212,1.95053353035029,12.0,14.129380226135254,14.129380226135254,1.1774483521779378,0.7064690113067627,1.1774483521779378,True,14.36680602006689,0.8352587195260348,1.3920978658767247,0.7064690113067627,1.1774483521779378,1.9706419351352342,2.129380226135254,0.06552961468696594,0.14991833344101893,1.95053353035029,False,False,nan,nan,nan,nan,nan,0.0018336176872253418,-2.9910616874694824,1.1610974073410034,0.002724197693169117,0.014652925543487072,-0.2203029841184616,0.694352388381958,0.6842259764671326,1.140376627445221,0.19519314169883728,7.089616775512695,0.2994394302368164
8,0,s_curve,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,0.19313717444465053,True,False,False,20.0,0.03627709414103211,0.050411246716976166,0.03332136198878288,0.1148593835532665,0.621,0.080934077501297,0.06447254866361618,8.0,195,2.25800235790993,8.0,10.252309799194336,10.252309799194336,1.281538724899292,0.5126154899597168,1.281538724899292,True,12.441009914077991,0.6430346133674698,1.6075865334186745,0.5126154899597168,1.281538724899292,1.9860215352247783,2.252309799194336,0.034547340124845505,0.08355543464422224,2.25800235790993,False,False,nan,nan,nan,nan,nan,-10.010550498962402,0.25497913360595703,3.078465659414427,0.01917530968785286,0.02147715725004673,0.13587139546871185,0.5237969160079956,0.5151212811470032,1.287803202867508,0.22644612193107605,6.826568603515625,0.24784409999847412
9,1,s_curve,,0.4,0.23184999078512192,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,12,12,11,0.19313717444465053,True,False,False,20.0,0.0453727242361565,0.05087629705667496,0.03407891094684601,0.11535175964236258,0.616,0.0823250338435173,0.06649673730134964,8.0,195,2.2538655729124932,8.0,10.252309799194336,10.252309799194336,1.281538724899292,0.5126154899597168,1.281538724899292,True,12.780504907869814,0.625953360815492,1.5648834020387299,0.5126154899597168,1.281538724899292,1.9790332442019587,2.252309799194336,0.04375232383608818,0.0888737853616476,2.2538655729124932,False,False,nan,nan,nan,nan,nan,-9.997987747192383,0.28766924142837524,3.059161771331923,0.013016185723245144,0.012369675561785698,0.10050729662179947,0.5289190411567688,0.5154087543487549,1.2885218858718872,0.22480066120624542,6.634129047393799,0.2472115159034729
