scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,1,2.143417663003602e-06,False,False,True,2.56,0.12432966765715203,0.02821747399866581,0.01720246858894825,0.07352724373340602,0.8503937007874016,0.11890172958374023,0.11571592092514038,8.0,200,7.719152698467721,8.0,0.2888461947441101,0.2888461947441101,0.03610577434301376,0.014442309737205505,0.03610577434301376,False,nan,nan,nan,0.11371897430870477,0.2842974357717619,0.4703862171633037,-7.71115380525589,0.11894417554140091,0.2553715884685515,7.719152698467721,False,False,nan,nan,nan,nan,nan,-0.299091637134552,0.3513187766075134,0.8601582686053677,1.0053651332855225,0.5709178447723389,0.17135034501552582,0.30699455738067627,0.11687090992927551,0.2921772748231888,0.2862158417701721,16.833457946777344,0.31213632225990295
1,1,straight,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,1,2.143417663003602e-06,False,False,True,1.52,0.09616929395049079,0.007539014797657728,0.006119222845882177,0.015399059653282162,1.0,0.12367632985115051,0.12344858795404434,8.0,200,7.803222249285812,8.0,0.20078569650650024,0.20078569650650024,0.02509821206331253,0.010039284825325012,0.02509821206331253,False,nan,nan,nan,0.1338571310043335,0.33464282751083374,0.2616275275150935,-7.7992143034935,0.09139971435070038,0.2064436316490173,7.803222249285812,False,False,nan,nan,nan,nan,nan,-0.20876026153564453,-0.25006812810897827,0.11463260650634766,0.6021149754524231,0.33140820264816284,0.09927815943956375,0.23974443972110748,0.13561736047267914,0.33904340118169785,0.29394859075546265,18.082263946533203,0.28035491704940796
2,0,straight,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,2.143417663003602e-06,False,False,True,2.38,0.15955876750778528,0.03717868775129318,0.021216729655861855,0.11394956931471824,0.8389830508474576,0.11406787484884262,0.1092427670955658,9.982133388519287,249,9.707998945878016,9.982126712799387,0.2808232307434082,0.30594027042388916,0.028132605287741752,0.01404116153717041,0.02340193589528402,False,nan,nan,nan,0.1189928943828001,0.19832149063800017,0.6260538988608422,-9.701303482055978,0.1589641124010086,0.3182764470577239,9.707998945878016,True,False,nan,nan,nan,nan,nan,-0.29869651794433594,0.3604908585548401,0.16163182258605957,0.45840105414390564,0.39553871750831604,0.09356124699115753,0.2710641026496887,0.11783050745725632,0.1963841790954272,0.27923884987831116,19.690217971801758,0.3381071090698242
3,1,straight,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,0,3,2.143417663003602e-06,False,False,True,3.7600000000000002,0.10655362777367695,0.01097899954766035,0.008472524583339691,0.022914475202560416,0.983957219251337,0.12683333456516266,0.12641175091266632,10.000006675720215,249,10.075873058952928,10.000000000000314,0.0,0.15535393357276917,0.0,0.0,0.0,False,nan,nan,nan,0.0,0.0,1.0924834767369664,-10.000000000000314,0.06762482225894928,0.11412544623017311,10.075873058952928,True,False,nan,nan,nan,nan,nan,0.07337886095046997,0.22417813539505005,0.9619224707232877,0.8875249028205872,0.411553293466568,0.04574662819504738,0.290805459022522,-0.01963420771062374,-0.03272367951770624,0.29691174626350403,13.215200424194336,0.26166287064552307
4,0,circle,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,1,0,1,0.6628245038453242,False,False,True,1.36,0.06392926016218607,0.010435153730213642,0.008381273597478867,0.019214233756065367,1.0,0.12228979915380478,0.1218467578291893,8.0,141,1.5300554217301583,8.0,0.07057920843362808,0.07057920843362808,0.00882240105420351,0.003528960421681404,0.00882240105420351,False,nan,nan,nan,0.0526710510698717,0.13167762767467925,0.2546627301274618,-7.929420791566372,0.06230635941028595,0.13197804987430567,1.5300554217301583,False,False,nan,nan,nan,nan,nan,-0.08083513379096985,0.17915695905685425,1.2634046713458462,0.28205469250679016,0.2749899625778198,0.027382617816329002,0.22010213136672974,0.057818736881017685,0.1445468422025442,0.292346715927124,14.668228149414062,0.282295823097229
5,1,circle,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,2,0,2,0.6628245038453242,False,True,False,4.3,0.18948805473236405,0.03744910657405853,0.024078339338302612,0.09010118618607521,0.7757009345794392,0.11200421303510666,0.10675549507141113,8.0,141,2.1519956280700807,8.0,0.558089554309845,0.558089554309845,0.06976119428873062,0.02790447771549225,0.06976119428873062,False,nan,nan,nan,0.1303947556798703,0.3259868891996757,0.6674279764888017,-7.441910445690155,0.18901929259300232,0.3571218982338905,2.1519956280700807,False,False,nan,nan,nan,nan,nan,-0.7079286575317383,0.3298826217651367,0.06387710571289062,0.7009425163269043,0.408896267414093,0.18413834273815155,0.24275916814804077,0.15025483071804047,0.37563707679510117,0.27725547552108765,17.337743759155273,0.3782842755317688
6,0,circle,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,2,0,3,0.6628245038453242,False,False,True,2.46,0.1510240018271041,0.030776143074035645,0.017051683738827705,0.09235033094882963,0.8770491803278688,0.11849136650562286,0.11470384150743484,12.0,212,2.518821969639291,12.0,0.10748095065355301,0.14270316064357758,0.008956745887796084,0.00537404753267765,0.008956745887796084,False,nan,nan,nan,0.04404956993998074,0.07341594989996791,0.711207427503648,-11.892519049346447,0.15024429559707642,0.36999350637197476,2.518821969639291,False,False,nan,nan,nan,nan,nan,-0.14324280619621277,0.4081873893737793,2.1583930889712737,0.47403064370155334,0.5322089791297913,0.1294068545103073,0.3058277368545532,0.041240911930799484,0.06873485321799915,0.28520387411117554,18.520334243774414,0.37174949049949646
7,1,circle,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,2,0,2,0.6628245038453242,False,False,True,1.62,0.10728463857752338,0.012022031471133232,0.010470999404788017,0.02091580629348755,1.0,0.12165935337543488,0.12107481807470322,12.0,212,1.9255864124550939,12.0,0.31103336811065674,0.31103336811065674,0.02591944734255473,0.015551668405532838,0.02591944734255473,False,nan,nan,nan,0.19439585506916046,0.32399309178193414,0.41175462948880154,-11.688966631889343,0.1063472330570221,0.21109597086906431,1.9255864124550939,False,False,nan,nan,nan,nan,nan,-0.27497798204421997,-0.22597140073776245,2.615190688763754,1.055874228477478,0.41543686389923096,0.018108176067471504,0.28106027841567993,0.18691816926002502,0.31153028210004174,0.29157477617263794,15.931368827819824,0.29271841049194336
8,0,s_curve,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,0,2,0.19313717444465053,False,False,True,2.72,0.12032893947500677,0.016759738326072693,0.011965558864176273,0.035169875621795646,0.8740740740740741,0.11988963186740875,0.11877720803022385,8.0,195,8.006396897918798,8.0,0.0,0.0903429165482521,0.0,0.0,0.0,False,nan,nan,nan,0.0,0.0,0.5230204138773131,-8.0,0.09650865197181702,0.14358657747507095,8.006396897918798,False,False,nan,nan,nan,nan,nan,0.18138325214385986,0.05878859758377075,0.5086209774017334,0.6436910033226013,0.327798455953598,-0.040669035166502,0.20856653153896332,-0.0702764019370079,-0.17569100484251976,0.28927719593048096,11.86676025390625,0.23590554296970367
9,1,s_curve,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,1,0.19313717444465053,False,False,True,1.68,0.03618508008661786,0.025410834699869156,0.014699260704219341,0.07050120681524269,0.891566265060241,0.12059026956558228,0.11797714233398438,8.0,195,7.482620469684777,8.0,0.37162309885025024,0.37162309885025024,0.04645288735628128,0.01858115494251251,0.046452887356281274,False,nan,nan,nan,0.22386933665677725,0.559673341641943,0.2516043817266732,-7.62837690114975,0.03510933741927147,0.060613448172807664,7.482620469684777,False,False,nan,nan,nan,nan,nan,-0.3358604907989502,-0.17496052384376526,0.2683393955230713,0.26384294033050537,0.4289398491382599,0.14676107466220856,0.2971287965774536,0.23971828818321228,0.5992957204580307,0.2884771227836609,20.31995964050293,0.35214221477508545
10,0,s_curve,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,0.19313717444465053,False,False,True,2.24,0.21120638027778976,0.01345379464328289,0.009725256823003292,0.022696688771247864,0.963963963963964,0.12357925623655319,0.12284482270479202,10.252311706542969,249,10.180452360740565,10.252309877652896,0.0,0.025783052667975426,0.0,0.0,0.0,False,nan,nan,nan,0.0,0.0,0.6691603192722002,-10.252309877652896,0.20061126351356506,0.31028813123703003,10.180452360740565,True,False,nan,nan,nan,nan,nan,0.17989039421081543,0.152840256690979,1.0760396718978882,1.0893665552139282,0.532497763633728,0.04412015527486801,0.3715653419494629,-0.09202989935874939,-0.15338316559791565,0.29334479570388794,18.867536544799805,0.33047133684158325
11,1,s_curve,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,0.19313717444465053,False,False,True,2.48,0.08808082269411693,0.019126493483781815,0.013685712590813637,0.04110904633998871,0.8536585365853658,0.11674237996339798,0.11539629101753235,10.252311706542969,249,10.05340737860381,10.252309877652896,0.0,0.038711775094270706,0.0,0.0,0.0,False,nan,nan,nan,0.0,0.0,0.7343075990543466,-10.252309877652896,0.08000656962394714,0.12997896522283553,10.05340737860381,True,False,nan,nan,nan,nan,nan,0.05267524719238281,0.13847953081130981,0.6433496475219727,0.5055677890777588,0.26739054918289185,0.03253834322094917,0.20421342551708221,-0.024666951969265938,-0.04111158661544323,0.28589630126953125,13.111576080322266,0.25870463252067566
12,0,right_angle,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,0,2,0.6934091747331685,False,False,True,3.12,0.10172923256571469,0.016536887735128403,0.010873579420149326,0.032151541113853425,0.9419354838709677,0.1251213252544403,0.12403082102537155,8.0,161,4.872889624289462,8.0,0.6442939043045044,0.6442939043045044,0.08053673803806305,0.03221469521522522,0.08053673803806305,False,nan,nan,nan,0.20783674332403368,0.5195918583100841,0.42172834027967143,-7.355706095695496,0.09747254103422165,0.255494838953018,4.872889624289462,False,False,nan,nan,nan,nan,nan,-0.6570101380348206,0.3483346700668335,0.3234334627734585,1.0369168519973755,0.5879479646682739,0.23524664342403412,0.34461796283721924,0.210612490773201,0.5265312269330025,0.29453083872795105,11.715001106262207,0.28703543543815613
13,1,right_angle,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,1,0.6934091747331685,False,False,True,3.42,0.11529391679107132,0.031751129776239395,0.01622820273041725,0.08996138200163822,0.8647058823529412,0.11705479025840759,0.11314398795366287,8.0,161,5.211422894470179,8.0,0.3037317097187042,0.32928651571273804,0.03796646371483803,0.015186585485935211,0.03796646371483803,False,nan,nan,nan,0.08933285579961889,0.2233321394990472,0.5733958078587756,-7.696268290281296,0.09467488527297974,0.1738125175237654,5.211422894470179,False,False,nan,nan,nan,nan,nan,-0.3037317097187042,0.2488858699798584,0.03083712259401519,0.2819071114063263,0.35824188590049744,0.079935722053051,0.2985461950302124,0.09076660871505737,0.22691652178764343,0.28357651829719543,16.912559509277344,0.2891296446323395
14,0,right_angle,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,3,0.6934091747331685,False,False,True,1.56,0.09058431459632421,0.009898941032588482,0.0076341829262673855,0.01842220425605774,0.987012987012987,0.12518078088760376,0.12480655312538147,8.48364633321762,170,5.746281399256824,8.483639353492427,0.25252532958984375,0.25252532958984375,0.029766155663593554,0.012626266479492188,0.021043777465820312,False,nan,nan,nan,0.16397748674665177,0.27329581124441965,0.3904832350170458,-8.231114023902583,0.089480921626091,0.21865108609199527,5.746281399256824,True,False,nan,nan,nan,nan,nan,-0.25396066904067993,0.2527434229850769,0.512765645980835,0.9756423234939575,0.38869941234588623,0.0682792067527771,0.2780178487300873,0.16964083909988403,0.2827347318331401,0.295306533575058,14.380087852478027,0.3040412962436676
15,1,right_angle,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,0.6934091747331685,False,False,True,2.7,0.13831017265778411,0.015059397555887699,0.012400928884744644,0.026733823120594025,0.9850746268656716,0.11992745846509933,0.11837462335824966,8.485081672668457,170,5.641080936024731,8.485074692943263,0.37305986881256104,0.37305986881256104,0.0439665980928632,0.01865299344062805,0.031088322401046753,False,nan,nan,nan,0.1392014435867765,0.23200240597796085,0.756724718520001,-8.112014824130702,0.13805371522903442,0.20097658261656762,5.641080936024731,True,False,nan,nan,nan,nan,nan,-0.37305986881256104,-0.19917330145835876,1.965942446385519,0.9222427010536194,0.38665199279785156,-0.08210708945989609,0.23777054250240326,0.15407122671604156,0.2567853778600693,0.2901946008205414,18.093143463134766,0.4193074107170105
16,0,random_polyline,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,1,0.2724527573349861,False,False,True,3.12,0.05367142314221029,0.021431921049952507,0.012164776213467121,0.06001708805561061,0.9032258064516129,0.12033966183662415,0.11849059909582138,6.771056456491351,133,6.1144141740293465,6.771055244701498,0.29459497332572937,0.29459497332572937,0.043507985488119676,0.014729748666286468,0.036824371665716164,False,nan,nan,nan,0.09503063655668689,0.23757659139171722,0.5738349307585627,-6.476460271375768,0.04356660693883896,0.10081659778952584,6.1144141740293465,True,False,nan,nan,nan,nan,nan,-0.33322852849960327,-0.15005823969841003,0.05049091974367339,0.8987352252006531,0.37885916233062744,0.08451348543167114,0.2172050029039383,0.09699957072734833,0.24249892681837082,0.2889906167984009,11.887289047241211,0.23400487005710602
17,1,random_polyline,,0.4,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,2,0,2,0.5393016802872609,False,False,True,1.9000000000000001,0.08330798615032967,0.021643007174134254,0.012730413116514683,0.04257922768592827,0.9361702127659575,0.12024865299463272,0.11836434155702591,7.250370521098375,145,6.00566029401805,7.250368465777478,0.5335690379142761,0.5335690379142761,0.07359198921169036,0.026678451895713808,0.06669612973928452,False,nan,nan,nan,0.28381331803950854,0.7095332950987713,0.2595515444189152,-6.716799427863202,0.08056609332561493,0.1357710100710392,6.00566029401805,True,False,nan,nan,nan,nan,nan,-0.3952242434024811,0.3919141888618469,0.018767054880960397,0.36546260118484497,0.572279691696167,0.20217429101467133,0.35026052594184875,0.28233352303504944,0.7058338075876236,0.2888643443584442,17.689393997192383,0.3340941369533539
18,0,random_polyline,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,3,0,3,0.2724527573349861,False,False,True,1.92,0.15804602429556772,0.04107242077589035,0.02448928728699684,0.11429216712713242,0.7789473684210526,0.11868145316839218,0.11682305485010147,6.778498984873295,133,6.111591267026007,6.7784977730834415,0.46651124954223633,0.49106529355049133,0.06882221771831121,0.023325562477111816,0.03887593746185303,False,nan,nan,nan,0.24553223660117698,0.409220394335295,0.40827542598584754,-6.311986523541205,0.15697523951530457,0.313314887881279,6.111591267026007,True,False,nan,nan,nan,nan,nan,-0.44623374938964844,0.3718135356903076,0.07234436670412261,0.3112805485725403,0.5557130575180054,0.17690275609493256,0.37446659803390503,0.24380402266979218,0.406340037782987,0.2774229645729065,20.619869232177734,0.36961397528648376
19,1,random_polyline,,0.6,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705,1,0,1,0.5393016802872609,False,False,True,1.76,0.14990670983345045,0.04565262049436569,0.03039674647152424,0.10994297713041307,0.6666666666666666,0.1042388305068016,0.097246453166008,7.270045757293701,145,6.295578710187815,7.270043701972804,0.3217952251434326,0.3415035307407379,0.04426317616991904,0.016089761257171632,0.02681626876195272,False,nan,nan,nan,0.18493978456519117,0.30823297427531865,0.4200968108872038,-6.948248476829371,0.14941419661045074,0.23622822016477585,6.295578710187815,True,False,nan,nan,nan,nan,nan,-0.10496747493743896,0.38517606258392334,0.37793558439145847,0.2950047552585602,0.5112355351448059,0.034243401139974594,0.36595290899276733,0.1974569708108902,0.3290949513514837,0.26763471961021423,26.27986717224121,0.4219374656677246
