scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.015946163892891916,0.01404829416424036,0.010293325409293175,0.013134787231683731,0.987,0.01404829416424036,0.010293325409293175,4.0,100,3.3396359686661286,4.0,7.339633464813232,7.339633464813232,1.834908366203308,0.3669816732406616,1.8349083662033079,True,11.102111941704882,0.3602918094325885,1.8014590471629424,0.3669816732406616,1.8349083662033079,1.5606262976162435,3.3396334648132324,0.010088019073009491,0.02346369773149488,3.3396359686661286,False,False,nan,nan,nan,nan,nan,-7.349878787994385,-0.004186064004898071,0.2968165874481201,0.415090411901474,0.3816014528274536,0.3611358106136322,0.37121403217315674,0.3676963448524475,1.8384817242622375,0.16253267228603363,4.641377925872803,0.16947998106479645
1,1,straight,,0.2,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.017151724874192278,0.013780226930975914,0.010196222923696041,0.012531884759664534,0.99,0.013780226930975914,0.010196222923696041,4.0,100,3.0710810595344205,4.0,7.0710673332214355,7.0710673332214355,1.7677668333053589,0.3535533666610718,1.7677668333053589,True,11.348612508986342,0.35246599501327763,1.762329975066388,0.3535533666610718,1.7677668333053589,1.4827546229128836,3.0710673332214355,0.01190872024744749,0.020095537602901444,3.0710810595344205,False,False,nan,nan,nan,nan,nan,-7.079041957855225,-0.00916239619255066,0.28759932518005377,0.37494322657585144,0.36078575253486633,0.3531198799610138,0.3597959280014038,0.3543556332588196,1.771778166294098,0.1623965948820114,4.500416278839111,0.16273999214172363
2,0,straight,,0.2,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.01591484991949815,0.007288253866136074,0.006656354758888483,0.01124530732631683,1.0,0.007288253866136074,0.006656354758888483,4.0,101,2.273233885958631,4.0,6.27320671081543,6.27320671081543,1.5683016777038574,0.3136603355407715,1.5683016777038574,True,13.063527607361964,0.30619600771125527,1.5309800385562762,0.3136603355407715,1.5683016777038574,1.0344097019505498,2.2732067108154297,0.010792002081871033,0.02126729097217321,2.273233885958631,False,False,nan,nan,nan,nan,nan,-6.291079998016357,0.011114954948425293,0.010164737701416014,0.3116522431373596,0.3148125410079956,0.3087059557437897,0.3175351023674011,0.31435301899909973,1.5717650949954987,0.2996467053890228,4.24238395690918,0.1287720501422882
3,1,straight,,0.2,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.026202046338551777,0.006413518916815519,0.005358604248613119,0.011638784408569336,1.0,0.006413518916815519,0.005358604248613119,4.0,100,1.7309946385280117,4.0,5.730841159820557,5.730841159820557,1.4327102899551392,0.28654205799102783,1.4327102899551392,True,12.792080467318792,0.3126934676669053,1.5634673383345266,0.28654205799102783,1.4327102899551392,1.0571383717012404,1.7308411598205566,0.023319268599152565,0.044171636179089535,1.7309946385280117,False,False,nan,nan,nan,nan,nan,-5.730841159820557,-0.023050695657730103,0.5870022773742676,0.34665918350219727,0.24760234355926514,0.2648155689239502,0.29850682616233826,0.2870835065841675,1.4354175329208374,0.29670417308807373,4.439728260040283,0.1399707943201065
4,0,straight,,0.4,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.0161911614811734,0.014993671327829361,0.011400388553738594,0.015979313105344766,0.99,0.014993671327829361,0.011400388553738594,8.0,200,1.8696454821359647,8.0,9.869580268859863,9.869580268859863,1.233697533607483,0.49347901344299316,1.233697533607483,True,16.29246150004162,0.4910246373747492,1.2275615934368729,0.49347901344299316,1.233697533607483,0.8023656049606798,1.8695802688598633,0.011254444718360901,0.024060210585594176,1.8696454821359647,False,False,nan,nan,nan,nan,nan,-9.869580268859863,-0.015616297721862793,0.24491643905639648,0.3575633466243744,0.4575295150279999,0.48404303193092346,0.4962614178657532,0.4945913553237915,1.2364783883094788,0.16119618713855743,5.640679836273193,0.20374639332294464
5,1,straight,,0.4,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.018056667026692088,0.015325089916586876,0.011907901614904404,0.01699206233024597,0.988,0.015325089916586876,0.011907901614904404,8.0,200,2.000850902854903,8.0,10.0,10.0,1.25,0.5,1.25,True,15.363543949848916,0.5207131913127812,1.3017829782819528,0.5,1.25,1.1305201141068932,2.0,0.013854206539690495,0.022204259037971498,2.000850902854903,False,False,nan,nan,nan,nan,nan,-10.000846862792969,-0.0040215253829956055,0.0541996955871582,0.09368851035833359,0.2520315647125244,0.4915543496608734,0.5044892430305481,0.5018908381462097,1.2547270953655243,0.1607850044965744,5.698396682739258,0.20605963468551636
6,0,straight,,0.4,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.032617956214977276,0.0083262138068676,0.007502125576138496,0.012729017436504363,1.0,0.0083262138068676,0.007502125576138496,8.0,200,1.8961422765334763,8.0,9.896100997924805,9.90667724609375,1.2370126247406006,0.49480504989624025,1.2370126247406006,True,13.0724471570832,0.6119741700898951,1.5299354252247377,0.49480504989624025,1.2370126247406006,1.945950553787708,1.8961009979248047,0.030109860002994537,0.05310745388269424,1.8961422765334763,False,False,nan,nan,nan,nan,nan,-9.901795387268066,-0.012439757585525513,0.21491670608520505,0.018930761143565178,0.017226476222276688,0.4756406545639038,0.5021865963935852,0.4951994717121124,1.237998679280281,0.29945793747901917,4.343957901000977,0.17687375843524933
7,1,straight,,0.4,0.2932,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.030158499031100967,0.0085239727050066,0.007985565811395645,0.012188459932804107,1.0,0.0085239727050066,0.007985565811395645,8.0,200,1.9533768579867736,8.0,9.95335865020752,9.989043235778809,1.24416983127594,0.497667932510376,1.24416983127594,True,12.193526735676139,0.6560858210605625,1.640214552651406,0.497667932510376,1.24416983127594,2.0916210927233694,1.9533586502075195,0.0241638645529747,0.0505572646856308,1.9533768579867736,False,False,nan,nan,nan,nan,nan,-9.960426330566406,0.008405685424804688,0.3070119063006802,0.016332175582647324,0.02301587536931038,0.48239850997924805,0.5111029744148254,0.498080313205719,1.2452007830142975,0.3008655309677124,4.0248122215271,0.16793884336948395
8,0,straight,,0.6,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.016557987843361297,0.016282960772514343,0.013465562835335732,0.017922378331422805,0.989,0.016282960772514343,0.013465562835335732,9.999976992607117,249,0.012692627007049975,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.4999985218048096,0.8333308696746826,True,16.159998883433047,0.6188100871181998,1.0313501451969997,0.4999985218048096,0.8333308696746826,0.27148037122915764,1.1920897513562068e-07,0.012874215841293335,0.024028691649436947,0.012692627007049975,True,True,15.68,0.11761566745102364,0.16775751113891602,0.01040448248386383,0.03775320898515411,-10.003722190856934,0.01213371753692627,0.11612296104431152,0.0014949147589504719,0.013791089877486229,0.49636951088905334,0.5063757300376892,0.5007723569869995,0.8346205949783325,0.15890692174434662,5.357193946838379,0.20887744426727295
9,1,straight,,0.6,0.1705,,constant,nan,,0,0,0,2.143417663003602e-06,True,False,False,20.0,0.020349579259121033,0.016785532236099243,0.013643910177052021,0.018991823494434356,0.989,0.016785532236099243,0.013643910177052021,10.000006675720215,249,0.030573662667026345,10.000000000000314,10.0,10.0,0.9999999999999686,0.5,0.8333333333333334,True,16.2,0.6172839506173033,1.0288065843621723,0.5,0.8333333333333334,0.23602119635575303,-3.1441516057384433e-13,0.017061304301023483,0.02973757088184357,0.030573662667026345,True,True,15.72,0.11894670657121682,0.18864750862121582,0.008955061435699463,0.03613231552164853,-10.000770568847656,-0.030564814805984497,0.1901087760925293,0.011394331231713295,0.030039560049772263,0.4970411956310272,0.5086932182312012,0.5011672377586365,0.8352787295977275,0.15907590091228485,5.389457702636719,0.208427295088768
