scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,3.66,0.08394511755156517,0.022434459999203682,0.016575422137975693,0.03040522783994674,0.945054945054945,0.022434459999203682,0.016575422137975693,9.989761233329773,249,8.261026100437837,9.989754557609873,1.7311705350875854,1.7311705350875854,0.17329460149437162,0.08655852675437928,0.10819815844297409,False,nan,nan,nan,0.47559630084823773,0.5944953760602971,0.8504880925515198,-8.258584022522287,0.0828327015042305,0.15140969008207317,8.261026100437837,True,False,nan,nan,nan,nan,nan,-1.7414159774780273,-0.20085448026657104,0.32746869722475247,0.716538667678833,0.8314802050590515,0.44680413603782654,0.4884629249572754,0.47858405113220215,0.5982300639152527,0.28918859362602234,11.515606880187988,0.3122052252292633
1,1,straight,,0.8,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,3.08,0.07229340924764326,0.020256681367754936,0.013425169512629509,0.026889711618423472,0.954248366013072,0.020256681367754936,0.013425169512629509,9.99203211069107,249,8.325302620841805,9.99202543497117,1.6674253940582275,1.6674253940582275,0.1668756154505364,0.08337126970291138,0.10421408712863922,False,nan,nan,nan,0.5449102594961528,0.681137824370191,0.6523836637384751,-8.324600040912943,0.07098014652729034,0.14367189407348635,8.325302620841805,True,False,nan,nan,nan,nan,nan,-1.6754000186920166,0.10816049575805664,0.02205204963684082,1.324500322341919,0.948111891746521,0.5674721002578735,0.5903863906860352,0.5490968227386475,0.6863710284233093,0.2827044725418091,11.40962028503418,0.42013654112815857
2,0,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,3.46,0.08715726624371435,0.0323091596364975,0.021287130191922188,0.08466763794422144,0.7965116279069767,0.0323091596364975,0.021287130191922188,9.982133388519287,249,7.6024551431589416,9.982126712799387,2.3800060749053955,2.3800060749053955,0.23842675447644632,0.11900030374526978,0.11900030374526978,False,nan,nan,nan,0.6918622310771498,0.6918622310771498,0.7379077024792516,-7.602120637893991,0.08619989454746246,0.15636595636606215,7.6024551431589416,True,False,nan,nan,nan,nan,nan,-2.3978793621063232,0.07131540775299072,0.6700351238250732,0.2615976929664612,0.8656144142150879,0.6150398850440979,0.7310234308242798,0.6951202750205994,0.6951202750205994,0.2737703025341034,12.690801620483398,0.45244795083999634
3,1,straight,,1.0,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,2.02,0.039648665329345675,0.015271290205419064,0.012730822898447514,0.030321124941110604,0.94,0.015271290205419064,0.012730822898447514,10.000006675720215,249,9.658451998827722,10.000000000000314,0.34204602241516113,0.34204602241516113,0.03420460224151504,0.017102301120758057,0.017102301120758057,False,nan,nan,nan,0.17102301120758057,0.17102301120758057,0.9095551632344723,-9.657953977585153,0.037714239209890366,0.05296422243118284,9.658451998827722,True,False,nan,nan,nan,nan,nan,-0.34204602241516113,-0.09808236360549927,0.19346124330629547,0.8568907380104065,0.303793340921402,0.1708795577287674,0.2086946815252304,0.17437364161014557,0.17437364161014557,0.2865440845489502,12.933313369750977,0.22490470111370087
4,0,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,2.62,0.08478634990103355,0.02377179265022278,0.01520590577274561,0.0465976610779762,0.9307692307692308,0.02377179265022278,0.01520590577274561,10.000006675720215,249,7.494442091081624,10.000000000000314,2.508619546890259,2.508619546890259,0.250861954689018,0.12543097734451295,0.10452581445376079,False,nan,nan,nan,0.9648536718808687,0.8040447265673906,0.4049844927558532,-7.491380453110056,0.08398643136024475,0.18854745775461196,7.494442091081624,True,False,nan,nan,nan,nan,nan,-2.508619546890259,-0.2141997516155243,0.21220970153808594,1.149261474609375,1.0053913593292236,0.9677878618240356,0.9915866851806641,0.9705817699432373,0.8088181416193645,0.27624472975730896,9.271425247192383,0.48506399989128113
5,1,straight,,1.2,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,1.72,0.12540481711417104,0.0398535318672657,0.02747051604092121,0.08826589286327359,0.7411764705882353,0.0398535318672657,0.02747051604092121,10.000006675720215,249,8.51618374356348,10.000000000000314,1.486769676208496,1.486769676208496,0.14867696762084492,0.07433848381042481,0.06194873650868734,False,nan,nan,nan,0.8745703977697036,0.7288086648080864,0.5051763227897531,-8.513230323791818,0.12491858005523682,0.20735758543014524,8.51618374356348,True,False,nan,nan,nan,nan,nan,-1.486769676208496,0.22426462173461914,0.5489285627948208,0.9968342781066895,1.1894421577453613,0.9021041989326477,0.9236920475959778,0.8963876366615295,0.7469896972179413,0.2658698856830597,12.72450065612793,0.6101260781288147
6,0,straight,,1.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,True,False,1.26,0.04546524831003255,0.028482001274824142,0.022856228053569794,0.058329471945762594,0.8225806451612904,0.028482001274824142,0.022856228053569794,9.994312763214111,249,8.872698342100097,9.994306087494211,1.1216145753860474,1.1216145753860474,0.11222535767535817,0.05608072876930237,0.04005766340664455,False,nan,nan,nan,0.9045278833758447,0.6460913452684606,0.48253838981736086,-8.872691512108164,0.04220816493034363,0.0736747920513153,8.872698342100097,True,False,nan,nan,nan,nan,nan,-1.1273084878921509,0.011008262634277344,0.014508072529928273,1.5099208354949951,1.1538578271865845,0.9320868253707886,0.9461467266082764,0.9155963063240051,0.6539973616600037,0.27264121174812317,11.304268836975098,0.6311092972755432
7,1,straight,,1.4,0.28,,constant,nan,,0,0,0,2.143417663003602e-06,False,False,True,1.0,0.11397073820496133,0.039675306528806686,0.029110945761203766,0.09387372136116023,0.8163265306122449,0.039675306528806686,0.029110945761203766,9.992939114570618,249,9.147437464847314,9.992932438850717,0.8473824262619019,0.8493363857269287,0.08479817425437922,0.042369121313095094,0.030263658080782213,False,nan,nan,nan,0.864675945165206,0.6176256751180043,0.3716669813102605,-9.145550012588815,0.1133771613240242,0.18548408448696135,9.147437464847314,True,False,nan,nan,nan,nan,nan,-0.8544501066207886,0.1858198046684265,0.6032614707946777,0.51508629322052,0.9359390735626221,0.8398628234863281,0.9359390735626221,0.8683346509933472,0.6202390364238194,0.2666306495666504,22.956058502197266,0.6321790814399719
8,0,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,False,False,True,1.8800000000000001,0.05938609934641507,0.029320256784558296,0.020582852885127068,0.07882014811038969,0.8817204301075269,0.029320256784558296,0.020582852885127068,14.136298179626465,249,2.8253087878680017,14.136323057769513,0.5393420457839966,0.5393420457839966,0.038152923046532033,0.02696710228919983,0.033708877861499786,False,nan,nan,nan,0.289968841819353,0.36246105227419123,0.6095047178019305,-13.596981011985516,0.05485239624977112,0.12381208240985868,2.825313500463318,True,False,nan,nan,nan,nan,nan,-0.4826110303401947,-0.2162107229232788,3.003007909283042,0.41713660955429077,0.5546873807907104,0.26281481981277466,0.36973845958709717,0.2804681360721588,0.3505851700901985,0.2802727222442627,17.364389419555664,0.3584415018558502
9,1,circle,,0.8,0.28,,constant,nan,,0,0,0,0.6628245038453242,False,False,True,2.7600000000000002,0.06737666432219783,0.02629806287586689,0.01754576899111271,0.0634209156036376,0.8978102189781022,0.02629806287586689,0.01754576899111271,14.136298179626465,249,2.399776341211178,14.136323057769513,1.868296504020691,1.868296504020691,0.1321628330355573,0.09341482520103454,0.11676853150129317,False,nan,nan,nan,0.6818600379637557,0.8523250474546946,0.28701099017440906,-12.268026553748822,0.06557103991508484,0.1174873813986778,2.3997910177722725,True,False,nan,nan,nan,nan,nan,-1.378814697265625,-1.0358548164367676,2.44327094219625,0.10062380135059357,0.7345248460769653,0.5721002221107483,0.724423348903656,0.7153496742248535,0.8941870927810669,0.27525630593299866,14.667439460754395,0.40249234437942505
