scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,2,2,2.143417663003602e-06,False,False,True,17.92,0.04645944275585851,0.08466294407844543,0.07193623483181,0.12115264236927033,0.3027932960893855,0.05808776617050171,0.039974890649318695,4.0,100,2.3692216467455363,4.0,1.6413763761520386,1.6531347036361694,0.41034409403800964,0.08206881880760193,0.41034409403800964,False,nan,nan,nan,0.09169700425430383,0.45848502127151913,0.6742698714746443,-2.3586236238479614,0.0425654873251915,0.07354876995086664,2.3692216467455363,False,False,nan,nan,nan,nan,nan,-1.6516218185424805,-0.22384363412857056,0.2971726099597378,0.1739850789308548,0.30094560980796814,0.08648987114429474,0.1442665308713913,0.09153205901384354,0.4576602950692177,0.262457937002182,10.113557815551758,0.15977737307548523
1,1,straight,,0.2,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,0,0,1,2.143417663003602e-06,False,False,True,3.7600000000000002,0.1153881559028916,0.00943585392087698,0.007404858246445656,0.017791733145713806,0.9946524064171123,0.08529206365346909,0.06385975331068039,4.0,100,3.5393651711024843,4.0,0.47919389605522156,0.5423266291618347,0.11979847401380539,0.023959694802761076,0.11979847401380538,False,nan,nan,nan,0.12812671017519292,0.6406335508759645,0.09315903358153482,-3.5208061039447784,0.09609153121709824,0.23815364837646472,3.5393651711024843,False,False,nan,nan,nan,nan,nan,-0.48716872930526733,0.36198318004608154,0.5051108042346402,0.7917996644973755,0.31852903962135315,0.1606294959783554,0.26304247975349426,0.1296645700931549,0.6483228504657745,0.2925640642642975,10.012882232666016,0.19662289321422577
2,2,straight,,0.2,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,0,2,2.143417663003602e-06,False,False,True,5.0200000000000005,0.0962032857432079,0.020573511719703674,0.01167199108749628,0.04142283797264093,0.928,0.09618149697780609,0.07773642241954803,4.0,101,3.4715060713251344,4.0,0.5453323721885681,0.5712759494781494,0.13633309304714203,0.027266618609428406,0.13633309304714203,False,nan,nan,nan,0.10906647443771363,0.5453323721885681,0.14855448944807054,-3.454667627811432,0.08790182322263718,0.21395460665225968,3.4715060713251344,False,False,nan,nan,nan,nan,nan,-0.5632056593894958,0.34150511026382446,0.4319611231433316,0.46140846610069275,0.3679202198982239,0.131813183426857,0.28266608715057373,0.1088588759303093,0.5442943796515465,0.291786789894104,13.695777893066406,0.24248701333999634
3,0,straight,,0.35,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,2.143417663003602e-06,False,False,True,2.1,0.07310125266730767,0.014301897026598454,0.010920006781816483,0.032720328867435436,0.9326923076923077,0.10067887604236603,0.08846166729927063,7.0,175,6.81781039364633,7.0,0.1848403364419937,0.30681928992271423,0.026405762348856245,0.009242016822099686,0.026405762348856245,False,nan,nan,nan,0.08886554636634313,0.25390156104669465,0.1950128026994375,-6.815159663558006,0.051305677741765976,0.11968153715133661,6.81781039364633,False,False,nan,nan,nan,nan,nan,-0.18484047055244446,0.19010239839553833,0.1586899757385254,0.34029966592788696,0.3053828477859497,0.08215133845806122,0.28596800565719604,0.08914406597614288,0.25469733136040823,0.28853508830070496,11.712101936340332,0.21653863787651062
4,1,straight,,0.35,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,2.143417663003602e-06,False,False,True,2.8000000000000003,0.16465937035486805,0.03514183685183525,0.02021154761314392,0.10700552910566326,0.8561151079136691,0.09902443736791611,0.08439763635396957,7.0,175,6.5817062159311215,7.0,0.43500128388404846,0.4836804270744324,0.06214304055486407,0.021750064194202424,0.062143040554864075,False,nan,nan,nan,0.1564752819726793,0.44707223420765513,0.23861315278698214,-6.5649987161159515,0.16214513778686523,0.40175715684890734,6.5817062159311215,False,False,nan,nan,nan,nan,nan,-0.43500128388404846,0.4686661958694458,0.12262851396669584,0.5588188171386719,0.5218188762664795,0.1961197853088379,0.3670673370361328,0.15764819085597992,0.45042340244565693,0.28131574392318726,17.441926956176758,0.3181389272212982
5,2,straight,,0.35,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,2.143417663003602e-06,False,False,True,2.66,0.10056000497841286,0.01058135461062193,0.00781522411853075,0.022865088284015612,0.9696969696969697,0.10674826055765152,0.09003826230764389,7.0,175,6.627117044900315,7.0,0.3793330490589142,0.3793330490589142,0.05419043557984488,0.01896665245294571,0.05419043557984489,False,nan,nan,nan,0.14368676100716446,0.41053360287761276,0.27476027408603465,-6.620666950941086,0.09919758886098862,0.23843695819377891,6.627117044900315,False,False,nan,nan,nan,nan,nan,-0.3793330490589142,-0.2923179864883423,0.34420323371887207,0.27469635009765625,0.3234919607639313,0.14970821142196655,0.2620953321456909,0.15314584970474243,0.4375595705849784,0.2982892692089081,14.846644401550293,0.259242445230484
6,0,straight,,0.5,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,2,2.143417663003602e-06,False,False,True,2.64,0.15332632094882173,0.03724081814289093,0.022326277568936348,0.09796389192342758,0.7862595419847328,0.11206769198179245,0.10688064247369766,9.994312763214111,249,9.602443402689502,9.994306087494211,0.3976595997810364,0.46489644050598145,0.03978861526750961,0.019882979989051818,0.039765959978103636,False,nan,nan,nan,0.15177847319886884,0.30355694639773767,0.4726987382655836,-9.596646487713175,0.15206441283226013,0.30858471989631653,9.602443402689502,True,False,nan,nan,nan,nan,nan,-0.4033535122871399,0.3336089253425598,0.2777913252459927,0.6313863396644592,0.3743077218532562,0.14206485450267792,0.3174612522125244,0.1502562314271927,0.3005124628543854,0.27737683057785034,19.5447940826416,0.3456878960132599
7,1,straight,,0.5,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,0,2,2.143417663003602e-06,False,False,True,4.88,0.12228049807998403,0.018896030262112617,0.014706585556268692,0.03671257197856901,0.8806584362139918,0.11512849479913712,0.11373042315244675,9.992939114570618,249,9.406647586491799,9.992932438850717,0.5892485976219177,0.5892485976219177,0.0589665347211821,0.029462429881095886,0.05892485976219177,False,nan,nan,nan,0.12124456741191722,0.24248913482383444,1.0351110542531858,-9.4036838412288,0.11586251109838486,0.21345910280942912,9.406647586491799,True,False,nan,nan,nan,nan,nan,-0.5963161587715149,-0.23611319065093994,0.5455709139453335,0.611122190952301,0.26182135939598083,0.05880771577358246,0.23028632998466492,0.12263131141662598,0.24526262283325195,0.28458371758461,17.236557006835938,0.3738263249397278
8,2,straight,,0.5,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,1,0,1,2.143417663003602e-06,False,False,True,2.6,0.13982478593278247,0.01884755864739418,0.011123419739305973,0.029258382320404012,0.9457364341085271,0.1192634329199791,0.11786400526762009,9.999976992607117,249,10.067794021409693,9.999970316887216,-2.968311309814453e-05,0.03852543234825134,-2.9683201207125455e-06,-1.4841556549072265e-06,-2.968311309814453e-06,False,nan,nan,nan,-1.150508259618005e-05,-2.30101651923601e-05,0.6434821942055873,-10.000000000000314,0.1326354295015335,0.34972653388977043,10.067794021409693,True,False,nan,nan,nan,nan,nan,0.05764538049697876,0.451934814453125,1.1052537600146695,1.200788140296936,0.508991003036499,0.1286371648311615,0.2878139317035675,-0.021741090342402458,-0.043482180684804916,0.2883639633655548,17.043926239013672,0.3005429208278656
9,0,s_curve,,0.2,0.2800000011920929,,interleaved,0.8,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,2,1,2,0.19313717444465053,False,False,True,6.0,0.07878357410861331,0.017246758565306664,0.011244469322264194,0.04505804181098934,0.9264214046822743,0.07774639874696732,0.05675442889332771,4.0,97,3.1166331961402722,4.0,0.75020831823349,0.827090322971344,0.1875520795583725,0.0375104159116745,0.18755207955837247,False,nan,nan,nan,0.12545289602566723,0.6272644801283361,0.2525378197475464,-3.24979168176651,0.07616633176803589,0.1989978238940236,3.1166331961402722,False,False,nan,nan,nan,nan,nan,-0.7832568287849426,0.06066244840621948,0.48009783426393704,0.19640019536018372,0.3740118145942688,0.1230975016951561,0.22303958237171173,0.12895306944847107,0.6447653472423553,0.28478503227233887,13.909188270568848,0.21729542315006256
