scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.23184999078512192,,random,0.8,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705,12,12,12,2.143417663003602e-06,True,50.0,0.02337891603978728,0.02271788939833641,0.015013878233730793,0.02789476327598095,0.01799868978559971,9.989761233329773,249,0.033914464461367574,9.989754557609873,9.958049774169922,9.989754676818848,0.9968262700292472,0.19916099548339844,0.9958049774169921,True,25.719999318617226,0.38840415327611866,1.9420207663805933,0.19916099548339844,0.9958049774169921,2.4165166328266143,-0.031704783439950646,0.019923392683267593,0.04414474070072174,0.033914464461367574,True,True,35.68,0.010991751031487345,0.26461195945739746,0.003447502851486206,0.07998191358797219,-9.968295097351074,0.012040317058563232,0.23467803001403806,0.08183815330266953,0.0806330218911171,0.19798064231872559,0.24558065831661224,0.19938240945339203,0.9969120472669601,0.2022039294242859,5.676278591156006,0.2653582990169525
1,1,straight,,0.2,0.23184999078512192,,random,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2932;0.2100;0.2500;0.2100;0.1705;0.2500;0.2932;0.2500,12,12,12,2.143417663003602e-06,True,50.0,0.05490440502726375,0.032296184450387955,0.025445684790611267,0.03640410676598549,0.029013846069574356,9.99203211069107,249,0.09900557663920961,9.99202543497117,9.992025375366211,9.992025375366211,0.999999994034747,0.1998405075073242,0.999202537536621,True,24.86,0.40193183567864726,2.0096591783932363,0.1998405075073242,0.999202537536621,2.5441375812872886,-5.96049591905512e-08,0.0507306344807148,0.10567113235592838,0.09900557663920961,True,True,35.7,0.0724046731500243,0.051535606384277344,0.04123315215110779,0.07988866597664451,-10.0881986618042,0.04497802257537842,0.04381376901735503,0.24104471504688263,0.11342141032218933,0.20286144316196442,0.3073386251926422,0.2016800493001938,1.008400246500969,0.25509321689605713,5.874851703643799,0.2870718538761139
2,2,straight,,0.2,0.23184999078512192,,random,0.8,0.2100;0.2932;0.2500;0.2100;0.1705;0.2100;0.2932;0.2500;0.1705;0.2932;0.2500;0.2100;0.2932,12,12,12,2.143417663003602e-06,True,50.0,0.053902672427583426,0.02796471305191517,0.016831625252962112,0.029478957876563072,0.018492205068469048,9.982133388519287,249,0.08717049158001616,9.982126712799387,9.897146224975586,9.982126235961914,0.9914867352149681,0.19794292449951173,0.9897146224975586,False,nan,nan,nan,0.19794292449951173,0.9897146224975586,2.4607227453049663,-0.08498048782380074,0.04390428587794304,0.08903369680047028,0.08717049158001616,True,True,35.660000000000004,0.11122773839580334,0.08208274841308594,0.009479880332946777,0.07992502063830376,-9.915019989013672,-0.019419729709625244,0.03976893424987793,0.200593963265419,0.16283561289310455,0.1974962204694748,0.30431222915649414,0.19810549914836884,0.9905274957418442,0.2733615040779114,5.773904323577881,0.2978430688381195
3,0,straight,,0.4,0.23184999078512192,,random,0.8,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705,12,12,11,2.143417663003602e-06,True,50.0,0.03180532061924834,0.02929193153977394,0.01879994571208954,0.02423074282705784,0.015780560672283173,10.000006675720215,249,0.03820739751333046,10.000000000000314,9.961925506591797,10.0,0.9961925506591484,0.19923851013183594,0.49809627532958983,True,16.78,0.5959475566150366,1.4898688915375915,0.19923851013183594,0.49809627532958983,0.8249450296499868,-0.03807449340851754,0.013481361791491508,0.029246234893798826,0.03820739751333046,True,True,20.84,0.026605631617184135,0.07351994514465332,0.0007187426090240479,0.07984644913627637,-9.961925506591797,-0.0031849145889282227,0.22197771072387698,0.01058198418468237,0.08314969390630722,0.19783049821853638,0.2616889774799347,0.19947543740272522,0.49868859350681305,0.18552425503730774,4.734784126281738,0.27130231261253357
4,1,straight,,0.4,0.23184999078512192,,random,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2932;0.2100;0.2500;0.2100;0.1705;0.2500;0.2932;0.2500,12,12,11,2.143417663003602e-06,True,50.0,0.06711735513712411,0.03897121548652649,0.03142942115664482,0.036475226283073425,0.02975407801568508,10.000006675720215,249,0.07913966635532389,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,18.44,0.5422993492407979,1.3557483731019948,0.2,0.5,0.6972602617425104,-3.1441516057384433e-13,0.06350143253803253,0.12566159516572944,0.07913966635532389,True,True,20.84,0.14731104694686295,0.05034661293029785,0.04074341058731079,0.07984644913627637,-10.058127403259277,0.05370473861694336,0.1831345558166504,0.32838544249534607,0.21048502624034882,0.20231735706329346,0.32719001173973083,0.2014489620923996,0.503622405230999,0.26560720801353455,5.681075572967529,0.2885623276233673
5,2,straight,,0.4,0.23184999078512192,,random,0.8,0.2100;0.2932;0.2500;0.2100;0.1705;0.2100;0.2932;0.2500;0.1705;0.2932;0.2500;0.2100;0.2932,12,12,11,2.143417663003602e-06,True,50.0,0.05416356865284586,0.030767377465963364,0.017853450030088425,0.025940435007214546,0.016308804973959923,10.000006675720215,249,0.014713018344464698,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.5,True,19.580000000000002,0.5107252298263695,1.2768130745659236,0.2,0.5,0.8132964251546045,-3.1441516057384433e-13,0.043284475803375244,0.08686992488801479,0.014713018344464698,True,True,20.84,0.056936517424184346,0.05266577402223784,0.0103798508644104,0.07984644913627637,-10.003191947937012,0.014361739158630371,0.32183337211608887,0.2231663465499878,0.21135267615318298,0.2008526772260666,0.29790186882019043,0.2008102536201477,0.5020256340503693,0.2840254306793213,5.559075355529785,0.3051874041557312
6,0,straight,,0.6,0.23184999078512192,,random,0.8,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705,12,12,11,2.143417663003602e-06,True,50.0,0.02753092975989253,0.031201399862766266,0.02012845128774643,0.023012837395071983,0.014666009694337845,9.994312763214111,249,0.006490025711537243,9.994306087494211,9.987974166870117,9.994306564331055,0.9993664471981685,0.19975948333740234,0.3329324722290039,True,15.039995353162915,0.6645152377252833,1.1075253962088056,0.19975948333740234,0.3329324722290039,0.16428266894399016,-0.006331920624093712,0.01397031545639038,0.03101003021001813,0.006490025711537243,True,True,14.76,0.11598274033769387,0.03777194023132324,0.0031315386295318604,0.06928941059887894,-9.993668556213379,-0.001426786184310913,0.43828773498535156,0.10042733699083328,0.07257679104804993,0.19777877628803253,0.2608422338962555,0.1999429315328598,0.33323821922143304,0.18383915722370148,5.558920860290527,0.2727031707763672
7,1,straight,,0.6,0.23184999078512192,,random,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2932;0.2100;0.2500;0.2100;0.1705;0.2500;0.2932;0.2500,12,12,11,2.143417663003602e-06,True,50.0,0.058547172755400015,0.04520311579108238,0.037684034556150436,0.03677720949053764,0.0313664935529232,9.992939114570618,249,0.028849527412000413,9.992932438850717,9.992932319641113,9.992932319641113,0.9999999880706084,0.19985864639282228,0.33309774398803715,True,17.580000000000002,0.5684261910609053,0.9473769851015089,0.19985864639282228,0.33309774398803715,0.05961977579266545,-1.1920960396594182e-07,0.0567668154835701,0.11245223991572852,0.028849527412000413,True,True,17.18,0.09927414905391736,0.17621684074401858,0.04691404104232788,-0.023896503115421908,-10.020750045776367,0.020042359828948975,0.13315773010253906,0.23138529062271118,0.3313824534416199,0.19983923435211182,0.32232630252838135,0.200470432639122,0.33411738773187005,0.27128028869628906,5.614509105682373,0.2958908677101135
8,2,straight,,0.6,0.23184999078512192,,random,0.8,0.2100;0.2932;0.2500;0.2100;0.1705;0.2100;0.2932;0.2500;0.1705;0.2932;0.2500;0.2100;0.2932,12,12,11,2.143417663003602e-06,True,50.0,0.04855791905706995,0.035057183355093,0.021172892302274704,0.02292848937213421,0.01429597195237875,9.999976992607117,249,0.1378017947671305,9.999970316887216,9.999970436096191,9.999970436096191,1.000000011920933,0.19999940872192382,0.33333234786987304,True,17.93999897750781,0.5574119780845379,0.9290199634742299,0.19999940872192382,0.33333234786987304,0.11954569212035719,1.1920897513562068e-07,0.04115254804491997,0.08791643790900705,0.1378017947671305,True,True,16.3,0.1199621369377892,0.023206710815429688,0.006098359823226929,0.006174176456006708,-10.137358665466309,0.011041402816772461,0.25919198989868164,0.26659145951271057,0.2997759282588959,0.20256316661834717,0.31444251537323,0.20298978686332703,0.3383163114388784,0.28340479731559753,5.298786163330078,0.29919376969337463
9,0,straight,,0.8,0.23184999078512192,,random,0.8,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932;0.2500;0.1705;0.2500;0.1705,12,12,10,2.143417663003602e-06,True,50.0,0.03100195751326148,0.031854938715696335,0.0197653416544199,0.022688690572977066,0.014857357367873192,10.000006675720215,249,0.05470883682794427,10.000000000000314,9.94990348815918,10.0,0.9949903488158867,0.1989980697631836,0.2487475872039795,True,14.88,0.6720430107527092,0.8400537634408864,0.1989980697631836,0.2487475872039795,0.26362844288372744,-0.05009651184113473,0.014158403500914574,0.030883443355560262,0.05470883682794427,True,False,nan,nan,nan,nan,nan,-9.94990348815918,0.021985411643981934,0.2490863800048828,0.15966276824474335,0.08255983144044876,0.19698819518089294,0.26031118631362915,0.199381023645401,0.24922627955675125,0.18260051310062408,4.86183500289917,0.27975085377693176
10,1,straight,,0.8,0.23184999078512192,,random,0.8,0.1705;0.2100;0.2500;0.2932;0.1705;0.2932;0.2100;0.2500;0.2100;0.1705;0.2500;0.2932;0.2500,12,12,10,2.143417663003602e-06,True,50.0,0.06980716398394723,0.04462611302733421,0.035045985132455826,0.033704403787851334,0.027537908405065536,10.000006675720215,249,0.07709049805654884,10.000000000000314,10.0,10.0,0.9999999999999686,0.2,0.25,True,15.36,0.6510416666666872,0.8138020833333589,0.2,0.25,0.2144375095012163,-3.1441516057384433e-13,0.06721311807632446,0.14545080214738842,0.07709049805654884,True,False,nan,nan,nan,nan,nan,-10.074161529541016,0.021046996116638184,0.24789929389953613,0.3356704115867615,0.1755787432193756,0.20011447370052338,0.32975685596466064,0.20177489519119263,0.2522186189889908,0.2681855857372284,5.710620880126953,0.29342225193977356
