scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,procedural,,0.2,0.1705,,,constant,nan,,0,0,0,0.26524106712701556,True,False,False,24.0,0.04262647865517837,0.027631549164652824,0.024756796658039093,0.043069967627525324,0.725,0.027631549164652824,0.024756796658039093,3.9884544610977173,100,0.12556009801629414,3.9884550244751784,3.988454818725586,3.988454818725586,0.9999999484137113,0.16618561744689941,0.8309280872344971,False,nan,nan,nan,0.16618561744689941,0.8309280872344971,0.28937519078996227,-2.0574959247454672e-07,0.041227299720048904,0.10664875321090216,0.12555968477446988,True,True,True,19.84,0.1140231096873949,0.1431429386138916,0.022861331701278687,0.0010309992174989124,0.02505181809461085,0.9323299007785296,True,True,True,True,-3.421184778213501,1.6559388637542725,0.30359768867492676,0.08298896998167038,0.09382156282663345,0.16856464743614197,0.22263318300247192,0.1696363389492035,0.8481816947460175,0.14993365108966827,6.982247352600098,0.29987266659736633
1,1,procedural,,0.2,0.1705,,,constant,nan,,0,0,0,0.4011198061854099,True,False,False,24.0,0.049893676642068806,0.02653772383928299,0.023883415386080742,0.04100091978907585,0.7491666666666666,0.02653772383928299,0.023883415386080742,3.9857173562049866,100,0.12375445526468015,3.9857182791049373,3.894001007080078,3.985194683074951,0.9769885211140774,0.16225004196166992,0.8112502098083496,False,nan,nan,nan,0.16225004196166992,0.8112502098083496,0.31028947456231376,-0.09171727202485913,0.025637542828917503,0.06173351742327211,0.1237551136819973,True,True,True,19.52,0.11268085378353782,0.05191195011138916,0.009174942970275879,0.004186387249228346,0.02416630086906168,0.9446451039270336,True,True,True,True,-2.4005651473999023,2.550215244293213,0.209253191947937,0.1291721910238266,0.19205938279628754,0.16034701466560364,0.23236386477947235,0.16195344924926758,0.8097672462463379,0.15155161917209625,7.143376350402832,0.29571691155433655
2,0,procedural,,0.3,0.1705,,,constant,nan,,0,0,0,0.26524106712701556,True,False,False,24.0,0.063331439695981,0.02319398894906044,0.01906309649348259,0.037287709861993784,0.8258333333333333,0.02319398894906044,0.01906309649348259,3.976055383682251,100,0.08239062269410097,3.976055947059712,3.9393489360809326,3.976055860519409,0.990767984287061,0.1641395390033722,0.5471317966779073,True,13.280000000000001,0.2994018032424482,0.9980060108081606,0.1641395390033722,0.5471317966779073,0.05695244391513768,-0.036707010978779486,0.05280698090791702,0.09524132534861565,0.08239087369073701,True,True,True,13.02,0.11887658220946311,0.09272146224975586,0.020211294293403625,0.005380641095216021,0.026673941020072527,0.9528001652825601,True,True,True,True,-3.3692164421081543,1.5375144481658936,0.16519689559936523,0.1408604085445404,0.11361148953437805,0.1618470400571823,0.25080907344818115,0.16364702582359314,0.5454900860786438,0.15869024395942688,8.925091743469238,0.3112744688987732
3,1,procedural,,0.3,0.1705,,,constant,nan,,0,0,0,0.4011198061854099,True,False,False,24.0,0.08068230693989382,0.02331238053739071,0.019649140536785126,0.037100573629140855,0.7941666666666667,0.02331238053739071,0.019649140536785126,3.985744923353195,100,0.14721558274329946,3.985745846253146,3.852450370788574,3.985745906829834,0.9665569555595528,0.16051876544952393,0.5350625514984131,True,13.359999681587762,0.29833427703940346,0.9944475901313449,0.16051876544952393,0.5350625514984131,0.07780995423552738,-0.13329547546457166,0.04136599227786064,0.07481020204722881,0.14721639279010626,True,True,True,12.96,0.11264513033809415,0.08569204807281496,0.02793760597705841,0.007542117766446421,0.02654646701562235,0.9737898937484566,True,True,True,True,-2.4183406829833984,2.5099589824676514,0.2086416482925415,0.058842893689870834,0.1009492576122284,0.15746115148067474,0.24230769276618958,0.16007636487483978,0.5335878829161327,0.15970763564109802,8.002492904663086,0.3093923032283783
4,0,procedural,,0.4,0.1705,,,constant,nan,,0,0,0,0.26524106712701556,True,False,False,24.0,0.07577435541207016,0.021027367562055588,0.015587892383337021,0.038539519906044005,0.8216666666666667,0.021027367562055588,0.015587892383337021,3.997757375240326,100,0.09202703869182204,3.997757938617787,3.997757911682129,3.997757911682129,0.9999999932623089,0.1665732463200887,0.41643311580022174,True,10.1,0.3958176176849294,0.9895440442123234,0.1665732463200887,0.41643311580022174,0.08458863554257418,-2.693565814837484e-08,0.07511774450540543,0.11313447207212449,0.09202703701553927,True,True,True,9.86,0.11401831947310327,0.07835912704467773,0.02422688901424408,0.005452123592067648,0.02798352956477455,0.9285373395056966,True,True,True,True,-3.3710482120513916,1.578718900680542,0.13935637474060059,0.12175905704498291,0.12267595529556274,0.16148880124092102,0.2365356683731079,0.16615472733974457,0.4153868183493614,0.1581508368253708,9.978824615478516,0.30716264247894287
5,1,procedural,,0.4,0.1705,,,constant,nan,,0,0,0,0.4011198061854099,True,False,False,24.0,0.08648437950865306,0.020245825871825218,0.015148669481277466,0.03690957427024841,0.8708333333333333,0.020245825871825218,0.015148669481277466,3.99412539601326,100,0.12389792117663471,3.9941263189132106,3.8975131511688232,3.994126319885254,0.9758111887230758,0.16239638129870096,0.4059909532467524,True,10.079999997415994,0.3962426904699508,0.990606726174877,0.16239638129870096,0.4059909532467524,0.15550395930413194,-0.09661316774438733,0.06008761003613472,0.0939953826367855,0.12389861690750612,True,True,True,9.88,0.11418755819920333,0.047984242439270026,0.01622951030731201,0.004263797460851204,0.025218503920159147,0.9484069801177311,True,True,True,True,-2.4060750007629395,2.545316696166992,0.2361506223678589,0.11593969166278839,0.05064333975315094,0.15770404040813446,0.2355458289384842,0.1621577888727188,0.405394472181797,0.16321036219596863,10.222957611083984,0.3044707775115967
6,0,coherent_smooth,,0.2,0.1705,,,constant,nan,,0,0,0,0.24067607800037794,True,False,False,24.0,0.04244223085919997,0.026904411613941193,0.024534093216061592,0.04042670503258705,0.7491666666666666,0.026904411613941193,0.024534093216061592,4.0,100,0.129063829243815,3.999999857495506,3.9092161655426025,3.999999761581421,0.9773040762032064,0.16288400689760843,0.8144200344880421,True,20.04,0.19960079129219094,0.9980039564609546,0.16288400689760843,0.8144200344880421,0.2907352208762586,-0.09078369195290348,0.02493518590927124,0.056929043494164944,0.129063829243815,True,True,True,19.66,0.11982945115024904,0.0029120445251464844,0.018446803092956543,0.0034587923446340596,0.02650952844259571,0.9241379364903904,True,True,True,True,-3.469541072845459,-1.4749083518981934,0.17809367179870605,0.06328319758176804,0.19356264173984528,0.1619807630777359,0.2154701203107834,0.16391728818416595,0.8195864409208298,0.15077418088912964,6.7258687019348145,0.2992856800556183
7,1,coherent_smooth,,0.2,0.1705,,,constant,nan,,0,0,0,0.12419875870903654,True,False,False,24.0,0.048262558001067636,0.02727518230676651,0.024260537698864937,0.04236943125724792,0.7033333333333334,0.02727518230676651,0.024260537698864937,3.986169457435608,100,0.13303031614119568,3.9861688913722877,3.865098476409912,3.98616886138916,0.9696273744887173,0.161045769850413,0.805228849252065,True,20.22,0.1971399056069381,0.9856995280346904,0.161045769850413,0.805228849252065,0.33626243984509596,-0.12107041496237558,0.028125742450356483,0.06427363604307174,0.13303031614119568,True,True,True,19.88,0.11872730701216204,0.00821727117429536,0.031626924872398376,0.0005115136505174922,0.025170433445375735,0.9274237132828463,True,True,True,True,-3.667693853378296,1.1469943523406982,0.18045276006589692,0.1245165541768074,0.10601738095283508,0.16053301095962524,0.2231573760509491,0.16110585629940033,0.8055292814970016,0.14995475113391876,6.515751838684082,0.2990214228630066
8,0,coherent_smooth,,0.3,0.1705,,,constant,nan,,0,0,0,0.24067607800037794,True,False,False,24.0,0.10191112175972479,0.022877145558595657,0.018319737166166306,0.03797440752387046,0.805,0.022877145558595657,0.018319737166166306,4.0,100,0.1698435213183235,3.999999857495506,3.855193614959717,3.999999761581421,0.9637984380763314,0.1606330672899882,0.535443557633294,True,13.52,0.2958579776254073,0.9861932587513577,0.1606330672899882,0.535443557633294,0.09710260109687778,-0.14480624253578922,0.052579544484615326,0.08714983463287353,0.1698435213183235,True,True,True,13.1,0.12004013871276303,0.003094196319580078,0.02041676640510559,0.00534350057217603,0.02565730218101163,0.9519843925284291,True,True,True,True,-3.4227280616760254,-1.448974609375,0.16337800025939941,0.011509920470416546,0.09642714262008667,0.15855392813682556,0.22001582384109497,0.16114310920238495,0.5371436973412832,0.15509724617004395,8.44813060760498,0.3016853928565979
9,1,coherent_smooth,,0.3,0.1705,,,constant,nan,,0,0,0,0.12419875870903654,True,False,False,24.0,0.06159393062531033,0.022775178775191307,0.018320655450224876,0.039106778055429454,0.8141666666666667,0.022775178775191307,0.018320655450224876,4.000000476837158,100,0.09386857590010556,3.999999910773838,3.9678988456726074,4.0,0.9919747335456764,0.16532911856969199,0.5510970618989733,True,13.539993076010207,0.2954211193697676,0.984737064565892,0.16532911856969199,0.5510970618989733,0.06066286284346394,-0.032101065101230564,0.053902097046375275,0.10119775049388409,0.09386857590010556,True,True,True,13.26,0.11983926821785448,0.10412448247800629,0.028222203254699707,0.0016591184595654562,0.024697161020619578,0.9464657984328075,True,True,True,True,-3.73030424118042,1.2152578830718994,0.24901073774228855,0.07539614289999008,0.09768929332494736,0.16424773633480072,0.24731440842151642,0.1659241020679474,0.5530803402264913,0.15857328474521637,8.98719596862793,0.3066765367984772
