scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,procedural,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.04715134631290959,0.024158209562301636,0.017940325662493706,0.0415646031498909,0.8175,0.026407824829220772,0.018880577757954597,3.9999990463256836,100,0.10532148257005895,3.9999999556137107,3.9422647953033447,4.0,0.985566209762243,0.16426103313763937,0.8213051656881968,True,20.059999832566245,0.19940179406781167,0.9970089703390583,0.16426103313763937,0.8213051656881968,0.2863644310444486,-0.05773516031036596,0.04040751978754997,0.08566767573356628,0.10532198150465566,True,True,True,19.8,0.11305058771274565,0.04913050333131987,0.023549824953079224,0.0020201997784702053,0.02084622282670379,0.9097041775725601,True,True,True,True,-3.9431374073028564,0.10496270656585693,0.23656702041625977,0.10109200328588486,0.116893470287323,0.16409721970558167,0.22272495925426483,0.16479088366031647,0.8239544183015823,0.20443572103977203,6.937351226806641,0.3133258819580078
1,0,procedural,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.04554542116503494,0.02527659386396408,0.018415069207549095,0.04286993145942688,0.83,0.03993631526827812,0.02340545505285263,3.9999990463256836,100,0.13575053450729993,3.9999999556137107,3.875664234161377,4.0,0.9689160692919915,0.16148600975672403,0.8074300487836201,True,20.11999987634036,0.19880715607346583,0.9940357803673291,0.16148600975672403,0.8074300487836201,0.3087407483967818,-0.12433572145233374,0.03875947371125221,0.08229800835251808,0.13575136801894994,True,True,True,19.86,0.12184789717852532,0.08147168159484863,0.013305127620697021,0.0014098668486259014,0.017134027021474815,0.9487265082363987,True,True,True,True,-3.876098871231079,0.0719497799873352,0.003814220428466797,0.10609982907772064,0.13845942914485931,0.16079941391944885,0.21688547730445862,0.1619361937046051,0.8096809685230255,0.22837738692760468,6.18997859954834,0.3417644202709198
2,0,procedural,,0.2,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.050528422396357055,0.03226526826620102,0.017875701189041138,0.03975647613406176,0.9,0.02133307419717312,0.014985941350460052,3.9999990463256836,100,0.10746347722058663,3.9999999556137107,3.900538682937622,4.0,0.975134681555058,0.1625224451224009,0.8126122256120045,True,19.95999973189863,0.20040080207121444,1.0020040103560721,0.1625224451224009,0.8126122256120045,0.2888697059953356,-0.09946127267608862,0.036639079451560974,0.07304156124591828,0.10746431922770784,True,True,True,19.7,0.11456305654478344,0.001489400863647461,0.014933764934539795,0.00304568302607669,0.015229353671925065,0.9670417980937497,True,True,True,True,-3.900862455368042,0.057972848415374756,0.20015501976013184,0.07172297686338425,0.13418544828891754,0.16170504689216614,0.22280524671077728,0.16278107464313507,0.8139053732156754,0.22808115184307098,6.665304660797119,0.311116099357605
3,0,procedural,,0.2,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.04252530989474976,0.027422890067100525,0.021433308720588684,0.0449570871889591,0.7333333333333333,0.04336964339017868,0.027159309014678,3.9999990463256836,100,0.06644495043155839,3.9999999556137107,3.943434953689575,4.0,0.9858587493620468,0.16430978973706564,0.8215489486853281,True,20.139999263715282,0.19860973693381453,0.9930486846690726,0.16430978973706564,0.8215489486853281,0.22064236861419678,-0.056565001924135494,0.03994334489107132,0.08681049346923828,0.06644572480832252,True,True,True,19.8,0.1261747827606109,0.09062242507934569,0.018954157829284668,0.0020201997784702053,0.020172217529106848,0.9454272638576328,True,True,True,True,-3.9437177181243896,0.051728785037994385,0.07746386528015135,0.04646110534667969,0.12032314389944077,0.16391399502754211,0.21682721376419067,0.16485394537448883,0.8242697268724442,0.20454709231853485,6.128238201141357,0.33511433005332947
4,0,procedural,,0.45,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.06718931354796569,0.028801463544368744,0.01714494079351425,0.04109862595796584,0.8658333333333333,0.022609768435359,0.015156148001551628,3.9700710773468018,100,0.04746941986243265,3.970071986634829,3.9396955966949463,3.970072031021118,0.9923486551271251,0.16415398319562277,0.36478662932360617,True,8.859999917863941,0.4480893931646868,0.9957542070326374,0.16415398319562277,0.36478662932360617,0.1127040545840526,-0.030376389939882564,0.06316985934972763,0.09603858664631844,0.04747000171752144,True,True,True,8.66,0.11447603015508775,0.008312225341796875,0.031241849064826965,0.008437873745361257,0.03137176665202125,0.8309208553216303,True,True,True,True,-3.9699461460113525,0.053072988986968994,0.3037078380584716,0.3077593743801117,0.27123433351516724,0.1631062626838684,0.2766776382923126,0.16431604325771332,0.3651467627949185,0.17634126543998718,10.183362007141113,0.324434369802475
5,0,procedural,,0.45,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.0963651557033008,0.02048391103744507,0.011978868395090103,0.03625301197171211,0.935,0.04155512899160385,0.01970547065138817,3.9798894822597504,100,0.08820806301874501,3.9798903915477775,3.9030752182006836,3.9798903465270996,0.9806991736480409,0.16262813409169516,0.36139585353710035,True,8.98,0.4431949211077703,0.9848776024617117,0.16262813409169516,0.36139585353710035,0.11661486641418438,-0.07681517334709387,0.0526944175362587,0.08760706745088098,0.08820885514073665,True,True,True,8.700000000000001,0.12338136078929635,0.18697190284729004,0.0075623393058776855,0.007458665695146749,0.014821358138718257,0.9425881516176746,True,True,True,True,-3.923563003540039,0.06045126914978027,0.10975772539247709,0.11987321078777313,0.19107364118099213,0.15909060835838318,0.26956313848495483,0.16276103258132935,0.3616911835140652,0.26931270956993103,7.409672260284424,0.3842826187610626
6,0,procedural,,0.45,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.06767137194423577,0.031078031286597252,0.018343420699238777,0.041406238824129075,0.8925,0.02102416381239891,0.015069201588630676,3.9999990463256836,100,0.11778748678757002,3.9999999556137107,4.0,4.0,1.0000000110965725,0.16666666666666666,0.37037037037037035,True,8.959999871540735,0.4464285728751783,0.992063495278174,0.16666666666666666,0.37037037037037035,0.08592838137929576,4.438628931069388e-08,0.06361102312803268,0.10488333106040955,0.11778730855463382,True,True,True,8.6,0.11810669750078259,0.021098200474874564,0.019139155745506287,0.01511627390857101,0.02876889769868736,0.8521052534353225,True,True,True,True,-4.024332523345947,0.13146501779556274,0.3674323558807373,0.13535667955875397,0.23584622144699097,0.1679888516664505,0.29651957750320435,0.16793306171894073,0.37318458159764606,0.1879454255104065,10.070443153381348,0.3348599970340729
7,0,procedural,,0.45,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,0.008146668661895928,True,False,False,24.0,0.10021993042461919,0.021286189556121826,0.013909515924751759,0.04020789191126822,0.9133333333333333,0.041547369211912155,0.02175125665962696,3.9999990463256836,100,0.1433311206958285,3.9999999556137107,3.8672304153442383,4.0,0.9668076145643102,0.16113460063934326,0.3580768903096517,True,9.019999562262894,0.44345899664436456,0.9854644369874768,0.16113460063934326,0.3580768903096517,0.15618204367003255,-0.1327695402694724,0.04815911129117012,0.08324893787503242,0.14333196362305395,True,True,True,8.74,0.14050671349356955,0.16942596435546878,0.004429936408996582,0.007665898811637373,0.018515817814001308,0.9204582608803967,True,True,True,True,-3.8676605224609375,0.07154601812362671,0.020215988159179688,0.14450761675834656,0.14684872329235077,0.15923677384853363,0.2700614035129547,0.16153652966022491,0.3589700659116109,0.2595721185207367,7.474705219268799,0.38016727566719055
8,0,coherent_smooth,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.3725541794340309,True,False,False,24.0,0.04372234818102395,0.01966002956032753,0.015261831693351269,0.03618230521678924,0.9083333333333333,0.023888586089015007,0.01676202565431595,3.989827126264572,100,0.1155592035093517,3.989827460976619,3.8898775577545166,3.9898273944854736,0.9749488156568964,0.16207823157310486,0.8103911578655243,True,19.98,0.1996910641129439,0.9984553205647195,0.16207823157310486,0.8103911578655243,0.3012864313918289,-0.09994990322210251,0.03936222195625305,0.06485613845288754,0.11555950032960947,True,True,True,19.68,0.11646566867988056,0.03736162185668945,0.01755070686340332,0.0027351352122265693,0.017178460502314127,0.965446049115331,True,True,True,True,-2.4315121173858643,-2.5118563175201416,0.15177416801452637,0.18137803673744202,0.1767634004354477,0.15905117988586426,0.21883666515350342,0.15973520278930664,0.7986760139465332,0.21083153784275055,6.541245460510254,0.31793108582496643
9,0,coherent_smooth,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.3725541794340309,True,False,False,24.0,0.041400334085300944,0.02551494911313057,0.01921888068318367,0.04152377843856811,0.82,0.040746644139289856,0.024331379681825638,3.995938718318939,100,0.10227257131245686,3.995939053030986,3.9150867462158203,3.995939016342163,0.97976638138316,0.16312861442565918,0.8156430721282959,True,20.080000000000002,0.1990009488561248,0.9950047442806239,0.16312861442565918,0.8156430721282959,0.3915593418464729,-0.08085230681516586,0.035182639956474304,0.07003998979926108,0.10227284495664841,True,True,True,19.88,0.12148326575115648,0.07245862483978271,0.023978084325790405,0.0010029704743956813,0.017140861457292583,0.9367636868339779,True,True,True,True,-2.4383480548858643,-2.5302743911743164,0.10006773471832275,0.1763487607240677,0.10160825401544571,0.16249842941761017,0.21565841138362885,0.16251736879348755,0.8125868439674377,0.21906888484954834,5.882606029510498,0.3254871368408203
10,0,coherent_smooth,,0.2,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,0.3725541794340309,True,False,False,24.0,0.05112879770599569,0.020056769251823425,0.01326554175466299,0.03239433467388151,0.9366666666666666,0.021038465201854706,0.013594334945082664,3.999999523162842,100,0.14874635581558485,3.9999998578748888,3.999999761581421,3.999999761581421,0.9999999759266321,0.1666666567325592,0.833333283662796,True,20.080000000000002,0.19920318017305222,0.996015900865261,0.1666666567325592,0.833333283662796,0.30610197615935403,-9.629346786610427e-08,0.049921080470085144,0.11939528845250605,0.14874603251674318,True,True,True,19.6,0.1206583272268196,0.0788869857788086,0.02851925790309906,0.0040816254017800035,0.013514467201982289,0.9816859175658608,True,True,True,True,-2.4344491958618164,-2.7584404945373535,0.22162222862243652,0.22336426377296448,0.23580676317214966,0.16746103763580322,0.21774201095104218,0.17145706713199615,0.8572853356599808,0.23340822756290436,7.389926433563232,0.32067587971687317
11,0,coherent_smooth,,0.2,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,0.3725541794340309,True,False,False,24.0,0.044374451287121995,0.025338497012853622,0.01961676776409149,0.0410527415573597,0.8033333333333333,0.03999460116028786,0.02472926676273346,3.999999523162842,100,0.06952395370352507,3.9999998578748888,3.9340662956237793,3.999999761581421,0.9835166088515467,0.16391942898432413,0.8195971449216206,True,20.080000000000002,0.19920318017305222,0.996015900865261,0.16391942898432413,0.8195971449216206,0.2420694689165205,-0.06593356225110947,0.03953326866030693,0.0841790795326233,0.06952427350147553,True,True,True,19.8,0.12207370563374248,0.08296811580657959,0.014224827289581299,0.00202019484216609,0.019243458936315978,0.9389184175382768,True,True,True,True,-2.4013185501098633,-2.5501902103424072,0.06754624843597412,0.10995345562696457,0.1825256198644638,0.16445620357990265,0.22228319942951202,0.1650426685810089,0.8252133429050446,0.20529243350028992,6.287737846374512,0.33462074398994446
