scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,straight,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.056763397793395766,0.02617308311164379,0.0170168224722147,0.04212453663349151,0.8475,0.024988502264022827,0.016828324645757675,4.000000476837158,100,0.1021620392390914,4.000000000000133,3.9154052734375,4.0,0.9788513183593424,0.16314188639322916,0.8157094319661458,True,20.18,0.19821605550050214,0.9910802775025107,0.16314188639322916,0.8157094319661458,0.2818774373347784,-0.08459472656263323,0.05081085115671158,0.10066532194614397,0.1021620392390914,True,True,True,20.02,0.1124579736736679,0.09252840677370269,0.0020506680011749268,-0.0001998001997935428,0.017349002144681245,0.9208175002422907,True,True,True,True,-3.9154052734375,0.05727803707122803,0.18035680452455718,0.04012757167220116,0.0779082179069519,0.16339240968227386,0.22687022387981415,0.16370783746242523,0.8185391873121262,0.20612287521362305,6.7973432540893555,0.32201921939849854
1,0,straight,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.041154183153516835,0.024816961959004402,0.018235374242067337,0.045119201391935336,0.8233333333333334,0.04086144268512726,0.023347871378064156,4.000000476837158,100,0.10104026877079747,4.000000000000133,3.8993563652038574,4.0,0.9748390913009319,0.16247318188349405,0.8123659094174702,True,20.080000000000002,0.19920318725100264,0.9960159362550132,0.16247318188349405,0.8123659094174702,0.238665744184874,-0.1006436347962758,0.028490664437413216,0.0552489323541522,0.10104026877079747,True,True,True,19.78,0.1266700201817337,0.10451323190798004,0.016192346811294556,0.0022244691607751776,0.0164367159840969,0.9293477783649312,True,True,True,True,-3.8993563652038574,-0.008944332599639893,0.04326510429382324,0.16753725707530975,0.1660516858100891,0.16247029602527618,0.2173888087272644,0.16288329660892487,0.8144164830446243,0.2283257097005844,5.8404035568237305,0.3294405937194824
2,0,straight,,0.2,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.050916003416117565,0.023361200466752052,0.014595234766602516,0.038982304930686947,0.9116666666666666,0.022363094612956047,0.014380834996700287,3.9763667285442352,100,0.04204003594512693,3.9763662517072103,3.9406914710998535,3.9763662815093994,0.9910282961002297,0.1641954779624939,0.8209773898124695,True,20.059999933780393,0.1982236423147309,0.9911182115736545,0.1641954779624939,0.8209773898124695,0.334673707843331,-0.03567478060735674,0.04832563176751137,0.07434388883411881,0.04204003594512693,True,True,True,19.68,0.11314747875127114,0.06890273094177246,0.03902369737625122,0.0020511306761793746,0.015120300905246282,0.9683268338932879,True,True,True,True,-3.964325189590454,0.022240877151489258,0.19243318239320953,0.09992025792598724,0.16941772401332855,0.16398575901985168,0.21920086443424225,0.16422103345394135,0.8211051672697067,0.23356415331363678,6.366293430328369,0.3237907886505127
3,0,straight,,0.2,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.07965898614476702,0.028016019612550735,0.02280433475971222,0.043322771787643426,0.7308333333333333,0.045813340693712234,0.02985409088432789,3.9984847605228424,100,0.20607070675402173,3.9984842836858174,3.7943239212036133,3.9984843730926514,0.9489405614734571,0.15809683005015054,0.7904841502507527,True,20.139999846065663,0.1985344743916132,0.992672371958066,0.15809683005015054,0.7904841502507527,0.2932107257137829,-0.20416036248220415,0.032957158982753754,0.0757288798689842,0.20607070675402173,True,True,True,19.94,0.13225125509765734,0.06593686739076811,0.008962422609329224,0.0005257915589677586,0.020373960592074785,0.9706635515791988,True,True,True,True,-3.795839548110962,0.027993321418762207,0.028807465230123588,0.3176708519458771,0.12935882806777954,0.15901844203472137,0.2192205786705017,0.1582365185022354,0.7911825925111771,0.19922594726085663,5.905051231384277,0.3203074038028717
4,0,straight,,0.45,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.09119682912316972,0.03682616725564003,0.02145177684724331,0.08723576366901388,0.8558333333333333,0.023291150107979774,0.01693994365632534,4.000000476837158,100,0.1176210774283368,4.000000000000133,4.0,4.0,0.9999999999999667,0.16666666666666666,0.37037037037037035,True,9.02,0.4434589800443607,0.9854644000985793,0.16666666666666666,0.37037037037037035,0.0643546534105981,-1.3322676295501878e-13,0.09065276384353638,0.15667378976941107,0.1176210774283368,True,True,True,8.76,0.1182852634213786,0.054288212453023975,0.02339012920856476,0.006621004566225275,0.035046325335386486,0.8160239012698255,True,True,True,True,-4.108869552612305,0.04452085494995117,0.4933314959155484,0.3219047486782074,0.2228275090456009,0.1714005470275879,0.31694716215133667,0.1716812700033188,0.3815139333407084,0.17878414690494537,10.559106826782227,0.3374176323413849
5,0,straight,,0.45,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.07312327638808834,0.020272962749004364,0.013238055631518364,0.03339207842946052,0.9316666666666666,0.03880583867430687,0.01982562430202961,3.980725407600403,100,0.10411117224393922,3.980724930763378,3.9763717651367188,3.980724811553955,0.9989064389772281,0.16568215688069662,0.3681825708459925,False,nan,nan,nan,0.16568215688069662,0.3681825708459925,0.1319101606278466,-0.004353165626659106,0.047904662787914276,0.08617331795394419,0.10411117224393922,True,True,True,8.58,0.1360324598016834,0.1944730917560025,0.012824326753616333,0.013953954634426335,0.01811183682708353,0.9489599762852754,True,True,True,True,-3.9956467151641846,0.10401976108551025,0.12229091325868806,0.15991364419460297,0.2236291468143463,0.16016072034835815,0.28758180141448975,0.16590754687786102,0.36868343750635785,0.2681224048137665,7.777449131011963,0.38857409358024597
6,0,straight,,0.45,0.2800000011920929,0.6,walk_to_crouch,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.0900134338426608,0.030461877584457397,0.017471861094236374,0.03708407953381537,0.9033333333333333,0.02151561714708805,0.014903777278959751,4.000000476837158,100,0.1316680347726977,4.000000000000133,3.8732759952545166,4.0,0.968318998813597,0.16138649980227152,0.35863666622727003,True,9.040000000000001,0.44247787610620937,0.9832841691249097,0.16138649980227152,0.35863666622727003,0.11146469739038195,-0.12672400474561663,0.0624854601919651,0.09167586266994475,0.1316680347726977,True,True,True,8.58,0.1252295851637323,0.026336908340454105,0.01579451560974121,0.01620046620048171,0.028297698506033378,0.8683148516050134,True,True,True,True,-3.8732759952545166,0.03574174642562866,0.2147281805621548,0.4714020788669586,0.26092657446861267,0.16251830756664276,0.27758362889289856,0.1623602658510208,0.3608005907800462,0.18844391405582428,9.212653160095215,0.3293137550354004
7,0,straight,,0.45,0.2800000011920929,0.6,crouch_to_walk,constant,nan,,1,1,1,2.2068101356081064e-06,True,False,False,24.0,0.08339365001475946,0.022789549082517624,0.013226702809333801,0.03869692534208296,0.9016666666666666,0.04311308637261391,0.021167119964957237,4.000000476837158,100,0.15984040872540994,4.000000000000133,3.844580888748169,4.0,0.9611452221870103,0.16019087036450705,0.35597971192112676,True,9.02,0.4434589800443607,0.9854644000985793,0.16019087036450705,0.35597971192112676,0.12702449177651054,-0.15541911125196428,0.04765692353248596,0.09160425551235675,0.15984040872540994,True,True,True,8.78,0.14515390570646114,0.16496116319765286,0.008508890867233276,0.005580865603659835,0.020894366377855276,0.9510232281525329,True,True,True,True,-3.844580888748169,0.03733402490615845,0.02784997621645171,0.16355019807815552,0.0794445127248764,0.15837852656841278,0.2655692398548126,0.16071918606758118,0.35715374681684703,0.2605293393135071,6.752194881439209,0.3771776854991913
8,0,circle,,0.2,0.2800000011920929,0.4,walk_to_crouch,constant,nan,,1,1,1,0.6639431209223358,True,False,False,24.0,0.04854367281702747,0.020191019400954247,0.015588855370879173,0.03325534984469413,0.9191666666666667,0.023081934079527855,0.0166024137288332,4.000000476837158,71,0.13790289594518537,4.000000011613284,3.885756015777588,4.0,0.9714390011239978,0.1619065006573995,0.8095325032869974,True,20.240000000000002,0.19762845907180254,0.9881422953590127,0.1619065006573995,0.8095325032869974,0.2522516729363311,-0.11424399583569578,0.03707056865096092,0.07375310808420181,0.13790289594518537,True,True,True,19.7,0.12244589638639636,0.0560302734375,0.02817802131175995,0.0030456858686946087,0.01700514274582982,0.9683843430961026,True,True,True,True,-0.8233243823051453,-2.840360164642334,0.17197343707084653,0.19724905490875244,0.18832501769065857,0.15942677855491638,0.2231326848268509,0.16071169078350067,0.8035584539175034,0.20886999368667603,6.455348968505859,0.3193170428276062
9,0,circle,,0.2,0.2800000011920929,0.4,crouch_to_walk,constant,nan,,1,1,1,0.6639431209223358,True,False,False,24.0,0.05711389592376609,0.027114927768707275,0.019416164606809616,0.04847880527377128,0.8016666666666666,0.04153485223650932,0.024528663605451584,4.000000476837158,71,0.035856549373512445,4.000000011613284,3.967799425125122,4.0,0.9919498534013318,0.1653249760468801,0.8266248802344004,True,20.1,0.1990049757021534,0.9950248785107669,0.1653249760468801,0.8266248802344004,0.23583285232179863,-0.0322005864881616,0.05508183315396309,0.1499763123691082,0.035856549373512445,True,True,True,19.64,0.12176815805016093,0.0903768241405487,0.010594874620437622,0.003665988371348433,0.017646618495747012,0.886298304365098,True,True,True,True,-0.7213783860206604,-2.831915855407715,0.15111804008483887,0.30187201499938965,0.16378384828567505,0.1619204729795456,0.2115899622440338,0.16543744504451752,0.8271872252225876,0.22603264451026917,5.977235317230225,0.33745667338371277
