scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,transition_direction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,preview_height_changes,reference_curvature_abs_mean,survived,base_failure,physical_sanity_failure,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,height_abs_error_p95,height_within_0p03_fraction,preview_height_rmse,preview_height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_arrived,route_arrival_time_s,route_arrival_mean_speed_m_s,route_arrival_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,task_success_applicable,task_arrived,task_success,task_success_time_s,task_success_position_error_m,task_success_yaw_error_rad,task_success_height_error_m,task_success_mean_speed_error_m_s,task_success_profile_height_mae_m,task_success_profile_height_within_tolerance_fraction,task_success_yaw_ok,task_success_terminal_height_ok,task_success_mean_speed_ok,task_success_profile_height_ok,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
0,0,procedural,,0.2,0.2932,,,constant,nan,,0,0,0,0.026298097334341106,True,False,False,24.0,0.058926608193767986,0.009551222436130047,0.007789414841681719,0.01743926107883453,0.9966666666666667,0.009551222436130047,0.007789414841681719,4.0,100,0.14068921610915872,4.000000013431004,3.8721280097961426,4.0,0.9680319991986253,0.16133866707483926,0.8066933353741963,True,20.1,0.19900497579258725,0.9950248789629362,0.16133866707483926,0.8066933353741963,0.4313412823815133,-0.1278720036348613,0.05218200758099556,0.09027034007012844,0.14068922828300937,True,True,True,19.900000000000002,0.14457874723135966,0.12559301057924468,0.015645086765289307,0.0010050258005529222,0.00810619315410353,1.0,True,True,True,True,-3.869628667831421,-0.03961896896362305,0.1425355116473599,0.09777137637138367,0.16075263917446136,0.16192324459552765,0.2215697169303894,0.1624109447002411,0.8120547235012054,0.28597909212112427,5.980382442474365,0.35756680369377136
1,1,procedural,,0.2,0.2932,,,constant,nan,,0,0,0,0.2688839189915193,True,False,False,24.0,0.05492000639120871,0.009349188767373562,0.007683788891881704,0.017708295583724974,1.0,0.009349188767373562,0.007683788891881704,3.9987963438034058,100,0.14451962666435572,3.998797715073554,3.862612247467041,3.99879789352417,0.9659433966631623,0.16094217697779337,0.8047108848889668,True,20.099999499447513,0.19894516490826125,0.9947258245413062,0.16094217697779337,0.8047108848889668,0.2808519976280891,-0.13618546760651284,0.043757759034633636,0.0833185732364654,0.14452093488834392,True,True,True,19.900000000000002,0.14361820218442672,0.16347885131835938,0.007923424243927002,0.0009446087976660023,0.00877620737783534,1.0,True,True,True,True,-3.2643487453460693,-1.785710334777832,0.19176816940307617,0.16680198907852173,0.17418713867664337,0.15776407718658447,0.22198791801929474,0.15950502455234528,0.7975251227617264,0.2861171364784241,5.8113226890563965,0.34455162286758423
2,0,procedural,,0.4,0.2932,,,constant,nan,,0,0,0,0.026298097334341106,True,False,False,24.0,0.09340480874180083,0.009877964854240417,0.007608562242239714,0.01767766773700714,0.985,0.009877964854240417,0.007608562242239714,4.0,100,0.10396244097762697,4.000000013431004,3.9301280975341797,4.0,0.982532021084447,0.16375533739725748,0.4093883434931437,True,10.040000000000001,0.39840637583974137,0.9960159395993534,0.16375533739725748,0.4093883434931437,0.07122214335026325,-0.06987191589682418,0.05065010115504265,0.08529879227280616,0.10396244998442093,True,True,True,9.88,0.12497505040899339,0.18462282816042144,0.030798763036727905,0.004858300954554973,0.009241119677244275,1.0,True,True,True,True,-3.9270877838134766,-0.02083873748779297,0.14457422891725738,0.15088124573230743,0.13276538252830505,0.1624896228313446,0.27070775628089905,0.16456113755702972,0.4114028438925743,0.2863583564758301,6.8999481201171875,0.36676424741744995
3,1,procedural,,0.4,0.2932,,,constant,nan,,0,0,0,0.2688839189915193,True,False,False,24.0,0.0882456049212004,0.011534520424902439,0.009762913919985294,0.020792435109615322,0.9983333333333333,0.011534520424902439,0.009762913919985294,3.9999985694885254,100,0.062190407767878056,3.9999999407586735,3.953855514526367,4.0,0.9884638932710699,0.16474397977193198,0.4118599494298299,True,10.199999770672697,0.3921568657540147,0.9803921643850367,0.16474397977193198,0.4118599494298299,0.06449626954738719,-0.0461444262323063,0.054007019847631454,0.0850961647927761,0.06219143669379797,True,True,True,9.9,0.13986252637930427,0.1294440031051636,0.008748561143875122,0.004040398056431638,0.012440983237474407,1.0,True,True,True,True,-3.3053719997406006,-1.867205262184143,0.1797938346862793,0.09923389554023743,0.13832692801952362,0.15942248702049255,0.2700313925743103,0.16282197833061218,0.40705494582653046,0.2839871346950531,6.800565719604492,0.38494426012039185
4,0,procedural,,0.6,0.2932,,,constant,nan,,0,0,0,0.026298097334341106,True,False,False,24.0,0.10722517149351324,0.011781087145209312,0.010102144442498684,0.021223656833171844,0.9991666666666666,0.011781087145209312,0.010102144442498684,4.0,100,0.17497086650564614,4.000000013431004,3.8260293006896973,4.0,0.956507321960711,0.1594178875287374,0.26569647921456235,True,6.78,0.5899705034559003,0.9832841724265006,0.1594178875287374,0.26569647921456235,0.09452175260744083,-0.1739707127413066,0.07988516986370087,0.1406939998269081,0.174970879848035,True,True,True,6.48,0.1379544009342296,0.04730111757387359,0.012646406888961792,0.01728395268996974,0.01189412591014168,1.0,True,True,True,True,-3.824084758758545,-0.07985076308250427,0.17757916450500488,0.06549745053052902,0.18845337629318237,0.1582402139902115,0.27688679099082947,0.16014865040779114,0.2669144173463186,0.28374171257019043,7.3942060470581055,0.41242656111717224
5,1,procedural,,0.6,0.2932,,,constant,nan,,0,0,0,0.2688839189915193,True,False,False,24.0,0.11881123225581683,0.01202805619686842,0.010028286837041378,0.022210347652435302,0.9941666666666666,0.01202805619686842,0.010028286837041378,3.9999985694885254,100,0.1005167044730695,3.9999999407586735,3.899467945098877,4.0,0.9748670007128228,0.16247783104578653,0.2707963850763109,True,6.85999951535765,0.5830904115669068,0.9718173526115114,0.16247783104578653,0.2707963850763109,0.11681219513011314,-0.10053199565979654,0.0611618272960186,0.11114065311849115,0.10051807549965368,True,True,True,6.54,0.13414296118451513,0.00801229476928711,0.01383894681930542,0.01162078604872685,0.014747805043572414,1.0,True,True,True,True,-3.2420761585235596,-1.8399783372879028,0.03578901290893555,0.0905766487121582,0.16531135141849518,0.1563674658536911,0.2915804982185364,0.16070473194122314,0.2678412199020386,0.28376778960227966,7.371732711791992,0.4108249545097351
6,0,coherent_smooth,,0.2,0.2932,,,constant,nan,,0,0,0,0.38309931329769126,True,False,False,24.0,0.035114348591825335,0.007791114971041679,0.006315972190350294,0.015045486390590657,1.0,0.007791114971041679,0.006315972190350294,3.9999992847442627,100,0.05673990424917451,3.9999999450867065,3.9452054500579834,4.0,0.9863013760547601,0.16438356041908264,0.8219178020954132,True,20.05999972058347,0.1994017946561747,0.9970089732808735,0.16438356041908264,0.8219178020954132,0.4036897640479724,-0.054794495028723134,0.03233713656663895,0.05776763260364532,0.05674053785214031,True,True,True,19.84,0.1275943664590573,0.17254870733152194,0.0032819807529449463,0.0016129004579993056,0.006992507177200791,1.0,True,True,True,True,-3.5821533203125,0.5644924640655518,0.17578905424009125,0.29396089911460876,0.19598987698554993,0.1651136428117752,0.23055577278137207,0.1664709746837616,0.832354873418808,0.28754404187202454,5.968422889709473,0.3487118184566498
7,1,coherent_smooth,,0.2,0.2932,,,constant,nan,,0,0,0,0.27116682203938713,True,False,False,24.0,0.04725334393331343,0.008549853228032589,0.0070466757752001286,0.016424877941608428,1.0,0.008549853228032589,0.0070466757752001286,3.9999992847442627,100,0.09117893756106746,3.999999914249622,3.926199197769165,4.0,0.9815498204843582,0.16359163324038187,0.8179581662019093,True,20.099999104758798,0.19900497972174525,0.9950248986087262,0.16359163324038187,0.8179581662019093,0.3727640984269294,-0.07380071648045705,0.037186674773693085,0.06104518268257379,0.09117944430356116,True,True,True,19.86,0.12883210755385544,0.1117398103130893,0.011581331491470337,0.0014098647658419838,0.008087160789390561,1.0,True,True,True,True,-3.3482487201690674,1.4137581586837769,0.03146999677549164,0.12873508036136627,0.12413351982831955,0.165531188249588,0.21396476030349731,0.1655879020690918,0.827939510345459,0.2865021824836731,5.7246785163879395,0.33546292781829834
8,0,coherent_smooth,,0.4,0.2932,,,constant,nan,,0,0,0,0.38309931329769126,True,False,False,24.0,0.12477462856826997,0.010586072690784931,0.008652436546981335,0.019783733785152434,1.0,0.010586072690784931,0.008652436546981335,3.9943612813949585,100,0.19118478652598447,3.9943619417374023,3.8059945106506348,3.9943618774414062,0.9528416718779283,0.15858310461044312,0.3964577615261078,True,10.1,0.3954813803700398,0.9887034509250995,0.15858310461044312,0.3964577615261078,0.11168352013837193,-0.18836743108676757,0.04967599734663963,0.08983790799975395,0.19118544421308883,True,True,True,9.82,0.14673780976888604,0.06090586980710786,0.012906491756439209,0.006757835207474749,0.0096469910510655,1.0,True,True,True,True,-3.5517868995666504,0.4278796315193176,0.05533474286924165,0.16617023944854736,0.14489659667015076,0.158724844455719,0.2666792869567871,0.16146382689476013,0.40365956723690033,0.2852701246738434,6.860791206359863,0.3605334162712097
9,1,coherent_smooth,,0.4,0.2932,,,constant,nan,,0,0,0,0.27116682203938713,True,False,False,24.0,0.0739543579227621,0.009906960651278496,0.008424803614616394,0.01783972084522246,1.0,0.009906960651278496,0.008424803614616394,3.9999992847442627,100,0.07448499415058257,3.999999914249622,3.9322221279144287,4.0,0.9830555530529534,0.1638425886631012,0.409606471657753,True,10.099998879030222,0.3960396394255533,0.9900990985638832,0.1638425886631012,0.409606471657753,0.07478693340686221,-0.06777778633519338,0.05221201851963997,0.1022783286869526,0.07448556499234452,True,True,True,9.86,0.14014861367942702,0.1859242280376987,0.011720538139343262,0.005679504487791309,0.009239775767070193,1.0,True,True,True,True,-3.3709237575531006,1.4078172445297241,0.1522035042392178,0.07798188924789429,0.09047038108110428,0.16418366134166718,0.2637909948825836,0.16641375422477722,0.41603438556194305,0.2852790057659149,7.034849643707275,0.3870687186717987
