suite,transition_direction,path_shape,requested_speed_m_s,independent_routes,task_success_rate,survival_rate,strict_arrival_rate,active_cross_track_p95_m,active_height_mae_m,arrival_speed_abs_error_m_s
ood_fast_crouch_to_walk,crouch_to_walk,ood_arc,0.65,1,1.0,1.0,1.0,0.12079429998993874,0.025628773507890324,0.013057306775883126
ood_fast_crouch_to_walk,crouch_to_walk,ood_arc,0.85,1,1.0,1.0,1.0,0.14069748222827907,0.025103851193522177,0.0499999773105092
ood_fast_crouch_to_walk,crouch_to_walk,ood_arc,1.0,1,0.0,1.0,1.0,0.10276068150997161,0.024634378683214952,0.1735536955687078
ood_fast_crouch_to_walk,crouch_to_walk,ood_s_curve,0.65,1,1.0,1.0,1.0,0.13127127289772034,0.02510169519736521,0.01102234602693486
ood_fast_crouch_to_walk,crouch_to_walk,ood_s_curve,0.85,1,1.0,1.0,1.0,0.1898295670747757,0.026858711668423244,0.04028339976822071
ood_fast_crouch_to_walk,crouch_to_walk,ood_s_curve,1.0,1,0.0,1.0,1.0,0.17233353555202482,0.02450190451113098,0.12846279677259076
ood_fast_crouch_to_walk,crouch_to_walk,ood_corner,0.65,1,1.0,1.0,1.0,0.0969526562839746,0.028328631098238414,0.003594776954101042
ood_fast_crouch_to_walk,crouch_to_walk,ood_corner,0.85,1,1.0,1.0,1.0,0.2220394074916839,0.03225923595897644,0.06568627834407925
ood_fast_crouch_to_walk,crouch_to_walk,ood_corner,1.0,1,0.0,1.0,1.0,0.22775447964668272,0.043179387857973824,0.18367342951245824
ood_fast_walk_to_crouch,walk_to_crouch,ood_arc,0.65,1,1.0,1.0,1.0,0.11145387738943102,0.04791037159661452,0.0006493322325561435
ood_fast_walk_to_crouch,walk_to_crouch,ood_arc,0.85,1,0.0,1.0,1.0,0.06944686733186245,0.04763508937321603,0.0924242209379822
ood_fast_walk_to_crouch,walk_to_crouch,ood_arc,1.0,1,0.0,1.0,1.0,0.1851111382246017,0.06002682775259018,0.2217898611969933
ood_fast_walk_to_crouch,walk_to_crouch,ood_s_curve,0.65,1,1.0,1.0,1.0,0.11505641192197799,0.04361418601595908,0.0033751200086805655
ood_fast_walk_to_crouch,walk_to_crouch,ood_s_curve,0.85,1,0.0,1.0,1.0,0.29429956823587416,0.03565078257848431,0.12007282515305528
ood_fast_walk_to_crouch,walk_to_crouch,ood_s_curve,1.0,1,0.0,1.0,1.0,0.3458222210407257,0.04556389569692699,0.3246848889995123
ood_fast_walk_to_crouch,walk_to_crouch,ood_corner,0.65,1,0.0,1.0,1.0,0.17370974868535988,0.03882880962877718,0.007727553789197539
ood_fast_walk_to_crouch,walk_to_crouch,ood_corner,0.85,1,0.0,1.0,1.0,0.43483461141586305,0.05752638830279662,0.14824552114928413
ood_fast_walk_to_crouch,walk_to_crouch,ood_corner,1.0,1,0.0,1.0,1.0,0.4836976364254952,0.056506890406211215,0.3527506633243931
